direction,pnl_pct,bars_held,entry_idx
long,-0.020789337080816626,96,88
long,-0.004538726381907625,96,231
long,-0.0035577433863370448,96,377
long,-0.003142267084876787,96,481
long,0.00013985519991973502,96,592
long,0.008528363740022811,96,777
long,0.06263172008724052,96,910
long,0.000390326001599651,96,1108
long,-0.015145157181268448,96,1252
long,-0.0059290990067609635,96,1383
long,-0.02710463103356342,96,1513
long,0.032015242474299994,96,1630
long,-0.02957038622474554,96,1867
long,-0.013166364934491543,96,1985
long,-0.005256157352920922,96,2157
long,0.026241770177767087,96,2301
long,0.013946533077262567,96,2515
long,-0.0031186509583609858,96,2674
long,-0.021286934643165417,96,2813
long,0.020964249956499755,96,3006
long,0.014777766614478261,96,3111
long,0.007353608127194669,96,3271
long,-0.012802874090617707,96,3459
long,0.0020250212274343406,96,3663
long,-0.02660079241248148,96,3797
long,0.02022823036646027,96,4003
long,0.023212765252446053,96,4156
long,-0.01210520052010377,96,4365
long,-0.01867964700483817,96,4490
long,0.0011496296031300551,96,4623
long,0.006944085305394258,96,4742
long,0.014470516072420295,96,4928
long,0.009711831146840544,96,5188
long,0.00857311476351906,96,5323
long,0.029794310427391474,96,5455
long,-0.002889102949943274,96,5672
long,-0.00928544214836859,96,5848
long,0.0011474118157607256,96,5973
long,0.0023171559339948827,96,6107
long,-0.06105895570564935,96,6230
long,0.04629777153600266,96,6352
long,0.0021625605382641876,96,6549
long,-0.03694654241649588,96,6662
long,-0.0031015658084553167,96,6791
long,0.004836665048937236,96,6953
long,-0.037682170997997005,96,7111
long,0.03479221472087465,96,7264
long,0.025521229910779118,96,7361
long,-0.00592840081453882,96,7484
long,0.012938346702857293,96,7618
long,0.10416303863375424,96,7744
long,0.02500657500463484,96,7955
long,0.0014577093241591034,96,8093
long,0.008385722755902842,96,8297
long,0.009520945783006978,96,8524
long,-0.012654542051166773,96,8654
long,0.000574501385591113,96,8780
long,0.004452460125119799,96,8887
long,-0.004319099639291777,96,8990
long,-0.013700108259370115,96,9140
long,-0.012279494686672226,96,9240
long,0.0021207895383223226,96,9350
long,0.000630808029379578,96,9478
long,0.008110836841205574,96,9645
long,-0.005294411291611895,96,9763
long,0.02228962586499729,96,9924
long,-0.0018953353690639772,96,10103
long,-0.0036721571457645425,96,10216
long,-0.006493407539919115,96,10373
long,-0.010603870847430545,96,10544
long,0.0012711528563817457,96,10664
long,0.0008559279453947879,96,10797
