signal,ml_threshold,sizing,exit,trades,wr,pf,pf_p5,pf_p50,pf_p95,avg_pnl_pct,total_pnl_pct,final_equity_usd,total_return_pct,max_drawdown_pct,sharpe,n_matched,n_detected,run_id
price_accel_atr,0.0,fixed_10,trail_3,706,0.5764872521246459,2.027005743279854,1.670346616705807,2.025531409664536,2.4555051292583627,0.012700092455464782,8.966265273558136,505.95326367790676,405.95326367790676,-12.244217382566722,5.053612501221432,542,5025,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__price_accel_atr__thrNOML__fixed_10__trail_3
multi_bar_confirm,0.0,fixed_10,trail_3,732,0.6024590163934426,2.0481586946328925,1.6915102541497413,2.0624389044962177,2.499908806433777,0.01098910964748213,8.04402826195692,458.281413097846,358.281413097846,-11.074322748197133,5.223033213352317,466,4389,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__multi_bar_confirm__thrNOML__fixed_10__trail_3
baseline,0.0,fixed_10,trail_3,764,0.5654450261780105,1.8073064764884093,1.5281367154805212,1.8156164100232939,2.169118744477066,0.009954193602199549,7.605003912080456,434.41019560402276,334.41019560402276,-21.93624313841575,4.455883607639417,1068,9594,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__baseline__thrNOML__fixed_10__trail_3
baseline,0.6,kelly_cap15,trail_3,138,0.6666666666666666,2.6883683353587764,1.7888970086280354,2.709363496613804,4.358766550914541,0.011207382159648454,1.5466187380314866,203.47266206829778,103.47266206829777,-8.417472963171994,3.6588602515071353,1068,9594,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__baseline__thr060__kelly_cap15__trail_3
baseline,0.65,kelly_cap15,trail_3,104,0.6634615384615384,2.5256828923443524,1.5982660758657565,2.5439692174264663,4.439663765610892,0.011357276736271222,1.1811567805722072,179.1433753409009,79.14337534090089,-8.75640077376375,2.9647617036735188,1068,9594,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__baseline__thr065__kelly_cap15__trail_3
price_accel_atr,0.6,kelly_cap15,trail_3,86,0.7441860465116279,2.929933641186803,1.774536447400015,2.975046532561699,5.471480886973709,0.013216967038990704,1.1366591653532006,177.50943740149006,77.50943740149005,-9.187587961428715,3.204730342812931,542,5025,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__price_accel_atr__thr060__kelly_cap15__trail_3
multi_bar_confirm,0.65,kelly_cap15,trail_3,50,0.74,6.098854249452119,2.9483837207595704,6.25806510682844,17.251378374149855,0.021227170242299337,1.061358512114967,175.10188840862253,75.10188840862253,-3.638239531184311,3.9229182915590033,466,4389,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__multi_bar_confirm__thr065__kelly_cap15__trail_3
price_accel_atr,0.7,kelly_cap15,trail_3,44,0.8636363636363636,5.65140340182354,2.772454132694056,5.841932975375225,22.630964086494277,0.02392532209558657,1.052714172205809,174.99356291543566,74.99356291543566,-6.7601006548059654,3.9871393376945345,542,5025,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__price_accel_atr__thr070__kelly_cap15__trail_3
price_accel_atr,0.65,kelly_cap15,trail_3,63,0.7936507936507936,3.528354970421962,1.9045826107903974,3.65537776015947,7.978647903239174,0.016305516388158497,1.0272475324539854,171.3735649340489,71.3735649340489,-6.0083451227733145,3.292881403022722,542,5025,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__price_accel_atr__thr065__kelly_cap15__trail_3
baseline,0.7,kelly_cap15,trail_3,69,0.7101449275362319,2.8441140276486228,1.6663911439915864,2.850801965485002,5.170751600474496,0.014818793012269536,1.022496717846598,170.47725383849485,70.47725383849483,-9.422537054581584,2.985948936772708,1068,9594,backtest_bigmover_ml_grid_v1_b5c7ce35_20260423T132918Z__baseline__thr070__kelly_cap15__trail_3
