variant,signal,trades,wr,pf,pf_p5,total_return_pct,max_drawdown_pct,sharpe,oot_trades,oot_wr,oot_pf,oot_total_pnl_pct,run_id,directions,regime_gate,pf_p50,pf_p95,avg_pnl_pct,total_pnl_pct,final_equity_usd
price_accel_atr__short__all,price_accel_atr,4183,0.4941429595983744,0.933357339030622,0.8686655155441646,-451.9244065964308,-435.79497803552937,-3.359651896839398,640,0.4984375,0.8865233039198105,-1.1521576711429677,backtest_bigmover_longshort_3y_leakfix_57bcc40d_20260423T162356Z__price_accel_atr__short__all,['short'],,0.9356771114050414,1.008218765089834,-0.0009607669452375367,-4.018888131928616,-351.9244065964308
price_accel_atr__long__all,price_accel_atr,4852,0.4579554822753504,0.8780157725600465,0.8183167159657143,-740.4289840112024,-767.3189004380454,-5.064324821752781,727,0.4828060522696011,0.9953419601259169,-0.05524743975468405,backtest_bigmover_longshort_3y_leakfix_57bcc40d_20260423T162356Z__price_accel_atr__long__all,['long'],,0.879102711011998,0.94254704458735,-0.0018520568178532662,-8.986179680224048,-640.4289840112024
multi_bar_confirm__short__all,multi_bar_confirm,3872,0.5074896694214877,0.9347151432834756,0.8680437480482278,-410.41757460149785,-396.330679969586,-3.3726969785280514,659,0.5083459787556904,0.8790076972768592,-1.2797498589930223,backtest_bigmover_longshort_3y_leakfix_57bcc40d_20260423T162356Z__multi_bar_confirm__short__all,['short'],,0.9351173454342769,1.0107192626406023,-0.0009199254886441005,-3.561951492029957,-310.41757460149785
multi_bar_confirm__long__all,multi_bar_confirm,4490,0.4610244988864143,0.8367382408579894,0.7837624667154811,-829.588508222421,-884.4704263789077,-6.360199521034103,741,0.4979757085020243,1.0030064304325275,0.033796752323867585,backtest_bigmover_longshort_3y_leakfix_57bcc40d_20260423T162356Z__multi_bar_confirm__long__all,['long'],,0.8364874985904401,0.894818470564171,-0.002495271751547533,-11.203770164448422,-729.588508222421
price_accel_atr__combo__regime,price_accel_atr,2785,0.4940754039497307,0.9301839065455716,0.8526888427619832,-308.01023398024444,-270.1521269163685,-3.005976357914557,456,0.5175438596491229,1.0065463243388026,0.04225545381335838,backtest_bigmover_longshort_3y_leakfix_57bcc40d_20260423T162356Z__price_accel_atr__combo__regime,"['short', 'long']","{'long': 'bull', 'short': 'bear'}",0.9296636682390392,1.0212497500245912,-0.0010119226856750048,-2.8182046796048885,-208.01023398024444
multi_bar_confirm__combo__regime,multi_bar_confirm,2609,0.4894595630509774,0.8775985573317437,0.8039745437663486,-396.93361033071005,-359.28214401587377,-4.033856589716884,469,0.5415778251599147,0.9916151285413335,-0.05886003765565165,backtest_bigmover_longshort_3y_leakfix_57bcc40d_20260423T162356Z__multi_bar_confirm__combo__regime,"['short', 'long']","{'long': 'bull', 'short': 'bear'}",0.8797803875747189,0.9605102886394966,-0.0018428026855554622,-4.807872206614201,-296.93361033071005
