phase,variant,detector,timing,htf_filter,exit_kind,trades,wr,pf,avg_pnl_pct,total_pnl_pct,median_winner_pnl_pct,median_loser_pnl_pct,tp_count,sl_count,trail_count,timeout_count,run_id
1,combined_immediate_htf1_fixed_15,combined,immediate,True,fixed_15,1577,0.08750792644261256,0.6099896861647275,-0.00839251743817372,-13.234999999999957,0.15000000000000002,-0.05499999999999994,138,617,0,822,backtest_short_grid_v1_cd85b6f3_20260423T062137Z__combined_immediate_htf1_fixed_15
1,combined_wait_next_surge_htf1_fixed_15,combined,wait_next_surge,True,fixed_15,1000,0.094,0.6046312178387659,-0.009219999999999973,-9.219999999999972,0.15000000000000002,-0.05499999999999994,94,424,0,482,backtest_short_grid_v1_cd85b6f3_20260423T062203Z__combined_wait_next_surge_htf1_fixed_15
1,atr_down_immediate_htf1_fixed_15,atr_down,immediate,True,fixed_15,2464,0.060470779220779224,0.5528756957328392,-0.007335633116883096,-18.07499999999995,0.15000000000000002,-0.05499999999999993,149,735,0,1580,backtest_short_grid_v1_cd85b6f3_20260423T062025Z__atr_down_immediate_htf1_fixed_15
1,combined_wait_confirm_htf1_fixed_15,combined,wait_confirm,True,fixed_15,1050,0.08476190476190476,0.5516528925619841,-0.010333333333333307,-10.849999999999973,0.15000000000000002,-0.05499999999999994,89,440,0,521,backtest_short_grid_v1_cd85b6f3_20260423T062155Z__combined_wait_confirm_htf1_fixed_15
1,vol_spike_wait_confirm_htf1_fixed_15,vol_spike,wait_confirm,True,fixed_15,1919,0.0771235018238666,0.5201499531396445,-0.01067222511724854,-20.479999999999947,0.15000000000000002,-0.05499999999999994,148,776,0,995,backtest_short_grid_v1_cd85b6f3_20260423T062122Z__vol_spike_wait_confirm_htf1_fixed_15
1,atr_down_wait_next_surge_htf0_fixed_15,atr_down,wait_next_surge,False,fixed_15,1524,0.08333333333333333,0.519285811639635,-0.011571522309711257,-17.634999999999955,0.15000000000000002,-0.05499999999999994,127,667,0,730,backtest_short_grid_v1_cd85b6f3_20260423T062101Z__atr_down_wait_next_surge_htf0_fixed_15
1,combined_wait_next_surge_htf0_fixed_15,combined,wait_next_surge,False,fixed_15,1220,0.08524590163934426,0.511978995733509,-0.012188524590163907,-14.869999999999965,0.15000000000000002,-0.05499999999999994,104,554,0,562,backtest_short_grid_v1_cd85b6f3_20260423T062208Z__combined_wait_next_surge_htf0_fixed_15
1,vol_spike_wait_next_surge_htf1_fixed_15,vol_spike,wait_next_surge,True,fixed_15,1662,0.07942238267148015,0.5070422535211274,-0.01158243080625749,-19.24999999999995,0.15000000000000002,-0.05499999999999994,132,710,0,820,backtest_short_grid_v1_cd85b6f3_20260423T062129Z__vol_spike_wait_next_surge_htf1_fixed_15
1,atr_down_wait_confirm_htf1_fixed_15,atr_down,wait_confirm,True,fixed_15,2117,0.05715635333018422,0.5061349693251539,-0.00836561171469058,-17.709999999999958,0.15000000000000002,-0.05499999999999994,121,652,0,1344,backtest_short_grid_v1_cd85b6f3_20260423T062048Z__atr_down_wait_confirm_htf1_fixed_15
1,combined_wait_retest_htf1_fixed_15,combined,wait_retest,True,fixed_15,1544,0.07253886010362694,0.5007451564828621,-0.010848445595854897,-16.74999999999996,0.15000000000000002,-0.054999999999999945,112,610,0,822,backtest_short_grid_v1_cd85b6f3_20260423T062146Z__combined_wait_retest_htf1_fixed_15
