signal,ml_threshold,sizing,exit,trades,wr,pf,pf_p5,pf_p50,pf_p95,avg_pnl_pct,total_pnl_pct,final_equity_usd,total_return_pct,max_drawdown_pct,sharpe,n_matched,n_detected,run_id
price_accel_atr,0.7,fixed_10,fixed_5_15,33,0.18181818181818182,1.636363636363638,0.6060606060606065,1.636363636363638,3.905844155844153,0.010606060606060628,0.3500000000000007,115.52000000000004,15.520000000000033,-19.933462711394483,0.7722973146055733,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr070__fixed_10__fixed_5_15
price_accel_atr,0.75,fixed_10,fixed_5_15,25,0.24,1.4876033057851255,0.5454545454545463,1.4876033057851257,3.2727272727272765,0.011800000000000031,0.29500000000000076,113.25000000000004,13.250000000000039,-18.39602248162559,0.6527925302511766,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr075__fixed_10__fixed_5_15
baseline,0.8,fixed_10,fixed_5_15,23,0.21739130434782608,1.239669421487605,0.4195804195804201,1.212121212121214,3.068181818181821,0.00630434782608699,0.14500000000000077,105.87000000000003,5.870000000000038,-17.66855898592424,0.30845552452968483,1068,9594,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__baseline__thr080__fixed_10__fixed_5_15
price_accel_atr,0.7,fixed_10,trail_3,45,0.5777777777777777,1.2685011136037543,0.6883530566028905,1.2961929739232514,2.6291064448324426,0.0036947706805353425,0.16626468062409042,105.61323403120451,5.613234031204518,-15.436796546694936,0.41549342948098433,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr070__fixed_10__trail_3
baseline,0.75,fixed_10,fixed_5_15,31,0.1935483870967742,1.1688311688311706,0.38961038961039024,1.1688311688311706,2.4557851239669435,0.004193548387096802,0.13000000000000086,104.64000000000004,4.640000000000046,-23.075792104682776,0.22069927322998747,1068,9594,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__baseline__thr075__fixed_10__fixed_5_15
price_accel_atr,0.9,fixed_10,trail_3,13,0.5384615384615384,1.3231932719721704,0.5057902756382607,1.3487957229313419,3.837486555532384,0.008204136903908933,0.10665377975081612,104.5526889875408,4.552688987540806,-13.886522191869211,0.42918411358524583,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr090__fixed_10__trail_3
price_accel_atr,0.85,fixed_10,trail_3,21,0.5714285714285714,1.2018057945626992,0.5684597669221723,1.2313227257568997,2.7805260008671877,0.004756850871835045,0.09989386830853594,103.73469341542679,3.7346934154267966,-15.939426172214816,0.2990281024802882,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr085__fixed_10__trail_3
price_accel_atr,0.7,kelly_cap15,fixed_5_15,33,0.18181818181818182,1.636363636363638,0.6060606060606065,1.636363636363638,3.905844155844153,0.010606060606060628,0.3500000000000007,103.104,3.104000000000006,-5.284044976850134,0.7722973146055733,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr070__kelly_cap15__fixed_5_15
price_accel_atr,0.75,kelly_cap15,fixed_5_15,25,0.24,1.4876033057851255,0.5454545454545463,1.4876033057851257,3.2727272727272765,0.011800000000000031,0.29500000000000076,102.65,2.650000000000007,-4.73848323991239,0.6527925302511766,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr075__kelly_cap15__fixed_5_15
price_accel_atr,0.75,fixed_10,trail_3,33,0.5757575757575758,1.1426262858825909,0.5394852341022649,1.1203438207144232,2.430011764006439,0.0023982364403311533,0.07914180253092806,101.9770901265464,1.977090126546406,-15.09783877420981,0.15557922327422283,542,5025,backtest_bigmover_ml_grid_v1_73760c74_20260424T034639Z__price_accel_atr__thr075__fixed_10__trail_3
