variant,signal,trades,wr,pf,pf_p5,total_return_pct,max_drawdown_pct,sharpe,bull_trades,bull_pf,bull_total_pnl_usd,bear_trades,bear_pf,bear_total_pnl_usd,sideways_trades,sideways_pf,sideways_total_pnl_usd,run_id,directions,regime_gate,pf_p50,pf_p95,avg_pnl_pct,total_pnl_pct,final_equity_usd
price_accel_atr__short__all,price_accel_atr,4453,0.6433864810240287,2.4459526419109725,2.272329749685449,2358.0511591731847,-8.865474123811467,17.172713563892188,1506,2.6713523537665176,825.2847039341603,841,1.8925782769865378,337.49044557690604,2106,2.5864356451392085,1195.2760096621182,backtest_bigmover_longshort_3y_b5c7ce35_20260423T142207Z__price_accel_atr__short__all,['short'],,2.4515073423960336,2.6405306042492627,0.011790842843805006,52.50462318346369,2458.0511591731847
price_accel_atr__long__all,price_accel_atr,5316,0.6100451467268623,2.2240304857857796,2.0769783209829464,2502.8289847062933,-9.294577276510514,16.563482559615434,2101,2.619091241896116,1220.9906105894597,930,2.0373033734500496,400.66749713758645,2285,1.9854607136989009,881.1708769792474,backtest_bigmover_longshort_3y_b5c7ce35_20260423T142207Z__price_accel_atr__long__all,['long'],,2.2204289617128703,2.375972944339608,0.010616211379632408,56.43577969412588,2602.8289847062933
multi_bar_confirm__short__all,multi_bar_confirm,4107,0.6617969320672024,2.746159886945897,2.537858307413648,2342.5388171682025,-6.160014739405158,18.857043282162156,1347,2.756243987050879,753.15062678203,848,2.1563482292069533,367.10855112538195,1912,3.06861733220914,1222.279639260791,backtest_bigmover_longshort_3y_b5c7ce35_20260423T142207Z__multi_bar_confirm__short__all,['short'],,2.7543715724902413,2.9748913233504064,0.012607542328552242,51.77917634336406,2442.5388171682025
multi_bar_confirm__long__all,multi_bar_confirm,4938,0.6435803969218307,2.84587995454663,2.6479583516282426,3034.9662998607055,-7.506595433840259,21.31547025624643,1952,3.339428487263565,1390.9655995915964,882,2.542434081882385,512.6250830294011,2104,2.5851029372676813,1131.3756172397077,backtest_bigmover_longshort_3y_b5c7ce35_20260423T142207Z__multi_bar_confirm__long__all,['long'],,2.8564494680431847,3.07332103889509,0.013492289590363327,66.6249259972141,3134.9662998607055
price_accel_atr__combo__regime,price_accel_atr,3002,0.6445702864756829,2.448821153218972,2.2305540493891636,1653.783138432858,-5.094886653052365,14.715088430276023,2139,2.711845577214108,1294.1988630160495,863,1.9461159170288131,359.58427541680817,0,0.0,0.0,backtest_bigmover_longshort_3y_b5c7ce35_20260423T142207Z__price_accel_atr__combo__regime,"['short', 'long']","{'long': 'bull', 'short': 'bear'}",2.4448206375451127,2.672607718684162,0.012217875672437426,36.678062768657156,1753.7831384328579
multi_bar_confirm__combo__regime,multi_bar_confirm,2840,0.6630281690140845,2.964505076120847,2.690988398016329,1815.793875854185,-5.878209794038894,17.445054839536283,1973,3.352535670192142,1412.8498740370112,867,2.2632433560875223,402.94400181717356,0,0.0,0.0,backtest_bigmover_longshort_3y_b5c7ce35_20260423T142207Z__multi_bar_confirm__combo__regime,"['short', 'long']","{'long': 'bull', 'short': 'bear'}",2.9704852514413633,3.2824768786999288,0.01398728081587454,39.72387751708369,1915.793875854185
