variant,signal,direction,sizing,position_pct,leverage,sl_pct,risk_per_trade_pct,trades,wr,pf,pf_p5,pf_p50,pf_p95,total_return_pct,max_drawdown_pct,final_equity_usd,avg_winner_pct,avg_loser_pct,sharpe,avg_pnl_pct,total_pnl_pct,median_hold_bars,run_id
multi_bar_confirm__long__20pct_05x_sl05,multi_bar_confirm,long,20pct_05x_sl05,0.2,5,0.05,5.0,4938,0.6435803969218307,2.84587995454663,2.6479583516282426,2.8564494680431847,3.07332103889509,6069.932599721411,-11.13390849588653,6169.932599721411,0.032321832092423376,-0.02355995848074894,21.31547025624643,0.013492289590363327,66.6249259972141,22.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__multi_bar_confirm__long__20pct_05x_sl05
price_accel_atr__long__20pct_05x_sl05,price_accel_atr,long,20pct_05x_sl05,0.2,5,0.05,5.0,5316,0.6100451467268623,2.2240304857857796,2.0769783209829464,2.2204289617128703,2.375972944339608,5005.657969412588,-14.609233988766784,5105.657969412588,0.03161957893381297,-0.026004802475030783,16.563482559615434,0.010616211379632408,56.43577969412588,22.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__price_accel_atr__long__20pct_05x_sl05
price_accel_atr__short__20pct_05x_sl05,price_accel_atr,short,20pct_05x_sl05,0.2,5,0.05,5.0,4453,0.6433864810240287,2.4459526419109725,2.272329749685449,2.4515073423960336,2.6405306042492627,4716.102318346369,-17.459292181778455,4816.102318346369,0.031000371234646114,-0.02664082201305753,17.172713563892188,0.011790842843805006,52.50462318346369,27.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__price_accel_atr__short__20pct_05x_sl05
multi_bar_confirm__long__15pct_05x_sl07,multi_bar_confirm,long,15pct_05x_sl07,0.15,5,0.07,5.250000000000001,4816,0.6509551495016611,3.089811636234802,2.8570360409777544,3.1035066566999205,3.364956661137373,4699.55305922883,-8.125917653182858,4799.55305922883,0.03227726514582543,-0.024476321954991272,21.897955873135874,0.014210944239282474,68.43990745638439,24.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__multi_bar_confirm__long__15pct_05x_sl07
multi_bar_confirm__short__20pct_05x_sl05,multi_bar_confirm,short,20pct_05x_sl05,0.2,5,0.05,5.0,4107,0.6617969320672024,2.746159886945897,2.537858307413648,2.7543715724902413,2.9748913233504064,4685.077634336405,-12.138228197500691,4785.077634336405,0.02996039240413629,-0.025172470467808464,18.857043282162156,0.012607542328552242,51.77917634336406,27.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__multi_bar_confirm__short__20pct_05x_sl05
multi_bar_confirm__long__15pct_05x_sl05,multi_bar_confirm,long,15pct_05x_sl05,0.15,5,0.05,3.7500000000000004,4938,0.6435803969218307,2.84587995454663,2.6479583516282426,2.8564494680431847,3.07332103889509,4552.449449791057,-9.43075511754103,4652.449449791057,0.032321832092423376,-0.02355995848074894,21.31547025624643,0.013492289590363327,66.6249259972141,22.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__multi_bar_confirm__long__15pct_05x_sl05
multi_bar_confirm__long__10pct_07x_sl05,multi_bar_confirm,long,10pct_07x_sl05,0.1,7,0.05,3.5000000000000004,4938,0.6435803969218307,2.84587995454663,2.6479583516282426,2.8564494680431847,3.07332103889509,4248.9528198049875,-9.035837524478811,4348.9528198049875,0.032321832092423376,-0.02355995848074894,21.31547025624643,0.013492289590363327,66.6249259972141,22.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__multi_bar_confirm__long__10pct_07x_sl05
price_accel_atr__long__15pct_05x_sl07,price_accel_atr,long,15pct_05x_sl07,0.15,5,0.07,5.250000000000001,5126,0.6232930159968787,2.4316027636705675,2.251475895076799,2.4301082398196785,2.6343215604798744,4021.346978876013,-15.461799119955513,4121.346978876013,0.03177432899275935,-0.027667211009621794,17.01921506141502,0.011659999945054008,59.76915971834684,26.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__price_accel_atr__long__15pct_05x_sl07
multi_bar_confirm__short__15pct_05x_sl07,multi_bar_confirm,short,15pct_05x_sl07,0.15,5,0.07,5.250000000000001,4006,0.6727408886669995,3.1438741419087943,2.8588302698034336,3.1452581347424147,3.469574295732248,3754.8813128092975,-8.071426667909233,3854.881312809297,0.02985796021525601,-0.025594918609324325,20.196593989644843,0.013697524755564312,54.872284170790635,28.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__multi_bar_confirm__short__15pct_05x_sl07
price_accel_atr__long__15pct_05x_sl05,price_accel_atr,long,15pct_05x_sl05,0.15,5,0.05,3.7500000000000004,5316,0.6100451467268623,2.2240304857857796,2.0769783209829464,2.2204289617128703,2.375972944339608,3754.2434770594396,-12.27047397993111,3854.24347705944,0.03161957893381297,-0.026004802475030783,16.563482559615434,0.010616211379632408,56.43577969412588,22.0,backtest_bigmover_sizing_sweep_v1_abfe8b06_20260423T145954Z__price_accel_atr__long__15pct_05x_sl05
