variant,trades,wr,pf,pf_p5,pf_p50,pf_p95,avg_winner_pct,median_winner_pct,big_mover_coverage_pct,run_id
rank_top3_per_bar,769,0.5721716514954487,1.9255558939370616,1.5986415130794618,1.9137557316882081,2.314191018759054,0.03989985396324005,0.02752161802921273,0.2850539291217257,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__rank_top3_per_bar
baseline,764,0.5654450261780105,1.8073064764884093,1.5281367154805212,1.8156164100232939,2.169118744477066,0.03941023851900888,0.025641277565792233,0.2727272727272727,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__baseline
ml_thresh_055,764,0.5654450261780105,1.8073064764884093,1.5281367154805212,1.8156164100232939,2.169118744477066,0.03941023851900888,0.025641277565792233,0.2727272727272727,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__ml_thresh_055
vol_rank_pctl90,777,0.5868725868725869,1.9602784247996885,1.6355042868892602,1.9565678331711096,2.3812018732516678,0.03965604080368061,0.026086309793026875,0.2711864406779661,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__vol_rank_pctl90
multi_bar_confirm,732,0.6024590163934426,2.0481586946328925,1.6915102541497413,2.0624389044962177,2.499908806433777,0.03564277922414739,0.02346994535519122,0.26348228043143296,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__multi_bar_confirm
vol_4bar_momentum,815,0.5950920245398773,1.8660363964557403,1.598621218701505,1.8642657900649828,2.2150141504408922,0.03516602528927878,0.02357611612194093,0.26040061633281975,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__vol_4bar_momentum
price_accel_atr,706,0.5764872521246459,2.027005743279854,1.670346616705807,2.025531409664536,2.4555051292583627,0.043480975738223654,0.028170927371911462,0.2588597842835131,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__price_accel_atr
cooldown_24,850,0.5435294117647059,1.4651024695447321,1.2212821848844388,1.4752497388712436,1.7475453060240436,0.036314608880095675,0.024302527401371544,0.2526964560862866,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__cooldown_24
btc_correlation,104,0.6730769230769231,1.942168022403959,1.2024592347640528,1.914620595209698,3.2132126829926775,0.026197300087140774,0.019192468011246328,0.060092449922958396,backtest_bigmover_tweaks_v1_b12a26e4_20260423T075707Z__btc_correlation
