strategy,config,trades,wr,pf,avg,total,median_bars
A,E1,10000,39.03,0.9841489173198077,-0.03037357080246983,-303.7357080246983,36.0
A,E2,10000,18.22,0.9797207215349675,-0.03561036964056425,-356.1036964056425,29.0
A,E3,10000,51.77,1.0157256935708956,0.03858274261963017,385.8274261963017,64.0
A,E4,10000,43.35,0.9310381296681249,-0.14724676833988085,-1472.4676833988085,96.0
A,E5,10000,35.77,0.8346681983720171,-0.193315068841,-1933.1506884100002,19.0
A,E6,10000,27.4,0.6461126580123581,-0.1991031356464468,-1991.0313564644682,1.0
B,E1,10000,39.81,1.0174460233273022,0.03302319795877303,330.23197958773034,29.0
B,E2,10000,18.42,1.0077307790635923,0.0135446984795275,135.44698479527503,22.0
B,E3,10000,52.17,1.0304841439800987,0.07451977662774212,745.1977662774211,54.0
B,E4,10000,43.25,0.9295362968106199,-0.15865168561069423,-1586.5168561069422,96.0
B,E5,10000,35.21,0.806446907041504,-0.22716457066372406,-2271.6457066372404,14.0
B,E6,10000,27.48,0.6080180364683213,-0.22705087137831884,-2270.5087137831883,1.0
C,E1,10000,38.44,0.9597871218748371,-0.07786189491989955,-778.6189491989954,37.0
C,E2,10000,17.98,0.9645179581896314,-0.06250397045920847,-625.0397045920847,29.0
C,E3,10000,51.27,0.9939202613997372,-0.015088268739958376,-150.88268739958374,68.0
C,E4,10000,43.21,0.9147277510021203,-0.1809875007679163,-1809.8750076791632,96.0
C,E5,10000,35.74,0.8123554003644545,-0.2200315550839908,-2200.3155508399077,19.0
C,E6,10000,26.69,0.6058001634771915,-0.2100602524095897,-2100.602524095897,1.0
