variant,signal,direction,sizing,position_pct,leverage,sl_pct,risk_per_trade_pct,trades,wr,pf,pf_p5,pf_p50,pf_p95,total_return_pct,max_drawdown_pct,final_equity_usd,avg_winner_pct,avg_loser_pct,sharpe,avg_pnl_pct,total_pnl_pct,median_hold_bars,run_id
multi_bar_confirm__short__10pct_05x_sl07,multi_bar_confirm,short,10pct_05x_sl07,0.1,5,0.07,3.5000000000000004,3687,0.5245457011120152,1.052972590355761,0.9668755226236876,1.0518916784954504,1.144118118284122,-93.21697569860395,-157.73401820788396,6.783024301396054,0.026312348497236154,-0.03717540115971292,-0.7302821444156893,0.0006943478399858757,2.5600604860279237,46.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__multi_bar_confirm__short__10pct_05x_sl07
multi_bar_confirm__short__15pct_05x_sl07,multi_bar_confirm,short,15pct_05x_sl07,0.15,5,0.07,5.250000000000001,3687,0.5245457011120152,1.052972590355761,0.9668755226236876,1.0518916784954504,1.144118118284122,-139.825463547906,-203.75905121280465,-39.825463547906,0.026312348497236154,-0.03717540115971292,-0.7302821444156893,0.0006943478399858757,2.5600604860279237,46.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__multi_bar_confirm__short__15pct_05x_sl07
price_accel_atr__short__10pct_05x_sl07,price_accel_atr,short,10pct_05x_sl07,0.1,5,0.07,3.5000000000000004,3999,0.5173793448362091,1.022090852787302,0.9451860935280528,1.0219281402788911,1.1120569856615559,-179.3108714213314,-194.2868681308275,-79.3108714213314,0.027116138983253504,-0.03788178673897732,-1.2733910123102563,0.00030322144825540795,1.2125825715733765,45.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__price_accel_atr__short__10pct_05x_sl07
multi_bar_confirm__short__05pct_05x_sl05,multi_bar_confirm,short,05pct_05x_sl05,0.05,5,0.05,1.25,3872,0.5074896694214877,0.9347151432834756,0.8680437480482278,0.9351173454342769,1.0107192626406023,-205.20878730074887,-209.00146596694208,-105.2087873007489,0.025953281035261296,-0.03372073468870111,-3.3726969785280514,-0.0009199254886441005,-3.561951492029957,39.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__multi_bar_confirm__short__05pct_05x_sl05
price_accel_atr__short__05pct_05x_sl05,price_accel_atr,short,05pct_05x_sl05,0.05,5,0.05,1.25,4183,0.4941429595983744,0.933357339030622,0.8686655155441646,0.9356771114050414,1.008218765089834,-225.9622032982154,-226.32542897034475,-125.9622032982154,0.02723084122589705,-0.03352142131509606,-3.359651896839397,-0.0009607669452375367,-4.018888131928616,39.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__price_accel_atr__short__05pct_05x_sl05
multi_bar_confirm__short__10pct_03x_sl05,multi_bar_confirm,short,10pct_03x_sl05,0.1,3,0.05,1.5000000000000002,3872,0.5074896694214877,0.9347151432834756,0.8680437480482278,0.9351173454342769,1.0107192626406023,-246.25054476089866,-248.0885512938547,-146.25054476089866,0.025953281035261296,-0.03372073468870111,-3.3726969785280514,-0.0009199254886441005,-3.561951492029957,39.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__multi_bar_confirm__short__10pct_03x_sl05
price_accel_atr__short__15pct_05x_sl07,price_accel_atr,short,15pct_05x_sl07,0.15,5,0.07,5.250000000000001,3999,0.5173793448362091,1.022090852787302,0.9451860935280528,1.0219281402788911,1.1120569856615559,-268.96630713199716,-246.42388576127306,-168.96630713199716,0.027116138983253504,-0.03788178673897732,-1.2733910123102563,0.00030322144825540795,1.2125825715733765,45.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__price_accel_atr__short__15pct_05x_sl07
price_accel_atr__short__10pct_03x_sl05,price_accel_atr,short,10pct_03x_sl05,0.1,3,0.05,1.5000000000000002,4183,0.4941429595983744,0.933357339030622,0.8686655155441646,0.9356771114050414,1.008218765089834,-271.15464395785847,-269.50570150711627,-171.15464395785847,0.02723084122589705,-0.03352142131509606,-3.359651896839397,-0.0009607669452375367,-4.018888131928616,39.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__price_accel_atr__short__10pct_03x_sl05
multi_bar_confirm__short__15pct_03x_sl05,multi_bar_confirm,short,15pct_03x_sl05,0.15,3,0.05,2.25,3872,0.5074896694214877,0.9347151432834756,0.8680437480482278,0.9351173454342769,1.0107192626406023,-369.3758171413481,-360.43511718110784,-269.3758171413481,0.025953281035261296,-0.03372073468870111,-3.3726969785280514,-0.0009199254886441005,-3.561951492029957,39.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__multi_bar_confirm__short__15pct_03x_sl05
price_accel_atr__long__05pct_05x_sl05,price_accel_atr,long,05pct_05x_sl05,0.05,5,0.05,1.25,4852,0.4579554822753504,0.8780157725600465,0.8183167159657143,0.879102711011998,0.94254704458735,-370.2144920056012,-404.7415911706698,-270.2144920056012,0.029109160526729714,-0.03278448347602023,-5.0643248217527805,-0.0018520568178532662,-8.986179680224048,36.0,backtest_bigmover_sizing_sweep_v1_cd7102c0_20260424T034201Z__price_accel_atr__long__05pct_05x_sl05
