direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,entry_regime,notional_usd,pnl_pct_net,pnl_usd
long,-0.009840127897681713,72,CHZUSDT,1680568200,1680633000,0.1251,0.123869,0.020783373301359067,trail_stop,sideways,50.0,-0.011040127897681712,-0.5520063948840856
long,0.020081521739130553,141,ZECUSDT,1680591600,1680718500,36.8,37.539,0.051630434782608856,trail_stop,sideways,50.0,0.018881521739130554,0.9440760869565277
long,0.024175531914893588,115,AAVEUSDT,1680603300,1680706800,75.2,77.018,0.05585106382978727,trail_stop,sideways,50.0,0.02297553191489359,1.1487765957446794
long,0.0,192,ADAUSDT,1680606900,1680779700,0.3964,0.3964,0.009081735620585387,timeout,sideways,50.0,-0.0012,-0.06
long,0.06689691817215723,100,CRVUSDT,1680606900,1680696900,0.941,1.00395,0.09989373007438893,trail_stop,sideways,50.0,0.06569691817215723,3.284845908607861
long,-0.003134110787172188,58,UNIUSDT,1680654600,1680706800,6.174,6.154649999999999,0.02769679300291535,trail_stop,sideways,50.0,-0.004334110787172188,-0.2167055393586094
long,0.0,192,AVAXUSDT,1680696900,1680869700,18.23,18.23,0.006582556226001152,timeout,sideways,50.0,-0.0012,-0.06
long,-0.0099002302379124,93,CHZUSDT,1680731100,1680814800,0.1303,0.12901,0.020721412125863453,trail_stop,sideways,50.0,-0.011100230237912399,-0.5550115118956199
long,-0.001451060917180097,27,FILUSDT,1680877800,1680902100,5.844,5.83552,0.02943189596167004,trail_stop,sideways,50.0,-0.002651060917180097,-0.13255304585900485
long,0.05602446483180429,60,CHZUSDT,1680907500,1680961500,0.1308,0.138128,0.08868501529051988,trail_stop,sideways,50.0,0.05482446483180429,2.7412232415902142
long,0.009191919191919121,130,ZECUSDT,1681078500,1681195500,39.6,39.964,0.040404040404040435,trail_stop,sideways,50.0,0.007991919191919121,0.39959595959595606
long,0.005403478756772113,137,FETUSDT,1681080300,1681203600,0.3507,0.352595,0.03649843170801248,trail_stop,sideways,50.0,0.004203478756772113,0.21017393783860563
long,0.0165752082312592,127,HIGHUSDT,1681088400,1681202700,2.041,2.07483,0.048015678588926934,trail_stop,sideways,50.0,0.0153752082312592,0.76876041156296
long,0.015059533791715634,35,FILUSDT,1681150500,1681182000,5.963,6.0528,0.046453127620325364,trail_stop,sideways,50.0,0.013859533791715634,0.6929766895857817
long,0.014969973576747474,170,GALAUSDT,1681168500,1681321500,0.04163,0.0422532,0.04636079750180161,trail_stop,sideways,50.0,0.013769973576747474,0.6884986788373737
long,-0.054999999999999986,91,LTCUSDT,1681187400,1681269300,96.31,91.01295,0.00716436507112447,stop_loss,sideways,50.0,-0.056199999999999986,-2.809999999999999
long,-0.055,78,NEARUSDT,1681195500,1681265700,2.102,1.9863899999999999,0.002854424357754628,stop_loss,sideways,50.0,-0.0562,-2.81
long,-0.004533520862634715,12,HIGHUSDT,1681211700,1681222500,2.133,2.12333,0.026254102203469316,trail_stop,sideways,50.0,-0.005733520862634714,-0.2866760431317357
