timestamp,open,high,low,close,volume
2025-10-01T00:00:00+00:00,114038.0,114547.3,113966.8,114175.1,1421.852554
2025-10-01T04:00:00+00:00,114175.6,114738.6,114153.2,114543.6,1695.637199
2025-10-01T08:00:00+00:00,114541.5,116786.0,114488.9,116785.9,725.314067
2025-10-01T12:00:00+00:00,116786.0,117659.7,116366.0,117414.0,3718.302385
2025-10-01T16:00:00+00:00,117415.1,118200.0,116732.0,117435.5,3891.54974
2025-10-01T20:00:00+00:00,117435.6,118642.7,117172.7,118586.7,2017.169135
2025-10-02T00:00:00+00:00,118586.7,119445.5,118380.9,118737.0,3709.69131
2025-10-02T04:00:00+00:00,118737.1,118924.5,118283.9,118495.7,1826.494888
2025-10-02T08:00:00+00:00,118495.7,118918.9,118367.1,118771.0,1523.970541
2025-10-02T12:00:00+00:00,118771.0,119917.1,118524.7,119917.0,4862.218461
2025-10-02T16:00:00+00:00,119917.0,121023.4,119362.8,120833.4,4396.613203
2025-10-02T20:00:00+00:00,120833.5,120911.7,120077.0,120529.0,1842.927356
2025-10-03T00:00:00+00:00,120530.0,120548.0,119828.8,120237.0,1766.232306
2025-10-03T04:00:00+00:00,120237.1,120321.8,119631.1,119653.5,1692.891383
2025-10-03T08:00:00+00:00,119653.5,120513.8,119256.1,120340.6,2421.45488
2025-10-03T12:00:00+00:00,120340.6,122375.5,119888.8,122275.6,4309.344015
2025-10-03T16:00:00+00:00,122273.6,123894.7,121475.1,122665.2,7409.878924
2025-10-03T20:00:00+00:00,122665.3,122729.6,122014.1,122228.1,1217.801353
2025-10-04T00:00:00+00:00,122232.8,122329.0,121686.9,122240.4,1457.874618
2025-10-04T04:00:00+00:00,122240.5,122808.2,122225.5,122332.1,1380.404933
2025-10-04T08:00:00+00:00,122332.2,122533.1,121967.8,121981.5,1122.260439
2025-10-04T12:00:00+00:00,121981.5,122515.1,121714.2,121790.8,1410.144964
2025-10-04T16:00:00+00:00,121790.8,121961.4,121518.7,121960.3,1144.11448
2025-10-04T20:00:00+00:00,121960.3,122414.8,121872.6,122387.3,758.728315
2025-10-05T00:00:00+00:00,122387.3,124376.8,122137.6,123784.5,3205.294562
2025-10-05T04:00:00+00:00,123784.5,125763.9,123739.4,124701.8,4728.762292
2025-10-05T08:00:00+00:00,124701.9,124839.0,122522.8,123472.6,4379.399252
2025-10-05T12:00:00+00:00,123472.7,123472.7,122684.0,122809.9,1706.744153
2025-10-05T16:00:00+00:00,122809.9,123459.7,122323.2,122595.4,2070.991842
2025-10-05T20:00:00+00:00,122595.4,123547.1,122485.8,123476.5,1266.046062
2025-10-06T00:00:00+00:00,123476.5,124368.1,123090.9,123846.4,2924.747612
2025-10-06T04:00:00+00:00,123843.4,124173.0,123283.2,123397.9,2179.915484
2025-10-06T08:00:00+00:00,123398.0,124538.6,123397.9,124227.0,1975.399679
2025-10-06T12:00:00+00:00,124227.0,125416.6,124185.0,125000.0,4162.168004
2025-10-06T16:00:00+00:00,125000.1,126193.0,124809.0,125412.6,3891.717789
2025-10-06T20:00:00+00:00,125412.6,125537.0,124523.5,124659.0,1753.130143
2025-10-07T00:00:00+00:00,124659.0,125079.0,124110.5,124328.3,1950.210936
2025-10-07T04:00:00+00:00,124328.4,124650.0,123579.8,123677.1,1972.842654
2025-10-07T08:00:00+00:00,123677.1,124512.2,123331.2,124452.0,2061.78162
2025-10-07T12:00:00+00:00,124452.0,125136.1,121187.5,121846.5,6853.916379
2025-10-07T16:00:00+00:00,121846.5,122090.6,120593.7,121638.8,4984.973906
2025-10-07T20:00:00+00:00,121638.7,122290.5,121278.7,121340.1,1785.733537
2025-10-08T00:00:00+00:00,121340.2,122222.2,121208.8,121365.8,2357.992052
2025-10-08T04:00:00+00:00,121365.9,121901.9,121071.9,121583.7,2238.782088
2025-10-08T08:00:00+00:00,121593.6,123190.6,121522.5,122885.5,2953.194642
2025-10-08T12:00:00+00:00,122885.5,123350.0,121673.3,122197.4,3347.262081
2025-10-08T16:00:00+00:00,122197.4,124192.3,122121.1,123451.5,3012.61599
2025-10-08T20:00:00+00:00,123451.6,123722.3,122809.9,123307.3,1101.775351
2025-10-09T00:00:00+00:00,123307.3,123341.8,121476.7,122037.3,1938.578535
2025-10-09T04:00:00+00:00,122037.8,122261.7,121732.7,121905.0,1332.051478
2025-10-09T08:00:00+00:00,121905.1,122826.0,121153.8,122734.7,2347.58492
2025-10-09T12:00:00+00:00,122734.7,123749.9,120686.9,121165.4,5669.588006
2025-10-09T16:00:00+00:00,121165.3,121484.6,119666.7,120950.0,4170.698031
2025-10-09T20:00:00+00:00,120950.0,121804.5,120850.0,121650.0,1393.921656
2025-10-10T00:00:00+00:00,121650.1,121870.6,120909.0,121040.0,1779.399156
2025-10-10T04:00:00+00:00,121038.7,121752.0,120873.9,120932.0,2037.178069
2025-10-10T08:00:00+00:00,120931.9,121784.2,120931.0,121561.0,1534.611435
2025-10-10T12:00:00+00:00,121561.0,122530.0,118488.2,119014.6,6760.208464
2025-10-10T16:00:00+00:00,119018.9,119444.4,115952.1,116661.0,7897.137135
2025-10-10T20:00:00+00:00,116661.0,117211.6,102156.3,112759.1,8308.506103
2025-10-11T00:00:00+00:00,112759.1,113310.3,111028.3,112303.0,9564.17020434
2025-10-11T04:00:00+00:00,112302.9,112960.3,110090.6,110396.8,5298.155875
2025-10-11T08:00:00+00:00,110396.7,112367.1,110177.0,112287.7,3958.296922
2025-10-11T12:00:00+00:00,112287.7,112520.2,111790.8,111798.6,2962.603288
2025-10-11T16:00:00+00:00,111798.7,112185.8,110864.0,111178.9,2341.562393
2025-10-11T20:00:00+00:00,111178.9,111356.8,109572.9,110651.8,3452.523308
2025-10-12T00:00:00+00:00,110651.9,111350.0,109583.0,110680.4,4687.952829
2025-10-12T04:00:00+00:00,110680.4,112112.1,110615.0,111521.6,2843.661618
2025-10-12T08:00:00+00:00,111521.6,112124.6,111148.0,111849.8,2052.093334
2025-10-12T12:00:00+00:00,111849.9,113750.0,111184.4,113198.9,5712.908776
2025-10-12T16:00:00+00:00,113198.9,114687.4,113198.9,114340.2,4382.808805
2025-10-12T20:00:00+00:00,114340.3,115770.2,114250.0,114958.1,4181.579814
2025-10-13T00:00:00+00:00,114958.1,115969.9,114628.9,114824.3,3250.516
2025-10-13T04:00:00+00:00,114824.3,115550.0,114415.7,115388.3,3112.879165
2025-10-13T08:00:00+00:00,115390.0,115433.6,113643.2,114182.0,2836.815492
2025-10-13T12:00:00+00:00,114182.0,115517.2,113809.9,114320.9,4599.95708
2025-10-13T16:00:00+00:00,114320.8,115876.5,114214.6,115800.4,3381.981041
2025-10-13T20:00:00+00:00,115796.9,115872.5,115006.6,115163.5,1569.105233
2025-10-14T00:00:00+00:00,115163.5,115407.9,113275.8,113483.3,2886.503787
2025-10-14T04:00:00+00:00,113483.3,113673.0,111391.4,111725.8,4462.465565
2025-10-14T08:00:00+00:00,111725.7,112134.6,110051.0,111313.3,2900.252893
2025-10-14T12:00:00+00:00,111313.4,112900.0,109866.2,112894.8,5850.739127
2025-10-14T16:00:00+00:00,112894.8,113548.9,111703.4,112612.0,5402.516971
2025-10-14T20:00:00+00:00,112611.9,113565.5,112222.2,113026.1,1707.408768
2025-10-15T00:00:00+00:00,113027.2,113613.1,111822.2,112018.1,2884.226599
2025-10-15T04:00:00+00:00,112018.1,112684.9,111743.3,112585.1,2458.299156
2025-10-15T08:00:00+00:00,112585.1,113512.7,111703.3,111900.7,3425.006558
2025-10-15T12:00:00+00:00,111900.6,112238.4,110390.0,110796.1,5201.515534
2025-10-15T16:00:00+00:00,110796.1,111556.0,110158.0,111267.9,2767.718239
2025-10-15T20:00:00+00:00,111269.6,111555.0,110502.5,110748.9,2294.021528
2025-10-16T00:00:00+00:00,110749.0,111853.0,110360.0,111324.5,2615.588325
2025-10-16T04:00:00+00:00,111324.5,111766.2,110551.1,110577.6,2673.069576
2025-10-16T08:00:00+00:00,110577.5,111714.4,109629.1,111398.2,3960.788761
2025-10-16T12:00:00+00:00,111398.3,111984.0,108360.8,108559.2,5723.896723
2025-10-16T16:00:00+00:00,108559.2,109262.8,107577.5,108198.8,7330.024013
2025-10-16T20:00:00+00:00,108198.8,108500.0,107434.0,108199.9,2141.12185
2025-10-17T00:00:00+00:00,108199.3,109229.9,107939.1,109176.3,2062.483246
2025-10-17T04:00:00+00:00,109176.8,109232.0,105521.5,105620.1,5483.55233819
2025-10-17T08:00:00+00:00,105622.0,106592.0,103529.3,105685.2,7404.831536
2025-10-17T12:00:00+00:00,105685.2,106837.5,104531.6,106795.3,4843.070088
2025-10-17T16:00:00+00:00,106795.4,107555.5,106070.8,106451.5,3268.989063
2025-10-17T20:00:00+00:00,106458.8,107438.0,106352.4,106430.2,1155.449862
2025-10-18T00:00:00+00:00,106429.3,107294.6,106326.1,107069.9,1554.27413399
2025-10-18T04:00:00+00:00,107069.9,107497.4,106443.9,106688.3,1548.375217
2025-10-18T08:00:00+00:00,106688.4,107231.6,106620.7,107205.6,1126.716789
2025-10-18T12:00:00+00:00,107205.6,107306.8,106740.7,106949.9,1233.658448
2025-10-18T16:00:00+00:00,106949.9,107099.2,106482.4,107082.6,823.45032
2025-10-18T20:00:00+00:00,107082.7,107341.7,106848.1,107183.8,641.04441
2025-10-19T00:00:00+00:00,107183.7,107366.6,106741.1,107269.3,933.81239
2025-10-19T04:00:00+00:00,107269.3,107281.9,106559.3,106783.0,873.518909
2025-10-19T08:00:00+00:00,106783.0,108249.9,106111.6,107784.2,3367.122185
2025-10-19T12:00:00+00:00,107784.3,108619.8,107373.0,108477.9,2034.714469
2025-10-19T16:00:00+00:00,108477.9,109450.0,108250.0,108916.1,1478.961959
2025-10-19T20:00:00+00:00,108916.1,109367.2,108473.5,108641.1,1028.225041
2025-10-20T00:00:00+00:00,108641.2,110435.0,107429.5,110139.3,2353.41351
2025-10-20T04:00:00+00:00,110139.3,111410.3,109950.8,111177.4,2617.746085
2025-10-20T08:00:00+00:00,111177.4,111660.6,110623.0,111012.9,2194.287998
2025-10-20T12:00:00+00:00,111013.0,111704.2,110591.7,111143.1,2289.134637
2025-10-20T16:00:00+00:00,111143.2,111306.5,109860.0,110818.5,2647.512283
2025-10-20T20:00:00+00:00,110811.1,111275.2,110423.0,110544.1,1020.236249
2025-10-21T00:00:00+00:00,110544.1,110544.1,109075.6,109075.6,2083.979692
2025-10-21T04:00:00+00:00,109075.6,109075.6,107476.7,108087.9,3485.295121
2025-10-21T08:00:00+00:00,108088.0,108823.5,107489.5,108585.0,2158.031378
2025-10-21T12:00:00+00:00,108585.1,113556.5,107921.4,113418.1,5620.965807
2025-10-21T16:00:00+00:00,113418.1,114012.0,111337.1,111790.4,4487.442
2025-10-21T20:00:00+00:00,111781.2,111811.1,108041.0,108314.0,3648.284463
2025-10-22T00:00:00+00:00,108314.1,108681.2,107844.6,108211.0,2639.118524
2025-10-22T04:00:00+00:00,108211.1,108640.3,107624.0,108325.9,2005.510834
2025-10-22T08:00:00+00:00,108325.9,108354.9,106424.9,107556.8,2373.974958
2025-10-22T12:00:00+00:00,107556.9,109161.7,107452.1,108407.5,3461.452325
