direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,entry_regime,notional_usd,pnl_pct_net,pnl_usd
short,0.0,192,HBARUSDT,1680595200,1680768000,0.0667,0.0667,0.0299850074962519,timeout,sideways,50.0,-0.0012,-0.06
short,0.01150890346766621,49,HIGHUSDT,1680687000,1680731100,2.134,2.10944,0.04029990627928766,trail_stop,sideways,50.0,0.01030890346766621,0.5154451733833105
short,0.0,192,FETUSDT,1680708600,1680881400,0.3544,0.3544,0.03442437923250561,timeout,sideways,50.0,-0.0012,-0.06
short,0.0,192,APTUSDT,1680742800,1680915600,11.3599,11.3599,0.028723844400038716,timeout,sideways,50.0,-0.0012,-0.06
short,-0.05500000000000005,48,CHZUSDT,1680769800,1680813000,0.1255,0.1324025,0.011952191235059771,stop_loss,sideways,50.0,-0.05620000000000005,-2.8100000000000023
short,0.001148697107339251,83,DOGEUSDT,1680847200,1680921900,0.08366,0.0835639,0.03024145350227115,trail_stop,sideways,50.0,-5.130289266074895e-05,-0.0025651446330374477
short,0.011819548872180584,148,CHZUSDT,1681023600,1681156800,0.133,0.131428,0.04060150375939861,trail_stop,sideways,50.0,0.010619548872180584,0.5309774436090292
short,0.0016382252559728188,25,HIGHUSDT,1681262100,1681284600,2.051,2.04764,0.030716723549488133,trail_stop,sideways,50.0,0.0004382252559728189,0.021911262798640946
short,-0.05499999999999983,185,TRXUSDT,1681265700,1681432200,0.06225,0.06567374999999999,0.0,stop_loss,sideways,50.0,-0.056199999999999826,-2.809999999999991
short,-0.054999999999999986,115,ARBUSDT,1681266600,1681370100,1.1651,1.2291805,0.007209681572397187,stop_loss,sideways,50.0,-0.056199999999999986,-2.809999999999999
short,0.0,192,CHZUSDT,1681266600,1681439400,0.1271,0.1271,0.011014948859165891,timeout,sideways,50.0,-0.0012,-0.06
short,-0.0549999999999999,146,FETUSDT,1681266600,1681398000,0.337,0.355535,0.01572700296735913,stop_loss,sideways,50.0,-0.0561999999999999,-2.809999999999995
short,-0.054999999999999986,96,APTUSDT,1681304400,1681390800,11.3133,11.9355315,0.010898676778658783,stop_loss,sideways,50.0,-0.056199999999999986,-2.809999999999999
short,0.0,192,SOLUSDT,1681486200,1681659000,24.06,24.06,0.01371571072319195,timeout,sideways,50.0,-0.0012,-0.06
short,-0.055000000000000014,76,DOGEUSDT,1681488000,1681556400,0.08573,0.09044515,0.0,stop_loss,sideways,50.0,-0.056200000000000014,-2.8100000000000005
short,-0.054999999999999945,97,FILUSDT,1681488000,1681575300,5.981,6.3099549999999995,0.00033439224209994646,stop_loss,sideways,50.0,-0.056199999999999944,-2.8099999999999974
short,-0.054999999999999896,69,ARBUSDT,1681608600,1681670700,1.587,1.6742849999999998,0.005860113421550009,stop_loss,sideways,50.0,-0.056199999999999896,-2.8099999999999947
short,-0.05500000000000001,28,HIGHUSDT,1681774200,1681799400,2.454,2.58897,0.007742461287693613,stop_loss,sideways,50.0,-0.05620000000000001,-2.8100000000000005
