pb,exit,n_filt,n_meme,meme_wr,meme_max_win,meme_avg_pnl,thr_compd,thr_dd,ho_compd,ho_dd,ho_cagr
20.0,E1_trail_5x,4267,607,55.35420098846787,4620.085476411088,17.532615683858083,28.247170257398444,-9.662138286793994,29.386645279084146,-3.040142188549337,184.2980569004938
20.0,E2_trail_8x,4140,480,55.41666666666667,4620.085476411088,22.650152638745716,28.768673054280704,-2.7563705290743714,19.471177302054187,-4.048556665499498,105.75242870911335
20.0,E3_trail_10x,4069,409,55.256723716381416,4620.085476411088,25.472333140011514,27.28416403268492,-11.268716585285848,17.424955037853664,-2.3941641076097637,91.83029213454552
20.0,E4_pl20_trail_5x,4267,607,55.35420098846787,4620.085476411088,17.532615683858083,28.247170257398444,-9.662138286793994,29.386645279084146,-3.040142188549337,184.2980569004938
20.0,E5_pl30_trail_8x,4140,480,55.41666666666667,4620.085476411088,22.650152638745716,28.768673054280704,-2.7563705290743714,19.471177302054187,-4.048556665499498,105.75242870911335
20.0,E6_tp_50pct,4410,750,52.93333333333333,222.29343404568903,7.6110327161655835,14.190301112837655,-4.176252626149628,22.668231815796204,-2.807753260089468,129.01186439217423
20.0,E7_tp_100pct,4401,741,52.4966261808367,222.29343404568903,7.2136435383749875,24.058633873809356,-10.223086753618734,21.608936773963293,-2.8077532600894615,121.09670528969194
20.0,E8_tp_150pct,4398,738,52.4390243902439,222.29343404568903,7.050052182367033,24.058633873809356,-10.223086753618734,19.069802757225407,-2.8077532600894615,102.96340431706761
25.0,E1_trail_5x,4163,503,51.689860834990064,4620.085476411088,19.00798315543872,29.246781762966222,-5.84125174078679,18.86894363711491,-3.1883442647187703,101.57843995512765
25.0,E2_trail_8x,4072,412,52.9126213592233,4620.085476411088,23.925388547001873,29.413419533022633,-2.6898320837073415,22.993090021928907,-1.9187898433589807,131.4814656979884
25.0,E3_trail_10x,4031,371,53.908355795148246,4620.085476411088,26.960273618748275,21.97730357742782,-4.427583379292967,16.752634028092306,-2.5346576783624384,87.41475850053901
25.0,E4_pl20_trail_5x,4163,503,51.689860834990064,4620.085476411088,19.00798315543872,29.246781762966222,-5.84125174078679,18.86894363711491,-3.1883442647187703,101.57843995512765
25.0,E5_pl30_trail_8x,4072,412,52.9126213592233,4620.085476411088,23.925388547001873,29.413419533022633,-2.6898320837073415,22.993090021928907,-1.9187898433589807,131.4814656979884
25.0,E6_tp_50pct,4273,613,49.59216965742252,222.29343404568903,7.196791639598933,23.488201322118062,-3.4044284942935805,19.159277884167693,-2.443354354538621,103.58265621326291
25.0,E7_tp_100pct,4269,609,49.26108374384236,222.29343404568903,6.919035048220562,21.16898297714076,-3.4044284942935805,19.893818468635626,-4.99036204982116,108.72033742257936
25.0,E8_tp_150pct,4268,608,49.34210526315789,222.29343404568903,6.985861806757894,21.16898297714076,-3.4044284942935805,17.390495267675774,-2.443354354538621,91.60208732187134
30.0,E1_trail_5x,4069,409,50.36674816625917,4620.085476411088,18.668962112624186,27.95277075763409,-8.916750691174457,15.970289842610775,-2.938391337142947,82.37352372189861
30.0,E2_trail_8x,4000,340,51.17647058823529,4620.085476411088,23.648680222279786,22.96704656657671,-2.7114920752757237,15.28797776940003,-1.850316984599077,78.06088654138594
30.0,E3_trail_10x,3969,309,51.7799352750809,4620.085476411088,26.311260317109706,19.13159028155793,-3.1081694971019975,18.086109159523645,-1.316472646168917,96.248478304895
30.0,E4_pl20_trail_5x,4069,409,50.36674816625917,4620.085476411088,18.668962112624186,27.95277075763409,-8.916750691174457,15.970289842610775,-2.938391337142947,82.37352372189861
30.0,E5_pl30_trail_8x,4000,340,51.17647058823529,4620.085476411088,23.648680222279786,22.96704656657671,-2.7114920752757237,15.28797776940003,-1.850316984599077,78.06088654138594
30.0,E6_tp_50pct,4170,510,49.01960784313725,222.29343404568903,6.334209331055865,25.68131118215211,-5.789398262887553,24.072108317442687,-1.739091670298217,139.82848752385357
30.0,E7_tp_100pct,4166,506,48.616600790513836,222.29343404568903,6.206655607979629,24.21944981762416,-5.78939826288755,21.705036050520764,-1.739091670298217,121.8061385463518
30.0,E8_tp_150pct,4165,505,48.71287128712871,222.29343404568903,6.573348859278219,24.21944981762416,-5.78939826288755,21.705036050520764,-1.739091670298217,121.8061385463518
