side,pb_kind,pb_level,exit_method,tier,n_total,full_wr,full_pf,full_sum_pnl_pct,full_avg_win_pct,full_avg_loss_pct,full_3x_compd_pct,full_3x_dd_pct,full_5x_compd_pct,full_5x_dd_pct,h2_n,h2_wr,h2_pf,h2_sum_pnl_pct,q1_n,q1_wr,q1_pf,q1_sum_pnl_pct
long,pct,5.0,trend_flip,top25,306,42.810457516339866,7.036422026748279,12495.362261594846,111.18593183823656,-11.828541766937954,1507.8120053822322,-99.9999275621294,-100.0,-100.0,28,35.714285714285715,0.9178237551994117,-11.232663003659926,16,37.5,0.07366923477532372,-120.2693121575091
long,pct,5.0,trend_flip,26-50,392,35.45918367346938,4.380177243625692,10332.066446487199,96.32180252306325,-12.081676301259263,-100.0,-100.0,-100.0,-100.0,45,11.11111111111111,0.06046841791480154,-388.7368910200384,13,23.076923076923077,0.579454129865906,-45.618812949082454
long,pct,5.0,trend_flip,51-100,1057,30.936613055818352,3.228907001783782,22764.19273376431,100.84818570793696,-13.99063560648093,-100.0,-100.0,-100.0,-100.0,118,12.711864406779661,0.964001749539255,-45.5585105893484,32,31.25,1.181782447764798,57.334796803505384
long,pct,5.0,trend_flip,101-200,987,30.49645390070922,1.5585420168422108,4787.159880867976,44.37865161953442,-12.493898333253476,-100.0,-100.0,-100.0,-100.0,131,19.84732824427481,0.19516882047971415,-925.5678530898507,29,13.793103448275861,0.5971849543031691,-108.77793608605421
long,pct,5.0,target_20pct,top25,622,74.7588424437299,1.9804159010919227,5362.896870583232,23.296600429000147,-34.840906553514884,-100.0,-100.0,-100.0,-100.0,27,40.74074074074074,0.41317841076410217,-345.3315356830308,23,47.82608695652174,0.659501979557705,-131.10057633695212
long,pct,5.0,target_20pct,26-50,812,75.24630541871922,1.8284253299943842,6544.182465735281,23.639487089148524,-39.301214655395356,-100.0,-100.0,-100.0,-100.0,31,35.483870967741936,0.27623984713592786,-623.6807380116386,16,50.0,0.8200760677009976,-39.14304855101446
long,pct,5.0,target_20pct,51-100,2185,72.40274599542334,1.4576859420988197,12233.293071245975,24.62823524761521,-44.325995174927506,-100.0,-100.0,-100.0,-100.0,96,48.95833333333333,0.5369147255841221,-1152.0249544784274,55,58.18181818181818,0.9756746308101878,-19.72888332601044
long,pct,5.0,target_20pct,101-200,1652,67.19128329297821,1.2069053865472905,4728.369779499607,24.84791098597775,-42.16385869914336,-100.0,-100.0,-100.0,-100.0,94,39.361702127659576,0.44658770360960687,-1386.844714233394,26,46.15384615384615,0.5828503801555276,-165.55958940668717
long,pct,5.0,target_30pct,top25,477,67.08595387840671,2.017397822691469,5224.718370796879,32.37528879539555,-32.70938881356495,-100.0,-100.0,-100.0,-100.0,24,33.33333333333333,0.35287143980200847,-404.5779310560352,19,36.84210526315789,0.6231881497295032,-137.23773695615128
long,pct,5.0,target_30pct,26-50,620,67.90322580645162,1.8238620168567103,6294.606411892325,33.099694257928235,-38.393793320077705,-100.0,-100.0,-100.0,-100.0,26,26.923076923076923,0.21966262216123764,-657.055616229638,13,38.46153846153847,0.6871368169229494,-68.06442371801037
long,pct,5.0,target_30pct,51-100,1684,64.31116389548693,1.4564279226610557,11813.6184660965,34.80737527188627,-43.06617130342152,-100.0,-100.0,-100.0,-100.0,81,39.50617283950617,0.4894291084629377,-1220.6067535590685,44,50.0,0.9476541503970385,-41.081122806235705
long,pct,5.0,target_30pct,101-200,1282,57.41029641185648,1.1558260917619108,3449.00474144909,34.759081576474024,-40.537874173691925,-100.0,-100.0,-100.0,-100.0,80,26.25,0.39218887306773875,-1502.8192124160564,23,39.130434782608695,0.6070912497254433,-145.24976295147053
long,pct,5.0,target_50pct,top25,373,58.71313672922251,2.20649749609573,5843.920777087477,48.80195487086881,-31.452645062550616,-100.0,-100.0,-100.0,-100.0,18,11.11111111111111,0.11295963261561802,-482.0762289913498,15,26.666666666666668,0.5270533686709605,-163.49867564897812
long,pct,5.0,target_50pct,26-50,473,58.56236786469344,1.9209831668424289,6546.826207543773,49.297274597575175,-36.26795334685996,-100.0,-100.0,-100.0,-100.0,25,16.0,0.1665015104966843,-679.0968057224883,12,41.66666666666667,0.9432221213157886,-11.989598623152741
long,pct,5.0,target_50pct,51-100,1265,53.280632411067195,1.4963593800588741,11882.525687662679,53.14819774900283,-40.50653061787688,-100.0,-100.0,-100.0,-100.0,68,29.411764705882355,0.517225749995299,-1143.255817828518,37,40.54054054054054,0.9814187690868386,-14.12714104784829
long,pct,5.0,target_50pct,101-200,1000,46.0,1.106928080103649,2224.4294006386253,50.059721641024865,-38.524152878208916,-100.0,-100.0,-100.0,-100.0,75,21.333333333333336,0.3559586013732197,-1616.7470904968252,21,28.57142857142857,0.4777826592480932,-215.8922053860398
long,pct,5.0,atr_trail_2,top25,1820,49.45054945054945,2.7849462155341067,5720.072267446242,9.916323450700522,-3.4832813458524208,1.8474564147775758e+42,-87.43573461665027,5.619349275078895e+44,-99.64493833565513,156,37.82051282051282,1.305224633510388,89.02666265356302,41,46.34146341463415,1.8559728233152482,89.4520333277606
long,pct,5.0,atr_trail_2,26-50,2371,47.363981442429356,2.0987555208142576,5503.134323611771,9.360329533860796,-4.013233768360497,1.018436893534608e+33,-99.0095684240772,4.414680315492282e+17,-99.99999026592485,173,32.369942196531795,0.9783427909258804,-9.170281984232265,32,37.5,2.57438023205208,60.49085430278658
long,pct,5.0,atr_trail_2,51-100,5813,47.08412179597454,2.1213685140412815,14800.732930639253,10.230013000584831,-4.290901382302156,2.5044279415506875e+83,-99.40823346054054,2.1848827464928853e+36,-99.99999997099408,337,32.93768545994065,1.3182763418633865,278.6185586645784,112,50.89285714285714,2.61370271872011,308.0654903974236
long,pct,5.0,atr_trail_2,101-200,4937,46.26291270002025,1.7109155896850319,7817.323696666133,8.2370659170026,-4.144792633911724,1.2309973234945176e+32,-99.99999942265978,-99.99999999999997,-100.0,396,29.545454545454547,0.8031842279891405,-231.29366083547023,88,39.77272727272727,1.7917821099072708,130.78112458932762
long,pct,5.0,atr_trail_3,top25,1463,48.59876965140123,3.072727375051713,6329.032525028802,13.196220785468393,-4.06047932638195,3.2076270182704454e+38,-94.4319324723111,5.285966094100838e+32,-99.99142718002055,127,36.22047244094488,1.28072363919555,88.39137899320806,32,43.75,3.4845628046186046,227.47871440257734
long,pct,5.0,atr_trail_3,26-50,1890,46.98412698412698,2.2746251029776534,5984.709479585956,12.027004335752594,-4.685898573415515,3.5409299653164476e+28,-99.83937310884673,194569.12231688664,-99.99999998234055,148,33.78378378378378,0.9108192055327006,-37.98647091219609,26,38.46153846153847,2.7593982548794127,66.47618362893779
long,pct,5.0,atr_trail_3,51-100,4619,47.23966226455943,2.0794758695830247,13903.12618335333,12.274354570729844,-5.284987890840868,1.0521544483430222e+57,-99.99612679053669,-100.0,-100.0,293,34.470989761092156,1.0609104240421143,62.54957151109836,84,44.047619047619044,1.7807224132910906,177.18450807731193
long,pct,5.0,atr_trail_3,101-200,3961,46.680131279979804,1.707196692117641,7463.325975300215,9.744035095420752,-4.996872592865889,5.267755666248436e+19,-99.99999957246672,-100.0,-100.0,327,32.7217125382263,0.7794086003043642,-235.59003561490047,73,39.726027397260275,1.9190524029658582,146.6366562228104
long,pct,10.0,trend_flip,top25,278,39.568345323741006,7.059564581710439,11306.884049541177,119.75309610164683,-11.106884057380784,-90.6270531956033,-99.99999998819554,-100.0,-100.0,24,45.83333333333333,0.7033039566571778,-29.46465743031512,13,15.384615384615385,0.023628620934578744,-85.13160334498703
long,pct,10.0,trend_flip,26-50,367,38.41961852861036,4.840404737424447,9790.72774458442,87.51863631465814,-11.280530866293713,-99.9999692114408,-99.99999999997459,-100.0,-100.0,37,10.81081081081081,0.07519224017707106,-290.2128614783045,11,27.27272727272727,0.2727932002513927,-58.95509606021054
long,pct,10.0,trend_flip,51-100,998,32.46492985971944,3.4114920068938925,22089.79264262129,96.45065032892478,-13.590827988056883,-100.0,-100.0,-100.0,-100.0,108,18.51851851851852,1.1020366900945124,97.24404211264024,27,40.74074074074074,1.25895739887266,74.85332333094166
long,pct,10.0,trend_flip,101-200,925,31.45945945945946,1.7035828798843258,5158.700368885866,42.923518878213685,-11.564737578350655,-100.0,-100.0,-100.0,-100.0,118,21.1864406779661,0.32006406901774725,-568.8102493783116,26,26.923076923076923,0.577668558447493,-94.97837590014649
long,pct,10.0,target_20pct,top25,576,75.69444444444444,2.0410754511174685,5257.670485283703,23.64197361166124,-36.07307149571855,-100.0,-100.0,-100.0,-100.0,30,50.0,0.5390373630461704,-282.61137754987453,19,47.368421052631575,0.73968788120427,-78.78921165785482
long,pct,10.0,target_20pct,26-50,785,74.77707006369427,1.8491825751157225,6506.976650737694,24.13903283475767,-38.700179915480106,-100.0,-100.0,-100.0,-100.0,33,39.39393939393939,0.3207225933412981,-625.1513453617105,13,38.46153846153847,0.6679514868810531,-57.82565511875545
long,pct,10.0,target_20pct,51-100,2163,73.41655108645399,1.5241652736135496,13441.637058658665,24.613052832901353,-44.598071026067274,-100.0,-100.0,-100.0,-100.0,100,51.0,0.6155061785653647,-886.588458785007,50,56.00000000000001,0.9477449342584532,-37.84979747486711
long,pct,10.0,target_20pct,101-200,1595,68.21316614420063,1.267768925128694,5771.354877150081,25.11474722267893,-42.511814795117544,-100.0,-100.0,-100.0,-100.0,93,40.86021505376344,0.5102647225197918,-1153.164505657997,25,52.0,0.841758371510963,-52.89428852499047
long,pct,10.0,target_30pct,top25,465,69.24731182795699,2.1182956755031164,5445.7329317171225,32.035418467741266,-34.05364905521374,-100.0,-100.0,-100.0,-100.0,23,30.434782608695656,0.3795144712715325,-349.67023598581494,18,44.44444444444444,0.8318625808770427,-51.478670491073984
long,pct,10.0,target_30pct,26-50,605,66.77685950413223,1.8760831892545244,6463.319510379293,34.25949882241438,-36.704069720776694,-100.0,-100.0,-100.0,-100.0,26,19.230769230769234,0.18653612843439357,-690.1521751731369,11,36.36363636363637,0.7371647509212627,-40.36642105948627
long,pct,10.0,target_30pct,51-100,1648,64.74514563106796,1.4821359157602867,12055.492242416043,34.73274239802418,-43.036736482402326,-100.0,-100.0,-100.0,-100.0,81,40.74074074074074,0.5715890736630707,-954.3089347230772,41,46.34146341463415,0.821340020282214,-128.06543925113675
