variant,exit_kind,profit_lock,n_total_filtered,thr_n_taken,thr_compd_pct,thr_max_dd_pct,thr_cagr_pct,ho_n_taken,ho_compd_pct,ho_max_dd_pct,ho_cagr_pct
V0_baseline,trail_default,,12499,524,15.974833234597963,-7.926756384803034,34.17700829824939,246,12.84073269109256,-5.005291517553455,63.221874744000694
V1_pl_10,trail_default,0.1,4509,108,17.00732373882743,-7.154796300860477,36.556986022045756,126,-6.875625009990339,-7.322785227200697,-25.090864980371673
V2_pl_15,trail_default,0.15,6056,156,25.094725558598043,-13.641097605709291,55.91668010451378,169,-2.9250333639684767,-4.470552823968069,-11.343060325503895
V3_pl_20,trail_default,0.2,7432,189,15.095738724282914,-5.330970303146445,32.166977485548266,208,2.996047707657312,-4.205115773056252,12.7183161123809
V4_pl_30,trail_default,0.3,9255,279,13.79695533297809,-7.760278075950054,29.224872275048885,216,1.2101772715642722,-5.302798634649724,4.999438026856584
V5_trend_only,trend_only,,1927,23,29.061130967167912,-4.637594862779923,65.87635565062311,19,-7.645389286200244,-6.96369591277906,-27.570521120892522
V6_trail_5x,trail_5,0.3,5428,84,34.68538953504454,-5.08661657268027,80.52297712964047,110,-5.482802707432722,-7.4366556269319375,-20.442187915085796
V7_trail_8x,trail_8,0.3,3704,71,13.534136066313396,-9.062432141086655,28.63350935677833,73,-11.394129255360808,-11.10802268802535,-38.774654981066924
V8_5x_pl_15,trail_5,0.15,3720,70,32.970024224064765,-15.042148850653522,75.99072143921653,93,-14.166836601218824,-14.074687009138204,-46.181120870327476
