split,cap,size_pct,ladder,n_total,n_taken,n_skipped,compd_pct,max_dd_pct,sharpe,win_rate,tier1,tier2,tier3,median_pnl,max_pnl,btc_hodl_pct,btc_dd_pct,vs_hodl_pp
thr_select,1,0.25,AGG,325,41,284,202.5525013610886,-2.7380759902991154,4.611983195167371,0.6829268292682927,5,0,0,0.0600545950864424,0.8363925599608419,-19.6916668652798,-34.36433299057972,222.2441682263684
thr_select,1,0.25,STD,325,40,285,262.6116357365767,-2.7380759902991123,4.441159899577955,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,282.3033026018565
thr_select,1,0.25,CONS,325,40,285,262.6116357365767,-2.7380759902991123,4.441159899577955,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,282.3033026018565
thr_select,1,0.25,HEAVY,325,40,285,271.8945532501551,-2.7380759902991105,4.357192369478279,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,291.5862201154349
thr_select,1,0.25,TWO,325,40,285,262.6116357365767,-2.7380759902991123,4.441159899577955,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,282.3033026018565
thr_select,1,0.25,FLAT,325,40,285,271.8945532501551,-2.7380759902991105,4.357192369478279,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,291.5862201154349
thr_select,1,0.33,AGG,325,41,284,320.91409715249296,-3.6142603071948276,4.611665140343759,0.6829268292682927,5,0,0,0.0600545950864424,0.8363925599608419,-19.6916668652798,-34.36433299057972,340.60576401777274
thr_select,1,0.33,STD,325,40,285,430.2052808187044,-3.614260307194831,4.441518631085757,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,449.8969476839842
thr_select,1,0.33,CONS,325,40,285,430.2052808187044,-3.614260307194831,4.441518631085757,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,449.8969476839842
thr_select,1,0.33,HEAVY,325,40,285,447.0096401522816,-3.614260307194819,4.357692803145305,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,466.70130701756136
thr_select,1,0.33,TWO,325,40,285,430.2052808187044,-3.614260307194831,4.441518631085757,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,449.8969476839842
thr_select,1,0.33,FLAT,325,40,285,447.0096401522816,-3.614260307194819,4.357692803145305,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,466.70130701756136
thr_select,1,0.5,AGG,325,41,284,721.5361606802062,-5.476151980598214,4.610987973137918,0.6829268292682927,5,0,0,0.0600545950864424,0.8363925599608419,-19.6916668652798,-34.36433299057972,741.227827545486
thr_select,1,0.5,STD,325,40,285,1039.6829495340069,-5.476151980598215,4.442218423905142,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,1059.3746163992867
thr_select,1,0.5,CONS,325,40,285,1039.6829495340069,-5.476151980598215,4.442218423905142,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,1059.3746163992867
thr_select,1,0.5,HEAVY,325,40,285,1088.0327143907837,-5.4761519805982255,4.358698860658129,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,1107.7243812560635
thr_select,1,0.5,TWO,325,40,285,1039.6829495340069,-5.476151980598215,4.442218423905142,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,1059.3746163992867
thr_select,1,0.5,FLAT,325,40,285,1088.0327143907837,-5.4761519805982255,4.358698860658129,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,1107.7243812560635
thr_select,1,0.75,AGG,325,41,284,1946.995757881536,-8.214227970897324,4.609988926438324,0.6829268292682927,5,0,0,0.0600545950864424,0.8363925599608419,-19.6916668652798,-34.36433299057972,1966.6874247468159
thr_select,1,0.75,STD,325,40,285,3117.1804622166455,-8.214227970897321,4.443094191699334,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,3136.8721290819253
thr_select,1,0.75,CONS,325,40,285,3117.1804622166455,-8.214227970897321,4.443094191699334,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,3136.8721290819253
thr_select,1,0.75,HEAVY,325,40,285,3291.950428904393,-8.21422797089732,4.360037523785142,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,3311.642095769673
thr_select,1,0.75,TWO,325,40,285,3117.1804622166455,-8.214227970897321,4.443094191699334,0.725,2,0,0,0.07796460314047604,1.0863925599608422,-19.6916668652798,-34.36433299057972,3136.8721290819253
thr_select,1,0.75,FLAT,325,40,285,3291.950428904393,-8.21422797089732,4.360037523785142,0.725,0,0,0,0.07796460314047604,1.1727851199216839,-19.6916668652798,-34.36433299057972,3311.642095769673
thr_select,2,0.25,AGG,325,73,252,627.2684215071521,-4.510451045104518,6.137370052093151,0.6712328767123288,9,0,0,0.058641975308642014,0.8363925599608419,-19.6916668652798,-34.36433299057972,646.9600883724319
thr_select,2,0.25,STD,325,72,253,672.7948852582106,-4.510451045104507,5.637050368519969,0.6666666666666666,2,0,0,0.057007029737400794,1.0863925599608422,-19.6916668652798,-34.36433299057972,692.4865521234904
thr_select,2,0.25,CONS,325,72,253,672.7948852582106,-4.510451045104507,5.637050368519969,0.6666666666666666,2,0,0,0.057007029737400794,1.0863925599608422,-19.6916668652798,-34.36433299057972,692.4865521234904
thr_select,2,0.25,HEAVY,325,72,253,692.5785614223664,-4.510451045104507,5.567668490055467,0.6666666666666666,0,0,0,0.057007029737400794,1.1727851199216839,-19.6916668652798,-34.36433299057972,712.2702282876462
thr_select,2,0.25,TWO,325,72,253,672.7948852582106,-4.510451045104507,5.637050368519969,0.6666666666666666,2,0,0,0.057007029737400794,1.0863925599608422,-19.6916668652798,-34.36433299057972,692.4865521234904
thr_select,2,0.25,FLAT,325,72,253,692.5785614223664,-4.510451045104507,5.567668490055467,0.6666666666666666,0,0,0,0.057007029737400794,1.1727851199216839,-19.6916668652798,-34.36433299057972,712.2702282876462
thr_select,2,0.33,AGG,325,73,252,1218.2168624047251,-5.869084284041117,6.134849204526754,0.6712328767123288,9,0,0,0.058641975308642014,0.8363925599608419,-19.6916668652798,-34.36433299057972,1237.908529270005
