side,tier,threshold,full_n,full_wr,full_pf,full_avg_win,full_avg_loss,full_sum_pnl_pct,oos_n,oos_wr,oos_pf,oos_avg_win,oos_avg_loss,oos_sum_pnl_pct
long,top25,0.0,1508,49.40318302387268,3.2155037075020645,11.941070992704155,-3.625984977455406,6129.471351766121,170,48.8235294117647,3.1845366615648873,9.985081082107929,-2.9913290085169604,568.5161060739824
long,top25,0.5,724,92.26519337016575,53.65617067117199,12.25631112362448,-2.7247617722279722,8034.629171336388,77,67.53246753246754,11.07734840352265,12.267763709992371,-2.3035249580729644,580.3355889677792
long,top25,0.6,603,95.35655058043118,100.58238855195302,12.949745503658782,-2.6439248218736635,7372.073769591337,54,72.22222222222221,17.78498221361942,14.218564388522397,-2.0786226809857924,523.3446709375868
long,top25,0.7,479,96.4509394572025,158.4445919355887,13.259694944011516,-2.274307410892208,6087.3158381481535,46,71.73913043478261,18.148545716445142,15.957006511058422,-2.2319279974371593,497.56615089824487
long,top25,0.75,406,97.53694581280789,261.7599268966916,13.601307638380874,-2.057655611633998,5365.5412686824875,36,80.55555555555556,46.45125503375118,17.86547749076052,-1.5933718255701064,506.9452444530643
long,top25,0.8,339,97.34513274336283,250.1780668362215,15.07848846365636,-2.20993757496738,4956.011754831891,29,79.3103448275862,44.30413501101224,20.16124162282544,-1.7444141395595303,453.242072487628
long,top25,0.85,256,97.265625,440.72825580360177,17.0840663674874,-1.378864727864033,4244.280472409314,22,77.27272727272727,81.87574030931404,26.366696048833262,-1.0949124395988519,442.7592706321712
long,top25,0.9,177,97.17514124293785,473.38413541327446,17.89430337030043,-1.3003478356978193,3071.3184405131856,17,82.35294117647058,172.1557800406778,28.580912564190637,-0.7747494271450421,397.80852761723384
long,top25,0.93,111,99.09909909909909,752.4554635035495,18.925394991149922,-2.766666666666673,2079.0267823598247,10,100.0,inf,11.155449179895086,0.0,111.55449179895085
long,26-50,0.0,1309,45.378151260504204,2.5739094952408323,15.41637270816908,-4.975873518357349,5599.575823026928,127,43.30708661417323,1.7526185350689856,8.772481462393198,-3.8235366013872194,207.19184513174608
long,26-50,0.5,574,91.1149825783972,53.855058455832676,16.52904805640263,-3.1474066166414802,8484.174396049857,47,38.297872340425535,2.6339637269690694,14.52267335172108,-3.422246488274138,162.16297217102937
long,26-50,0.6,478,93.72384937238493,90.85746557830986,18.147385475955637,-2.982704334927352,8040.547563180306,32,40.625,3.6316451383133836,18.296417078638505,-3.4470882154753606,172.3587459282687
long,26-50,0.7,322,96.58385093167702,211.25609275005192,22.48976311310739,-3.009839530059996,6961.208093345739,17,52.94117647058824,7.716214556790355,23.111709159237044,-3.3696150635496247,181.0484619247364
