split,threshold,cap,sizing_mode,size_pct,n_total,n_taken,n_skipped,compd_pct,max_dd_pct,sharpe,btc_hodl_pct,btc_dd_pct,vs_hodl_pp,win_start,win_end
train,0.5,1,full,1.0,7271,605,6666,2947160210139498.5,-24.26308251766638,3.6852486260506803,1036.680267868106,-77.08301064203098,2947160210138462.0,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,1,half,0.5,7271,605,6666,2353611331.557789,-12.661856546804376,3.685180373145374,1036.680267868106,-77.08301064203098,2353610294.877521,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,1,fixed_1pct,0.01,7271,605,6666,46.447372383460504,-0.26393276952277045,3.685057571972087,1036.680267868106,-77.08301064203098,-990.2328954846455,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,2,full,0.5,7271,1112,6159,999675032462255.9,-19.170715051567512,4.975215891556786,1036.680267868106,-77.08301064203098,999675032461219.2,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,2,half,0.25,7271,1112,6159,690464447.1286763,-9.974457462259414,4.976373215042735,1036.680267868106,-77.08301064203098,690463410.4484085,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,2,fixed_1pct,0.01,7271,1112,6159,94.87788940614598,-0.4144772109457598,4.975802325655867,1036.680267868106,-77.08301064203098,-941.8023784619601,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,3,full,0.3333333333333333,7271,1538,5733,317657407907639.2,-19.059155670008572,5.647045826373908,1036.680267868106,-77.08301064203098,317657407906602.5,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,3,half,0.16666666666666666,7271,1538,5733,298930752.08555937,-9.89075825712109,5.671266067934885,1036.680267868106,-77.08301064203098,298929715.4052915,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,3,fixed_1pct,0.01,7271,1538,5733,153.06280629970072,-0.6142091261683548,5.691315091356687,1036.680267868106,-77.08301064203098,-883.6174615684054,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,5,full,0.2,7271,2246,5025,4829529035472.955,-13.397157318097378,6.479470896278254,1036.680267868106,-77.08301064203098,4829529034436.274,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,5,half,0.1,7271,2246,5025,28283628.995458852,-6.899191550679154,6.563299239700248,1036.680267868106,-77.08301064203098,28282592.315190986,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.5,5,fixed_1pct,0.01,7271,2246,5025,259.6682165463594,-0.7085157243915481,6.635017652112262,1036.680267868106,-77.08301064203098,-777.0120513217466,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,1,full,1.0,6616,566,6050,561495147987810.75,-35.855001393712406,4.323832731380393,1036.680267868106,-77.08301064203098,561495147986774.06,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,1,half,0.5,6616,566,6050,695200012.4229804,-19.570285638858632,4.3215202517534665,1036.680267868106,-77.08301064203098,695198975.7427126,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,1,fixed_1pct,0.01,6616,566,6050,40.84985636733305,-0.42683282009164614,4.319188607720655,1036.680267868106,-77.08301064203098,-995.830411500773,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,2,full,0.5,6616,1038,5578,204335122810986.62,-27.58795762820582,5.519600273838405,1036.680267868106,-77.08301064203098,204335122809949.94,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,2,half,0.25,6616,1038,5578,252968810.33735657,-14.751475441082087,5.517553004093631,1036.680267868106,-77.08301064203098,252967773.6570887,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,2,fixed_1pct,0.01,6616,1038,5578,85.06756942222738,-0.6296938418393244,5.514551648689331,1036.680267868106,-77.08301064203098,-951.6126984458787,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,3,full,0.3333333333333333,6616,1437,5179,36903315998764.67,-20.04672811064994,6.047409814006359,1036.680267868106,-77.08301064203098,36903315997727.99,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,3,half,0.16666666666666666,6616,1437,5179,88805889.4395911,-10.502112349923355,6.072813482796683,1036.680267868106,-77.08301064203098,88804852.75932322,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,3,fixed_1pct,0.01,6616,1437,5179,133.0056420156037,-0.6585204169685873,6.094078172193459,1036.680267868106,-77.08301064203098,-903.6746258525023,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,5,full,0.2,6616,2073,4543,5131414280716.352,-17.341891433399223,6.952649643436678,1036.680267868106,-77.08301064203098,5131414279679.671,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,5,half,0.1,6616,2073,4543,28116851.320262957,-9.239409093826238,6.991347757878277,1036.680267868106,-77.08301064203098,28115814.63999509,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.55,5,fixed_1pct,0.01,6616,2073,4543,258.06836606585745,-0.9809909725691169,7.02431041365205,1036.680267868106,-77.08301064203098,-778.6119018022487,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,1,full,1.0,5921,541,5380,4011800069247326.5,-29.18809984889334,3.5155838258230645,1036.680267868106,-77.08301064203098,4011800069246290.0,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,1,half,0.5,5921,541,5380,2603380907.3162208,-15.46821329626678,3.515641087206593,1036.680267868106,-77.08301064203098,2603379870.635953,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,1,fixed_1pct,0.01,5921,541,5380,46.83954235041807,-0.32721388267063206,3.515488290167716,1036.680267868106,-77.08301064203098,-989.840725517688,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,2,full,0.5,5921,969,4952,2022497721486165.2,-16.411573833533012,4.914366700414258,1036.680267868106,-77.08301064203098,2022497721485128.5,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,2,half,0.25,5921,969,4952,969500774.3565556,-8.462766835056962,4.907664256042373,1036.680267868106,-77.08301064203098,969499737.6762878,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,2,fixed_1pct,0.01,5921,969,4952,97.73691833388445,-0.34862238713517857,4.899787567916768,1036.680267868106,-77.08301064203098,-938.9433495342216,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,3,full,0.3333333333333333,5921,1315,4606,412581779820273.2,-23.52803183111603,5.807304458065979,1036.680267868106,-77.08301064203098,412581779819236.5,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,3,half,0.16666666666666666,5921,1315,4606,331533520.3200189,-12.993481785076085,5.803191635577339,1036.680267868106,-77.08301064203098,331532483.639751,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,3,fixed_1pct,0.01,5921,1315,4606,154.40150381973154,-0.8631668114301371,5.796962124817606,1036.680267868106,-77.08301064203098,-882.2787640483746,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,5,full,0.2,5921,1885,4036,10227388811513.885,-13.484953150393864,6.462922650590028,1036.680267868106,-77.08301064203098,10227388810477.205,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,5,half,0.1,5921,1885,4036,41218108.90345997,-7.084633851950557,6.501976955022674,1036.680267868106,-77.08301064203098,41217072.2231921,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.6,5,fixed_1pct,0.01,5921,1885,4036,273.6762101041067,-0.7419258816873611,6.535275137117433,1036.680267868106,-77.08301064203098,-763.0040577639993,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,1,full,1.0,5135,459,4676,4.695948645734273e+16,-29.12586137844008,4.427808372588926,1036.680267868106,-77.08301064203098,4.695948645734169e+16,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,1,half,0.5,5135,459,4676,7618087100.688463,-15.505131922722848,4.428370790319576,1036.680267868106,-77.08301064203098,7618086064.008195,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,1,fixed_1pct,0.01,5135,459,4676,48.708586915897946,-0.32968216359858876,4.428860569217778,1036.680267868106,-77.08301064203098,-987.9716809522081,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,2,full,0.5,5135,820,4315,2905639714512851.0,-22.123299527523873,5.6080040785425815,1036.680267868106,-77.08301064203098,2905639714511814.5,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,2,half,0.25,5135,820,4315,1023506600.1455482,-12.437435295775082,5.602417341062729,1036.680267868106,-77.08301064203098,1023505563.4652804,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,2,fixed_1pct,0.01,5135,820,4315,96.4358836788097,-0.5649523744093485,5.590904209836186,1036.680267868106,-77.08301064203098,-940.2443841892964,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,3,full,0.3333333333333333,5135,1123,4012,819245485888425.2,-32.926977473735974,4.9658455165064215,1036.680267868106,-77.08301064203098,819245485887388.6,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,3,half,0.16666666666666666,5135,1123,4012,466946538.74590194,-19.656900874040765,5.233253068869205,1036.680267868106,-77.08301064203098,466945502.0656341,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,3,fixed_1pct,0.01,5135,1123,4012,159.72719691513615,-1.4423832305390318,5.439988245722528,1036.680267868106,-77.08301064203098,-876.9530709529699,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,5,full,0.2,5135,1622,3513,12195782307193.537,-22.707403644352052,6.374106925569752,1036.680267868106,-77.08301064203098,12195782306156.857,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,5,half,0.1,5135,1622,3513,45482534.48920722,-12.78612666971658,6.405566374807558,1036.680267868106,-77.08301064203098,45481497.80893935,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.65,5,fixed_1pct,0.01,5135,1622,3513,277.83127522673084,-1.44238323053903,6.430766312699805,1036.680267868106,-77.08301064203098,-758.8489926413752,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,1,full,1.0,4347,418,3929,3.9790371613244326e+17,-18.02590542506898,3.9086193470025354,1036.680267868106,-77.08301064203098,3.9790371613244224e+17,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,1,half,0.5,4347,418,3929,28490570630.368023,-9.182493675325183,3.9109776620993704,1036.680267868106,-77.08301064203098,28490569593.687756,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,1,fixed_1pct,0.01,4347,418,3929,54.479951819568484,-0.18820577840874458,3.9132168652450265,1036.680267868106,-77.08301064203098,-982.2003160485376,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,2,full,0.5,4347,728,3619,1.4435351092286384e+16,-46.97480185636218,4.79638117157457,1036.680267868106,-77.08301064203098,1.4435351092285348e+16,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,2,half,0.25,4347,728,3619,2546505932.3351946,-30.69742919873174,4.784189959519522,1036.680267868106,-77.08301064203098,2546504895.654927,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,2,fixed_1pct,0.01,4347,728,3619,105.29004857892916,-1.740945726441487,4.703690118960587,1036.680267868106,-77.08301064203098,-931.3902192891769,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,3,full,0.3333333333333333,4347,975,3372,516416777060504.56,-37.13053261177207,5.787082706141748,1036.680267868106,-77.08301064203098,516416777059467.9,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,3,half,0.16666666666666666,4347,975,3372,357387718.9192535,-22.79772458717811,5.8159180755932285,1036.680267868106,-77.08301064203098,357386682.23898566,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,3,fixed_1pct,0.01,4347,975,3372,154.89680319440984,-1.7409457264414907,5.840267243110856,1036.680267868106,-77.08301064203098,-881.7834646736962,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,5,full,0.2,4347,1391,2956,11554081425267.29,-26.164296646677375,6.571500897498129,1036.680267868106,-77.08301064203098,11554081424230.61,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,5,half,0.1,4347,1391,2956,43621609.433238514,-15.051163910498989,6.622707548255719,1036.680267868106,-77.08301064203098,43620572.75297064,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
train,0.7,5,fixed_1pct,0.01,4347,1391,2956,275.6488230638794,-1.740945726441492,6.667450180114857,1036.680267868106,-77.08301064203098,-761.0314448042267,2020-01-14 00:00:00+00:00,2025-01-03 04:00:00+00:00
thr_select,0.5,1,full,1.0,642,67,575,474.9319553551994,-32.30863787213178,2.5284528888867985,-18.23733963979266,-34.364332990579726,493.1692949949921,2025-07-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
thr_select,0.5,1,half,0.5,642,67,575,173.8320394514643,-17.337522204074535,2.532293691255622,-18.23733963979266,-34.364332990579726,192.06937909125696,2025-07-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
thr_select,0.5,1,fixed_1pct,0.01,642,67,575,2.397094455440385,-0.37430506194053825,2.5359862422724704,-18.23733963979266,-34.364332990579726,20.634434095233043,2025-07-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
thr_select,0.5,2,full,0.5,642,120,522,639.4409262159749,-22.70612416882048,3.6392751891124684,-18.23733963979266,-34.364332990579726,657.6782658557676,2025-07-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
