side,tier,n,n_mega,WR,PF,sum_pnl,max_pnl,oos_n,oos_PF
long,top25,962,78,48.85654885654886,10.124540830800438,21148.34186545485,6717.375728155339,132,1.3385129342920177
long,26-50,730,95,43.6986301369863,3.8983879072974155,8049.85349969519,2439.094456474664,109,0.8877511262531507
long,51-100,3513,372,47.02533447196129,2.842994942845372,21669.493717895282,3005.9113728675875,365,1.066623647876272
long,101-200,3493,240,45.147437732608076,1.5694852410210203,5719.48158033384,823.0160896130346,410,0.8476596663617568
short,top25,2027,17,50.962012826837686,2.348833668168355,3834.739072327564,207.0955719557196,497,2.447650181009248
short,26-50,1718,23,46.39115250291036,3.062994557203412,6456.801529433756,366.6677533484963,365,1.9709457460330653
short,51-100,8078,97,50.16093092349592,4.1388515168126325,40801.25129022429,10000.0,1785,2.0834066446148514
short,101-200,8111,74,49.63629638762175,2.5321167817295676,18592.477589767524,688.0773399014779,1811,1.8303111832047687
