universe,threshold,leverage,max_concurrent,thr_n_total,thr_n_taken,thr_skipped,thr_compd_pct,thr_max_dd_pct,thr_sharpe,thr_cagr_pct,ho_n_total,ho_n_taken,ho_skipped,ho_compd_pct,ho_max_dd_pct,ho_sharpe,ho_cagr_pct
U1_all_200,0.0,1,3,5241,412,4829,1.9928964907175883,-2.210540201295748,1.2436043476565288,3.9920462469578366,2459,188,2271,1.8694832840709497,-0.5246856823090873,3.8448856018265776,7.80112862813056
U1_all_200,0.0,1,5,5241,663,4578,3.245585711545118,-2.305891662491719,1.5884466239067563,6.541012343238295,2459,310,2149,2.662632903108819,-0.7037490287148405,3.83325907219633,11.245797652179368
U1_all_200,0.0,3,3,5241,412,4829,5.992054513712142,-6.492518630636615,1.252445360113014,12.236613952042097,2459,188,2271,5.681789811825122,-1.5668364428056514,3.8460446389145586,25.122087519957258
U1_all_200,0.0,3,5,5241,663,4578,9.903132138711012,-6.765255828224549,1.601426167697026,20.601163241766397,2459,310,2149,8.154001549572708,-2.0980023024940655,3.841619861951025,37.423695981050685
U1_all_200,0.0,5,3,5241,412,4829,10.003098728622128,-10.595174702704886,1.2612399156029486,20.818866834395223,2459,188,2271,9.592667304954695,-2.5994237312057638,3.8471932450900903,44.98933950958677
U1_all_200,0.0,5,5,5241,663,4578,16.776419859471247,-11.028536740609177,1.6142935863882304,36.022931737247575,2459,310,2149,13.871527963199682,-3.474760356785578,3.8499362715546743,69.35373049214468
U1_all_200,0.5,1,3,3166,370,2796,4.369676133741729,-0.7445457848617296,2.734517624242306,8.85436011745857,1351,180,1171,2.367387708680835,-0.7539334420426191,3.662357050043991,9.95399605354288
U1_all_200,0.5,1,5,3166,616,2550,6.695905273219016,-1.0432842720093622,3.1836044747806294,13.71992757504421,1351,278,1073,3.974220702299891,-0.8240371320667024,4.848616932016333,17.12322199679539
U1_all_200,0.5,3,3,3166,370,2796,13.570424384166802,-2.218764107324449,2.7385502105268573,28.71508073600062,1351,180,1171,7.231893515639598,-2.2465404779611355,3.6671583021925853,32.73350566392841
U1_all_200,0.5,3,5,3166,616,2550,21.282761199407464,-3.099399513198814,3.1922628675990743,46.633048066968016,1351,278,1073,12.336727331887666,-2.457089708918194,4.856530058632037,60.28535194507787
U1_all_200,0.5,5,3,3166,370,2796,23.411762826464553,-3.6733479602802146,2.7425507275904253,51.783164344568135,1351,180,1171,12.272478237359131,-3.719006678377544,3.6719319915345596,59.91389375676426
U1_all_200,0.5,5,5,3166,616,2550,37.59565789634802,-5.11552522719809,3.200822870432578,88.34304975263055,1351,278,1073,21.277449158609386,-4.0701963691678404,4.864406460216605,118.6626780213223
