side,tier,threshold,full_n,full_wr,full_pf,full_avg_win,full_avg_loss,full_sum_pnl_pct,oos_n,oos_wr,oos_pf,oos_sum_pnl_pct
long,26-50,0.7,328,96.95121951219512,211.5270703845725,21.71281509533203,-3.2642040509341683,6872.033159806244,15,53.333333333333336,7.650339025907348,172.76348479535469
long,26-50,0.75,253,98.41897233201581,405.56887019531,24.97880565373179,-3.833949709197343,6204.386808942426,10,70.0,14.907549754260197,178.91275846806502
long,26-50,0.8,194,100.0,inf,28.05393529534395,0.0,5442.463447296727,6,100.0,inf,182.53955742671022
long,26-50,0.85,155,100.0,inf,31.452968353930082,0.0,4875.210094859163,6,100.0,inf,182.53955742671022
long,26-50,0.9,115,100.0,inf,36.4212299278206,0.0,4188.441441699369,6,100.0,inf,182.53955742671022
long,26-50,0.93,92,100.0,inf,37.84760029912591,0.0,3481.9792275195837,6,100.0,inf,182.53955742671022
long,51-100,0.0,6108,48.47740667976424,2.3161401826093293,10.166670194719654,-4.130052369785544,17106.23563884979,460,41.95652173913044,1.9371221659322395,876.2254252995664
long,51-100,0.5,2772,93.25396825396825,45.51837041647044,10.654225079429432,-3.235594604936961,26936.115639201875,170,67.05882352941175,7.224772514631576,1098.77534057535
long,51-100,0.6,2314,96.36992221261885,86.51920695767674,11.23608594581018,-3.447689128976789,24766.86577232265,126,80.15873015873017,15.794246838986886,1082.3791205108182
long,51-100,0.7,1811,98.17780231916069,164.0968736492844,11.661084270234046,-3.828745008118867,20607.05924720821,85,89.41176470588236,38.66954347207403,942.2631626164629
long,51-100,0.75,1531,98.75898105813195,325.4091952446051,12.393360339629698,-3.0308011715646797,18681.175611260376,73,91.78082191780823,82.46970281928144,889.7591060197117
long,51-100,0.8,1281,99.21935987509758,555.3848987355917,12.763091914110989,-2.9208373975897395,16192.68144885917,67,94.02985074626866,134.3350346018963,855.6662240526787
long,51-100,0.85,1004,99.60159362549801,969.8110315243937,13.746597155265372,-3.543627755413814,13732.422644243716,52,98.07692307692307,420.08537632853364,761.368411158229
long,51-100,0.9,739,99.59404600811908,1134.3753659645838,15.020143268139611,-3.2484325080380536,11045.080147826638,38,97.36842105263158,366.7928058827821,664.5497627904757
long,51-100,0.93,510,99.6078431372549,1279.9596634446532,16.44462765607524,-3.2633336377195343,8347.34418201078,27,96.29629629629629,323.69064187285403,586.2444150419673
long,101-200,0.0,4858,46.521202140798685,2.0453018232719242,8.491750454492022,-3.611678717829059,9808.214718232077,478,37.238493723849366,1.3230130325418032,324.0826653374223
long,101-200,0.5,2165,91.91685912240185,34.67882293747138,8.851484213385278,-2.9024635774151086,17106.522458589057,156,67.3076923076923,6.8669332754032535,843.3028657626043
long,101-200,0.6,1815,95.75757575757575,69.32006475468778,9.15981677651875,-2.9825440993198815,15690.10566194196,118,74.57627118644068,10.74513218202642,789.2733931651443
long,101-200,0.7,1426,98.10659186535764,142.66599878969993,9.851643229956487,-3.578014901324009,13685.842476373375,77,92.20779220779221,72.31358983211221,769.908553871811
long,101-200,0.75,1200,98.5,171.69750540384598,10.567491758617022,-4.041596045228897,12418.026529871198,68,92.64705882352942,77.93979386694431,739.1530858755038
long,101-200,0.8,992,99.19354838709677,228.70116132599827,11.353990144873675,-6.10640007126499,11123.475101985576,50,98.0,1500.6806610271556,658.6217668467976
long,101-200,0.85,779,99.74326059050064,10449.256208720324,11.812738913253472,-0.43919385036889624,9177.61974789721,43,97.67441860465115,1126.335467285873,494.2188380635306
long,101-200,0.9,546,99.81684981684981,15777.331224848816,12.714879607343455,-0.43921302578019394,6929.170172976402,31,100.0,inf,428.1499978305479
long,101-200,0.93,359,100.0,inf,14.822761111733124,0.0,5321.371239112192,19,100.0,inf,357.4945996621365
short,top25,0.0,2628,50.57077625570776,2.4292446802012413,6.529000285396415,-2.74973763072468,5105.132196980476,606,47.524752475247524,2.1371418419321753,969.67746523676
short,top25,0.5,1198,87.97996661101837,19.2578713486787,6.841879499232416,-2.60043054517814,6836.8789936853145,204,60.78431372549019,4.424555255692915,713.5404379787157
short,top25,0.6,992,93.14516129032258,36.5689509283296,7.2621223317294685,-2.698448396061598,6526.70654358584,131,70.22900763358778,6.493251571534461,619.3926187377871
short,top25,0.7,790,95.18987341772151,53.0864177007595,7.89951558991089,-2.944769352600633,5828.534488214165,95,80.0,9.886449894925427,598.0034366351657
short,top25,0.75,677,96.602658788774,71.12754669150698,8.183034129019177,-3.2713457353925732,5276.463368464512,78,87.17948717948718,14.089729633829306,583.1377809504891
short,top25,0.8,556,97.12230215827337,80.98247111500656,8.723260626285983,-3.635478666970387,4652.393079522905,64,92.1875,20.771407694480693,570.5882448757509
short,top25,0.85,440,97.95454545454545,142.84368646424255,9.6548891050376,-3.23683827427284,4132.12565980275,55,96.36363636363636,99.31148363887685,560.1453465791878
short,top25,0.9,322,98.75776397515527,285.5196525409487,10.848618800709573,-3.020685921200181,3437.778034940844,39,97.43589743589743,151.95980085072975,468.3753350092541
short,top25,0.93,249,99.19678714859438,449.6406175821125,11.958067292965952,-3.2844481858038566,2947.0737249909826,31,100.0,inf,373.01872996341336
short,26-50,0.0,2830,47.6678445229682,2.529185658247123,8.963323969676656,-3.2280873242813293,7310.726707833163,621,46.05475040257649,2.135596346860507,1164.8139910982163
short,26-50,0.5,1123,89.22528940338378,28.45307126867577,10.049144223109343,-2.924706421847821,9715.353034511974,190,63.68421052631579,6.243005167186158,1057.8447032285465
short,26-50,0.6,900,95.0,68.88757101648329,10.779028103968393,-2.9729823675506712,9082.284822353198,117,72.64957264957265,11.45498242725199,982.7699508337014
short,26-50,0.7,682,97.36070381231671,144.2183774342432,11.845414421751165,-3.029878606463008,7810.817361126442,81,81.48148148148148,16.60347684852989,762.6050863540005
short,26-50,0.75,563,97.69094138543517,163.5007099985373,12.618324087280552,-3.2651367258783397,6897.631470567884,67,80.59701492537313,15.274546234377198,605.9084870164735
short,26-50,0.8,467,98.92933618843684,543.4553325257467,13.541588341839885,-2.3023838168461186,6244.701894845796,54,90.74074074074075,53.91593651284119,609.163979402111
short,26-50,0.85,390,99.74358974358975,6440.947778962502,14.538012405437959,-0.8780209093119384,5654.408804806055,44,97.72727272727273,665.9122273439609,583.8068384651708
short,26-50,0.9,327,100.0,inf,15.219858315397722,0.0,4976.8936691350555,40,100.0,inf,561.1842291756687
short,26-50,0.93,268,100.0,inf,15.510881264229534,0.0,4156.916178813515,37,100.0,inf,532.9652657544385
short,51-100,0.0,12539,50.29906691123694,2.60307948144826,8.045343753012371,-3.127897855691713,31248.923613578267,2692,49.14561664190193,2.052006311144618,4127.2964095297675
short,51-100,0.5,5521,88.53468574533599,21.688618434666278,8.88042005218893,-3.161761506062857,41406.0981817617,891,62.62626262626263,3.8431008240172084,2995.494100365424
short,51-100,0.6,4584,93.43368237347295,41.169078074414166,9.399382599697702,-3.2487011708026126,39279.69662209368,611,72.66775777414075,6.2243915182809895,2883.031548975923
short,51-100,0.7,3637,95.84822656035193,68.60898351069103,10.253190024353138,-3.45007436952074,35221.65919509741,430,79.30232558139535,8.436661929586126,2559.1949780537307
short,51-100,0.75,3136,96.90688775510205,106.86387424318512,10.91596383463067,-3.2002959279168386,32863.18538843467,355,85.07042253521126,13.06393541996093,2468.7849092698334
short,51-100,0.8,2620,97.59541984732824,143.94881863826245,11.608599355820754,-3.273119762412654,29476.982007801667,283,88.33922261484098,18.8614442575079,2196.065107958102
short,51-100,0.85,2094,97.94651384909264,200.79678455124431,12.599065907458492,-2.9928076038445357,25711.99344923205,240,91.25,27.249922867863003,1958.4764116559747
short,51-100,0.9,1597,98.12147777082029,320.7107634389364,14.169433018728414,-2.3077389423273904,22134.269372077604,180,93.88888888888889,74.04817740293127,1504.045519317501
short,51-100,0.93,1321,98.25889477668433,415.5063297407512,15.051514451234954,-2.044322517341851,19489.84633980411,144,94.44444444444444,101.30697129898884,1256.6523230239688
short,101-200,0.0,11411,49.76776794321269,2.56576500625553,7.4791155143192025,-2.888012377810406,25919.810056209506,2546,48.507462686567166,1.928192500049363,3264.64262099227
short,101-200,0.5,4952,86.63166397415186,16.919090049695672,8.155862631345348,-3.1238646111628947,32920.65231588171,851,63.21974148061105,3.1383742000898023,2266.149558569247
short,101-200,0.6,4018,92.13539074166252,30.16927384563515,8.574234971824518,-3.3295064119932563,30689.693839504496,569,70.65026362038664,4.209767443485845,1992.324202388336
short,101-200,0.7,3149,95.10955859002857,48.08912794768124,9.157508974944477,-3.703450610566947,26856.4079859314,404,79.95049504950495,6.069419911412167,1847.0453785476682
short,101-200,0.75,2709,95.75489110372831,57.20115918950272,9.765160488331192,-3.8507620817859696,24887.988667325728,341,82.11143695014663,6.722838987370284,1662.958469916716
short,101-200,0.8,2230,96.63677130044843,95.4300759482007,10.519874337693006,-3.1674611275986475,22432.769613158525,278,87.41007194244604,13.286993655961709,1678.428928166736
short,101-200,0.85,1798,97.05228031145717,126.15439103004785,11.320680040122276,-2.9545388577781115,19597.996110551132,231,91.34199134199135,21.95103311469837,1531.525308958117
short,101-200,0.9,1363,96.99192956713134,160.03282775038124,11.964321722237079,-2.4106080470104896,15717.998386869991,166,93.97590361445783,40.718377141219506,1146.293065566869
short,101-200,0.93,1101,96.73024523160763,166.5423272623311,13.000311664883318,-2.3092781261166677,13762.197910560533,136,94.11764705882352,44.680518817180854,986.555587885217
