side,tier,threshold,full_n,full_wr,full_pf,full_avg_win,full_avg_loss,full_sum_pnl_pct,oos_n,oos_wr,oos_pf,oos_sum_pnl_pct
long,top25,0.0,1508,49.40318302387268,3.2155037075020645,11.941070992704155,-3.625984977455406,6129.471351766121,170,48.8235294117647,3.1845366615648873,568.5161060739824
long,top25,0.5,722,91.13573407202216,44.915002826637135,12.239815967928221,-2.8017499721859402,7874.486908676869,77,64.93506493506493,10.33828186396574,545.3265600587499
long,top25,0.6,594,95.45454545454545,102.79662773080612,12.824946211411456,-2.619967954055068,7201.00536711081,55,72.72727272727273,17.69527961004969,519.0439216217354
long,top25,0.7,481,96.25779625779626,170.3742824435444,13.850090614079283,-2.091014579570195,6374.953691886445,43,76.74418604651163,25.3406420249748,499.2585998997621
long,top25,0.75,406,97.29064039408867,260.1039413585504,13.672133741594802,-1.8875296194431845,5379.730002116073,34,79.41176470588235,44.498922678801684,483.47590103657075
long,top25,0.8,329,98.17629179331307,522.5101568098938,15.135160589317348,-1.5593498699293087,4879.300771129928,28,85.71428571428571,90.670341397971,464.3675762469112
long,top25,0.85,257,97.66536964980544,445.72309063955817,16.614460001911187,-1.5593498699293087,4160.873361260131,20,80.0,80.90361551929594,413.78952832781454
long,top25,0.9,177,98.30508474576271,877.519982196165,18.332464171587254,-1.211690837274141,3186.2136933443594,17,88.23529411764706,186.11367939470082,411.7387832637962
long,top25,0.93,119,99.15966386554622,1535.5012603484147,18.757363473871578,-1.4414634146341365,2211.9274265022123,11,90.9090909090909,97.56725692646943,139.19816791108056
long,26-50,0.0,1309,45.378151260504204,2.5739094952408323,15.41637270816908,-4.975873518357349,5599.575823026928,127,43.30708661417323,1.7526185350689856,207.19184513174608
long,26-50,0.5,566,91.69611307420494,58.82311235480292,16.79994810747577,-3.1537658101478363,8570.946074702979,45,40.0,2.983603878859077,174.9359689030715
long,26-50,0.6,472,94.70338983050848,97.5278671633393,18.08320892803232,-3.315234763533891,8000.3135217421,28,42.857142857142854,4.657920577373028,174.1960300445424
