side,tier,threshold,full_n,full_wr,full_pf,full_avg_win,full_avg_loss,full_sum_pnl_pct,oos_n,oos_wr,oos_pf,oos_sum_pnl_pct,h2_n,h2_pf,h2_sum_pnl_pct,q1_n,q1_pf,q1_sum_pnl_pct
long,top25,0.0,1508,49.40318302387268,3.2155037075020645,11.941070992704155,-3.625984977455406,6129.471351766121,170,48.8235294117647,3.1845366615648873,568.5161060739824,129,2.218011036638577,258.1194552223562,41,7.422866670817754,310.3966508516262
long,top25,0.4,793,89.40731399747793,33.5545394806349,12.239081723611807,-3.0786796505151464,8418.899851397498,97,57.73195876288659,5.868523261059199,536.2766701118555,67,3.300055045148953,203.3891263082045,30,16.323579851495108,332.8875438036511
long,top25,0.45,767,91.78617992177314,44.98474633007013,12.29981347114245,-3.0553808985198083,8466.579687077536,85,61.1764705882353,7.5059967699058445,552.6152183487774,57,4.3873178775484964,220.6935076098642,28,17.775173274165905,331.9217107389132
long,top25,0.5,750,93.33333333333333,59.15082135208806,12.34158549513636,-2.9210447629026834,8493.05760845032,76,64.47368421052632,10.470922862626269,561.3224690141916,49,6.872948870149096,231.8728040911183,27,17.650237195685005,329.44966492307327
long,top25,0.55,725,94.62068965517241,72.82178711702592,12.393034077816361,-2.9934762707406493,8384.875802823139,67,68.65671641791045,13.027213828290652,565.1563904774023,44,7.311015580442424,226.94923226635,23,31.665284158741844,338.20715821105216
long,top25,0.6,692,95.66473988439307,99.4097552624819,12.331272136114729,-2.7372572348168234,8081.184437063444,59,71.1864406779661,15.407912071226352,540.7916078450957,38,9.75133111772853,231.9571646498849,21,29.002056516728302,308.8344431952108
long,top25,0.65,647,96.29057187017001,108.54246994686201,12.506597002548098,-2.9909989519931384,7719.825957739628,50,72.0,16.722152956827973,509.45528620389035,30,9.738131807187067,199.19899130177612,20,33.2943458418569,310.2562949021142
long,top25,0.7,600,96.33333333333334,120.25003294903516,12.92487764338289,-2.8238810171626922,7408.453895497731,46,69.56521739130434,15.960300095637464,484.7684657341467,28,8.796578348302125,177.7348496059145,18,32.9588996170066,307.0336161282322
long,top25,0.75,539,96.84601113172542,145.02233325597118,13.45655094013852,-2.8491837137590696,6975.883467618402,37,70.27027027027027,19.255976328567037,454.8963817291707,22,10.893193640744558,151.4700336403474,15,32.58342178296072,303.4263480888233
long,26-50,0.0,1309,45.378151260504204,2.5739094952408323,15.41637270816908,-4.975873518357349,5599.575823026928,127,43.30708661417323,1.7526185350689856,207.19184513174608,118,1.6427903571070732,162.1398526213743,9,2.954458558423885,45.05199251037184
long,26-50,0.4,631,88.58954041204437,36.765450026163485,16.064539639482565,-3.392405117395181,8735.824490018302,70,40.0,2.4952949396212736,211.7485613111711,64,2.2790850704862557,160.52554701498062,6,4.179656457031531,51.22301429619054
long,26-50,0.45,610,90.1639344262295,42.44732814647758,16.185532409625868,-3.495329079596791,8692.32308051842,61,37.704918032786885,2.5044807614976783,195.25581867059148,55,2.2670773265767177,144.03280437440094,6,4.179656457031531,51.22301429619054
