side,pullback_pct,timeout_days,n_total,full_wr,full_pf,full_avg_win_pct,full_avg_loss_pct,full_1x_compd_pct,full_3x_compd_pct,full_5x_compd_pct,full_3x_dd_pct,full_5x_dd_pct,h2_n,h2_wr,h2_pf,h2_1x_compd_pct,q1_n,q1_wr,q1_pf,q1_1x_compd_pct
long,5.0,30,3595,43.5326842837274,2.5319281342254105,46.41714701539893,-14.133358422972764,3.228643482672554e+76,-100.0,-100.0,-100.0,-100.0,378,25.925925925925924,0.7061117013416841,-99.99999920033882,97,29.896907216494846,0.8501110516390238,-97.99428072650774
long,5.0,60,2933,33.44698261166042,2.7167365917140116,71.49039826186589,-13.224808079554236,1.852231382477128e+49,-100.0,-100.0,-100.0,-100.0,336,19.345238095238095,0.6775962745376104,-99.99999998760043,90,25.555555555555554,0.7361706840264112,-99.33895313369726
long,5.0,90,2712,32.52212389380531,3.291444643045685,88.72295190670812,-12.991728103384343,9.597037294519703e+45,-100.0,-100.0,-100.0,-100.0,322,17.391304347826086,0.5777464413498394,-99.99999999853674,90,25.555555555555554,0.7361706840264112,-99.33895313369726
long,10.0,30,3402,43.2392710170488,2.7680524367476167,48.59063672350817,-13.372378974032998,1.5098205243918049e+81,-100.0,-100.0,-100.0,-100.0,345,27.536231884057973,0.9268207167936345,-99.99898486381639,83,32.53012048192771,0.8951160651090518,-94.71283712433224
long,10.0,60,2737,34.70953598830837,3.007446466746287,70.44749940343894,-12.452791862203489,1.25179631995587e+54,-100.0,-100.0,-100.0,-100.0,303,22.112211221122113,0.8653089421260498,-99.99998530099639,77,29.87012987012987,0.7592942667418104,-98.26687100570798
long,10.0,90,2549,33.69948999607689,3.540167225894341,85.39069539191024,-12.260077976033621,3.2488506852348157e+50,-100.0,-100.0,-100.0,-100.0,287,20.905923344947734,0.6407866904154255,-99.99999430114022,77,29.87012987012987,0.7592942667418104,-98.26687100570798
long,15.0,30,3040,40.690789473684205,2.7136082371905372,51.79160803219888,-13.094418570523391,2.8884103713285613e+64,-100.0,-100.0,-100.0,-100.0,296,30.067567567567565,0.9288043566258576,-99.95192619889343,61,29.508196721311474,1.1226099769347055,-84.7326306649027
long,15.0,60,2438,34.454470877768664,3.072757840405279,71.60073836315615,-12.248747343114728,3.122982125407846e+48,-100.0,-100.0,-100.0,-100.0,250,25.2,0.9553101708965843,-99.95876892360769,58,25.862068965517242,0.8503484958510967,-95.02102451162119
long,15.0,90,2278,33.75768217734855,3.6194066151505866,85.81026848461455,-12.082004273732016,8.131724213645508e+45,-100.0,-100.0,-100.0,-100.0,243,25.102880658436217,0.7954922883232467,-99.99200837387554,58,25.862068965517242,0.8503484958510967,-95.02102451162119
long,20.0,30,2439,41.16441164411644,2.5312204573489328,48.030165083618854,-13.275959512657623,6.966229269643794e+40,-100.0,-100.0,-100.0,-100.0,222,41.891891891891895,1.5466315516565436,10.770118236102032,39,28.205128205128204,1.2455837959490694,-71.43898770642545
long,20.0,60,2049,36.65202537823328,3.0220741984733395,68.55388284207913,-13.124784444484682,3.693040194553544e+36,-100.0,-100.0,-100.0,-100.0,191,41.361256544502616,1.4356279048709029,-77.36504568252265,37,21.62162162162162,0.8187261825600096,-92.37976535575619
long,20.0,90,1900,35.94736842105263,3.709908594924677,84.55414618573748,-12.790921227497604,1.8411704524593308e+35,-100.0,-100.0,-100.0,-100.0,185,41.62162162162162,1.5671140016670917,-69.2529489346522,37,21.62162162162162,0.8187261825600096,-92.37976535575619
long,25.0,30,1895,43.482849604221634,2.6689979503921055,46.12406513975335,-13.295879712164293,3.5597930268914835e+32,-100.0,-100.0,-100.0,-100.0,129,52.71317829457365,2.394423750915544,1957.2496712396267,30,36.666666666666664,1.6984750315967478,-4.201334202536843
long,25.0,60,1628,40.23341523341523,3.3433231354889594,64.54009802174762,-12.995103020287917,5.406611091336926e+34,-100.0,-100.0,-100.0,-100.0,114,52.63157894736842,2.640538960241001,1148.919749104437,29,31.03448275862069,1.1169961152224652,-73.09327680062614
