side,pullback_pct,timeout_days,n_total,full_wr,full_pf,full_avg_win_pct,full_avg_loss_pct,full_1x_compd_pct,full_3x_compd_pct,full_5x_compd_pct,full_3x_dd_pct,full_5x_dd_pct,h2_n,h2_wr,h2_pf,h2_1x_compd_pct,q1_n,q1_wr,q1_pf,q1_1x_compd_pct
long,25.0,90,1511,40.23825281270682,4.049763105812649,76.16975133465832,-12.66393717055789,1.2572527170123491e+33,-100.0,-100.0,-100.0,-100.0,110,51.81818181818182,2.9086392401557255,1134.496667129408,29,31.03448275862069,1.1169961152224652,-73.09327680062614
short,5.0,30,5962,61.338477021133855,3.9995941625436195,34.951303217603645,-13.864412733802837,9.297325671003685e+223,4.1557946027853294e+64,-100.0,-99.99999999999993,-100.0,749,65.02002670226969,4.544340483195783,2.3468315217051512e+35,419,80.42959427207637,10.074290337171401,1.813413715951019e+29
short,5.0,60,4061,52.86875153902979,5.508407014038218,68.38469014728777,-13.925890367436061,5.167635387892528e+235,3.644154148117521e+86,-100.0,-100.0,-100.0,506,66.00790513833992,11.265591639530234,1.601854570383032e+53,239,77.82426778242679,12.622903788701429,1.987555861061911e+21
short,5.0,90,3409,48.987973012613665,6.603159108759424,89.57753367739811,-13.027594374561078,2.752468710470106e+237,3.2871497892627857e+139,-100.0,-99.9999999987852,-100.0,412,60.43689320388349,13.594915146574081,2.576015203549771e+56,198,75.75757575757575,12.910802255368061,1.9009009611913515e+19
short,10.0,30,5659,61.4772928079166,4.226564560570826,36.685654166557605,-13.851815414605943,6.282461879424958e+229,5.657095999750027e+76,-100.0,-100.0,-100.0,649,70.26194144838213,6.016037376343945,2.655150157001353e+38,405,80.98765432098766,10.84037099101785,1.2173423734083568e+29
short,10.0,60,3868,52.71458117890383,5.7910064144492015,70.22854625899524,-13.519578532856876,1.8269741043142097e+230,8.953169350272577e+96,-100.0,-99.99999999999936,-100.0,440,70.68181818181817,14.830299873458946,1.5202677910999992e+54,231,79.22077922077922,15.20095919391955,2.728202049321515e+21
short,10.0,90,3255,50.38402457757296,7.050303843991513,91.27633064197951,-13.146848559688628,4.191260427614107e+234,3.2776803893433e+149,-100.0,-99.99999669343947,-100.0,348,66.0919540229885,17.2978465871546,2.110948687378735e+53,199,77.38693467336684,14.857993872035228,9.396444480580698e+23
short,15.0,30,4979,60.895762201245226,4.501811868853895,38.869179080840496,-13.445633589576559,4.107078918842547e+217,9.47342754526285e+100,-100.0,-99.9999999999704,-100.0,537,70.2048417132216,7.798054784478882,1.3888508416498934e+38,380,83.6842105263158,13.713072737848327,2.260988980246391e+29
short,15.0,60,3526,52.637549631310264,5.938226998920022,71.00022352475766,-13.28814692766344,6.821397631900655e+211,1.4877222396273877e+103,-100.0,-99.99999999904323,-100.0,379,65.96306068601582,14.867028226062079,5.394391413298403e+49,238,80.25210084033614,13.761246005411431,4.707202339144716e+22
short,15.0,90,2965,52.64755480607083,7.621699847146492,85.42360264194382,-12.461256540296226,4.7337963578305504e+212,8.882366567444863e+156,-100.0,-99.9999999945796,-100.0,311,63.9871382636656,17.489180425291394,3.2808507774390666e+46,192,82.8125,21.10524562954168,3.2398519214825414e+25
short,20.0,30,4134,59.192065795839376,4.611678669868921,41.562920376638004,-13.072718301444059,3.7046882415153783e+182,2.4682913483498064e+90,-100.0,-99.9999999999375,-100.0,462,67.53246753246754,6.59278378178481,4.2812901824504546e+32,277,84.11552346570397,13.972656111150737,5.37156839410656e+24
short,20.0,60,3070,51.954397394136805,5.89901870725825,72.33689975566442,-13.260160638538762,1.0585900112165041e+183,4.296224719567208e+88,-100.0,-99.99999999997434,-100.0,359,61.00278551532033,10.094071995937949,1.9447512861498422e+41,210,82.85714285714286,18.33657880991819,8.178724608627794e+24
short,20.0,90,2605,53.47408829174665,7.936791550224258,81.90992827662085,-11.861512421375796,9.61661184675901e+180,1.1204469411592716e+159,-100.0,-99.9999999983863,-100.0,312,59.294871794871796,11.59699132311851,3.6955223662125735e+40,178,84.8314606741573,27.26345984201737,6.687517966089117e+26
short,25.0,30,3355,58.30104321907601,4.913140604433683,43.656694229921555,-12.423466406724923,1.5686614355327422e+150,2.3989102110484848e+92,-100.0,-99.99999999613645,-100.0,378,65.07936507936508,6.943661784933043,1.220486031707963e+28,205,79.51219512195122,12.876454184654646,3.132339578490998e+20
short,25.0,60,2640,53.18181818181819,6.278842094897297,70.89738819714178,-12.826238529575946,2.722741453404963e+154,1.501874099787172e+84,-100.0,-99.99999999994607,-100.0,324,60.49382716049383,10.870833684882072,1.8302418647251683e+38,173,79.1907514450867,16.5458660456964,2.867671188032048e+21
short,25.0,90,2265,55.452538631346584,8.48409136166947,78.38975789281136,-11.501446396026626,4.875633018168944e+150,7.942051043448052e+132,-100.0,-99.999998946837,-100.0,288,59.02777777777778,12.209378982187266,2.8857220902523546e+37,152,80.26315789473685,26.14243675050449,6.571288839402421e+22
