universe,side,tier,threshold,thr_select_n,thr_pf,thr_wr,thr_avg_win,thr_avg_loss,thr_sum_pnl_pct,ho_n,ho_pf,ho_wr,ho_avg_win,ho_avg_loss,ho_sum_pnl_pct
all,long,all_tiers,0.0,995,1.515841454942718,38.89447236180904,8.352864206133624,-3.5074301180877385,1100.0409359763669,240,1.9782566103736787,39.166666666666664,11.182593082533549,-3.6394427663822144,519.8051058663503
all,long,all_tiers,0.4,863,1.7230568472444967,40.32444959443801,8.9341525268975,-3.5036907901090695,1304.6843224541594,156,3.7060572326734245,51.92307692307693,11.375736944620568,-3.3150583298811216,672.8053177731819
all,long,all_tiers,0.5,642,2.1379804652282806,45.17133956386293,9.58467677958833,-3.6934232063521746,1479.4712974446504,105,5.057565015648325,59.04761904761905,12.575970455473454,-3.585281564174437,625.5430609798533
all,long,all_tiers,0.55,534,2.469795224446435,47.752808988764045,10.097831978251417,-3.7368285350512904,1532.3719931748017,84,5.787619986108391,64.28571428571429,13.729860096928542,-4.270105541447091,613.3092789907284
all,long,all_tiers,0.6,418,3.3988916734877983,53.827751196172244,10.847686968528805,-3.7207032192093945,1722.633846611568,62,11.949436171525024,74.19354838709677,15.215427480050407,-3.6607881223204295,641.3370541251918
all,long,all_tiers,0.65,325,3.8994045517690865,56.61538461538461,12.001306117501052,-4.016325748504993,1641.938395080989,45,14.575190259775837,77.77777777777779,17.301082344523692,-4.154579605931279,563.9920859990165
all,long,all_tiers,0.7,254,4.367213494872789,59.84251968503938,12.600205076533689,-4.299486666847395,1476.683531614686,31,106.11241237252243,90.32258064516128,20.06784248952438,-1.7651079553070437,556.6042658407616
all,long,all_tiers,0.75,174,5.807390706763099,63.793103448275865,14.84565656256871,-4.504025010876454,1364.1143027599107,19,113.14380335225073,89.47368421052632,28.865945327545102,-2.168572453943873,486.38392566037896
all,long,all_tiers,0.8,99,12.342570483859362,74.74747474747475,18.929478306077453,-4.539674767040019,1287.289525473731,16,104.36766325803109,87.5,32.33269137483661,-2.168572453943873,448.32053433982486
all,long,all_tiers,0.85,56,65.59305013226454,91.07142857142857,23.288883696137606,-3.6215210791631853,1169.6254631072018,12,inf,100.0,35.884127268236384,0.0,430.6095272188366
all,short,all_tiers,0.0,4246,1.5650585705491027,44.959962317475274,5.627966274671749,-2.9374339304050285,3879.004522991819,2219,2.4530129401328877,51.329427670121675,6.649292451090854,-2.8587459610437884,4486.098463865194
all,short,all_tiers,0.4,3301,1.6463289861372503,45.986064828839744,5.869604103835187,-3.03537682110345,3497.982157594364,1569,3.075379319300019,57.48884639898024,6.914337690336049,-3.040413136845608,4208.777034407096
all,short,all_tiers,0.5,2524,1.789303458088431,47.2662440570523,6.298159265560866,-3.154946692882316,3314.469955587751,1246,3.687394608374498,61.31621187800963,7.108765979547786,-3.055771819567877,3958.2151913427915
all,short,all_tiers,0.55,2087,1.9768566194439718,49.40105414470532,6.476120893429774,-3.1984128617321894,3299.3566591369045,1087,4.152527553463381,64.21343146274148,7.116029456696029,-3.074900277237906,3770.852352928283
all,short,all_tiers,0.6,1677,2.2076438943688683,51.75909361955874,6.697292029523945,-3.254928248404407,3180.0125286676193,948,4.5375599319796756,66.03375527426161,7.316370709264398,-3.134669726631171,3570.684412024277
all,short,all_tiers,0.65,1325,2.699503279177871,55.69811320754717,6.9162466464225165,-3.221104939824292,3213.4014253829578,783,5.318716465038125,69.34865900383141,7.551447745763857,-3.212269470857808,3329.491452943901
all,short,all_tiers,0.7,992,3.493926045030219,60.88709677419355,7.248194608968975,-3.229396350903583,3124.9037596666694,640,6.154141864724407,72.65625,7.818652368893455,-3.3758201795074596,3044.904820121651
all,short,all_tiers,0.75,711,4.557422981755129,66.66666666666666,7.60386609057592,-3.3369147963736125,2813.3837201924393,503,7.86503142540581,78.13121272365805,7.945615117594953,-3.6093327914148676,2725.6001341591814
all,short,all_tiers,0.8,504,7.231862022355293,74.8015873015873,8.169565061326956,-3.353408288657142,2654.0431754608057,409,10.12230102661352,81.41809290953546,8.451678104353626,-3.6584265528763544,2536.3683907311542
all,short,all_tiers,0.85,365,9.676442076547655,81.91780821917808,8.195372719478286,-3.8368980635454344,2197.181170930009,326,15.186859921963363,84.96932515337423,8.924332343481025,-3.321937344824773,2309.26512924783
meme_only,long,all_tiers,0.0,64,2.542986734691277,40.625,12.541183318507809,-3.374303735808025,197.84722432049819,15,5.6735466359911975,13.333333333333334,119.98203126520251,-3.253480622456458,197.66881443847106
meme_only,long,all_tiers,0.4,58,2.7309389335433254,39.6551724137931,13.755438612082981,-3.3099561911730984,200.52662138685017,13,6.409936659834522,15.384615384615385,119.98203126520251,-3.403296465031611,202.52780141505724
meme_only,long,all_tiers,0.5,52,3.0845354036033132,44.230769230769226,13.755438612082981,-3.5368327376128135,213.80693868713706,10,7.498578778674388,20.0,119.98203126520251,-4.000159057021107,207.9627900742361
