symbol,months,first_month,last_month
BTCUSDT,36,2023-04,2026-03
ETHUSDT,36,2023-04,2026-03
BNBUSDT,36,2023-04,2026-03
SOLUSDT,36,2023-04,2026-03
XRPUSDT,36,2023-04,2026-03
ADAUSDT,36,2023-04,2026-03
DOGEUSDT,36,2023-04,2026-03
AVAXUSDT,36,2023-04,2026-03
DOTUSDT,36,2023-04,2026-03
LINKUSDT,36,2023-04,2026-03
TRXUSDT,36,2023-04,2026-03
MATICUSDT,18,2023-04,2024-09
UNIUSDT,36,2023-04,2026-03
LTCUSDT,36,2023-04,2026-03
ATOMUSDT,36,2023-04,2026-03
NEARUSDT,36,2023-04,2026-03
APTUSDT,36,2023-04,2026-03
OPUSDT,36,2023-04,2026-03
ARBUSDT,36,2023-04,2026-03
FILUSDT,36,2023-04,2026-03
ICPUSDT,36,2023-04,2026-03
XLMUSDT,36,2023-04,2026-03
HBARUSDT,36,2023-04,2026-03
INJUSDT,36,2023-04,2026-03
SUIUSDT,35,2023-05,2026-03
AAVEUSDT,36,2023-04,2026-03
MKRUSDT,30,2023-04,2025-09
GRTUSDT,36,2023-04,2026-03
IMXUSDT,36,2023-04,2026-03
THETAUSDT,36,2023-04,2026-03
FTMUSDT,22,2023-04,2025-01
ALGOUSDT,36,2023-04,2026-03
EGLDUSDT,36,2023-04,2026-03
FLOWUSDT,36,2023-04,2026-03
AXSUSDT,36,2023-04,2026-03
SANDUSDT,36,2023-04,2026-03
MANAUSDT,36,2023-04,2026-03
APEUSDT,36,2023-04,2026-03
CHZUSDT,36,2023-04,2026-03
ENJUSDT,36,2023-04,2026-03
CRVUSDT,36,2023-04,2026-03
LRCUSDT,36,2023-04,2026-03
SNXUSDT,36,2023-04,2026-03
COMPUSDT,36,2023-04,2026-03
YFIUSDT,36,2023-04,2026-03
SUSHIUSDT,36,2023-04,2026-03
1INCHUSDT,36,2023-04,2026-03
ANKRUSDT,36,2023-04,2026-03
KAVAUSDT,36,2023-04,2026-03
IOTAUSDT,36,2023-04,2026-03
RUNEUSDT,36,2023-04,2026-03
GALAUSDT,36,2023-04,2026-03
ZECUSDT,36,2023-04,2026-03
DASHUSDT,36,2023-04,2026-03
BATUSDT,36,2023-04,2026-03
ZILUSDT,36,2023-04,2026-03
ONTUSDT,36,2023-04,2026-03
QTUMUSDT,36,2023-04,2026-03
WAVESUSDT,15,2023-04,2024-06
NEOUSDT,36,2023-04,2026-03
VETUSDT,36,2023-04,2026-03
EOSUSDT,26,2023-04,2025-05
XTZUSDT,36,2023-04,2026-03
IOSTUSDT,36,2023-04,2026-03
ZRXUSDT,36,2023-04,2026-03
BCHUSDT,36,2023-04,2026-03
ETCUSDT,36,2023-04,2026-03
XMRUSDT,11,2023-04,2024-02
SXPUSDT,36,2023-04,2026-03
