direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,notional_usd,pnl_pct_net,pnl_usd
long,-0.0029837733107290834,98,GALAUSDT,1681167600,1681255800,0.04129,0.041166799999999996,trail_stop,30.0,-0.004183773310729083,-0.1255131993218725
long,-0.00884862530285477,69,LTCUSDT,1681186500,1681248600,94.93,94.09,trail_stop,30.0,-0.01004862530285477,-0.30145875908564307
long,0.014491161012900234,13,HIGHUSDT,1681210800,1681222500,2.093,2.12333,trail_stop,30.0,0.013291161012900234,0.398734830387007
long,0.0029449699054170347,7,SOLUSDT,1681283700,1681290000,23.26,23.328500000000002,trail_stop,30.0,0.0017449699054170348,0.052349097162511044
long,0.04710500490677139,29,NEARUSDT,1681285500,1681311600,2.038,2.134,trail_stop,30.0,0.04590500490677139,1.3771501472031418
long,0.008952007835455581,10,HIGHUSDT,1681302600,1681311600,2.042,2.06028,trail_stop,30.0,0.0077520078354555814,0.23256023506366744
long,0.028347598668568553,3,GALAUSDT,1681321500,1681324200,0.04206,0.043252299999999994,trail_stop,30.0,0.027147598668568553,0.8144279600570566
long,0.030173697270471492,120,ZECUSDT,1681368300,1681476300,40.3,41.516,trail_stop,30.0,0.028973697270471492,0.8692109181141447
long,-0.0008316366483947677,1,ARBUSDT,1681375500,1681376400,1.277,1.2759379999999998,trail_stop,30.0,-0.0020316366483947674,-0.06094909945184302
long,0.034170661553212,120,CRVUSDT,1681376400,1681484400,1.043,1.07864,trail_stop,30.0,0.032970661553212,0.9891198465963601
long,-0.00370015948963305,119,AVAXUSDT,1681377300,1681484400,18.81,18.7404,trail_stop,30.0,-0.00490015948963305,-0.1470047846889915
long,0.02150035553448687,6,DOGEUSDT,1681380000,1681385400,0.08438,0.0861942,trail_stop,30.0,0.02030035553448687,0.6090106660346061
long,-0.0029893529893530056,41,SOLUSDT,1681389900,1681426800,24.42,24.347,trail_stop,30.0,-0.004189352989353005,-0.12568058968059015
long,0.11671670506037518,70,APTUSDT,1681390800,1681453800,11.8509,13.234098,trail_stop,30.0,0.11551670506037517,3.4655011518112553
long,0.0010598316295850204,49,DOTUSDT,1681432200,1681476300,6.652,6.65905,trail_stop,30.0,-0.00014016837041497948,-0.0042050511124493845
long,0.00908565043055267,7,ARBUSDT,1681486200,1681492500,1.5213,1.5351219999999999,trail_stop,30.0,0.007885650430552671,0.23656951291658013
long,-0.005785609397944077,2,HBARUSDT,1681518600,1681520400,0.0681,0.067706,trail_stop,30.0,-0.006985609397944076,-0.2095682819383223
long,0.0235255930087389,2,FETUSDT,1681539300,1681541100,0.4005,0.40992199999999995,trail_stop,30.0,0.0223255930087389,0.669767790262167
long,0.011630901287553681,48,ADAUSDT,1681544700,1681587900,0.4427,0.447849,trail_stop,30.0,0.010430901287553682,0.3129270386266104
long,0.01729647366129717,15,NEARUSDT,1681547400,1681560900,2.297,2.3367299999999998,trail_stop,30.0,0.01609647366129717,0.48289420983891507
long,0.024913949275362217,3,HIGHUSDT,1681552800,1681555500,2.208,2.26301,trail_stop,30.0,0.023713949275362217,0.7114184782608666
long,0.010181229773462797,5,FILUSDT,1681575300,1681579800,6.18,6.24292,trail_stop,30.0,0.008981229773462798,0.2694368932038839
long,-0.002285714285714311,4,SHIBUSDT,1681603200,1681606800,1.155e-05,1.15236e-05,trail_stop,30.0,-0.0034857142857143107,-0.10457142857142931
long,-0.009592765748031562,133,LINKUSDT,1681605900,1681725600,8.128,8.05003,trail_stop,30.0,-0.010792765748031561,-0.32378297244094684
long,0.021466180639935096,41,SOLUSDT,1681677000,1681713900,24.69,25.22,trail_stop,30.0,0.020266180639935096,0.6079854191980529
long,0.012001633986927999,9,HIGHUSDT,1681691400,1681699500,2.448,2.4773799999999997,trail_stop,30.0,0.010801633986927999,0.32404901960784
long,-0.004473684210526451,21,AVAXUSDT,1681699500,1681718400,20.52,20.428199999999997,trail_stop,30.0,-0.0056736842105264505,-0.1702105263157935
long,0.018430045489847984,1,DOGEUSDT,1681715700,1681716600,0.09013,0.0917911,trail_stop,30.0,0.017230045489847984,0.5169013646954396
long,0.018162859980139,9,FETUSDT,1681722900,1681731000,0.4028,0.410116,trail_stop,30.0,0.016962859980139,0.50888579940417
long,0.04113333333333345,28,GALAUSDT,1681779600,1681804800,0.045,0.046851000000000004,trail_stop,30.0,0.03993333333333345,1.1980000000000035
long,0.023141391770602645,9,ARBUSDT,1681795800,1681803900,1.7158,1.755506,trail_stop,30.0,0.021941391770602645,0.6582417531180793
long,-0.05500000000000014,102,CRVUSDT,1681799400,1681891200,1.106,1.04517,stop_loss,30.0,-0.05620000000000014,-1.6860000000000042
long,-0.0024714229404809696,6,HIGHUSDT,1681799400,1681804800,2.537,2.5307299999999997,trail_stop,30.0,-0.0036714229404809697,-0.11014268821442909
long,0.032679090029041735,51,LINKUSDT,1681799400,1681845300,8.264,8.53406,trail_stop,30.0,0.031479090029041736,0.944372700871252
long,-0.054999999999999986,91,DOTUSDT,1681810200,1681892100,6.869,6.491205,stop_loss,30.0,-0.056199999999999986,-1.6859999999999995
long,-0.05500000000000007,37,XRPUSDT,1681858800,1681892100,0.529,0.499905,stop_loss,30.0,-0.05620000000000007,-1.6860000000000022
long,-0.003981897961751388,3,APTUSDT,1681862400,1681865100,12.7168,12.666163,trail_stop,30.0,-0.005181897961751387,-0.1554569388525416
long,-0.008796980657336004,18,UNIUSDT,1681868700,1681884900,6.359,6.30306,trail_stop,30.0,-0.009996980657336004,-0.2999094197200801
long,-0.003266012050881576,13,DOGEUSDT,1681912800,1681924500,0.08962,0.0893273,trail_stop,30.0,-0.004466012050881576,-0.13398036152644727
long,-0.05500000000000003,14,CHZUSDT,1681918200,1681930800,0.1401,0.1323945,stop_loss,30.0,-0.05620000000000003,-1.6860000000000008
long,-0.006178371391641495,40,XRPUSDT,1682173800,1682209800,0.4642,0.461332,trail_stop,30.0,-0.007378371391641494,-0.22135114174924483
long,0.05686567164179103,25,HIGHUSDT,1682235000,1682257500,1.943,2.05349,trail_stop,30.0,0.05566567164179103,1.6699701492537309
long,0.004776728209531939,8,XRPUSDT,1682297100,1682304300,0.4658,0.46802499999999997,trail_stop,30.0,0.003576728209531939,0.10730184628595817
long,-0.0035694822888283437,63,ZECUSDT,1682297100,1682353800,36.7,36.569,trail_stop,30.0,-0.004769482288828343,-0.1430844686648503
long,0.015601593625497909,118,CHZUSDT,1682430300,1682536500,0.1255,0.127458,trail_stop,30.0,0.01440159362549791,0.43204780876493726
long,0.007033773861967691,12,HIGHUSDT,1682482500,1682493300,2.043,2.05737,trail_stop,30.0,0.005833773861967691,0.17501321585903074
long,0.01878829446730672,57,SOLUSDT,1682485200,1682536500,21.87,22.2809,trail_stop,30.0,0.017588294467306722,0.5276488340192017
long,0.025791861735481907,44,BTCUSDT,1682496900,1682536500,28402.37,29134.92,trail_stop,30.0,0.024591861735481908,0.7377558520644573
long,0.03466666666666661,24,FETUSDT,1682496900,1682518500,0.3405,0.352304,trail_stop,30.0,0.03346666666666661,1.0039999999999982
long,0.009430894308943043,44,HBARUSDT,1682496900,1682536500,0.0615,0.062079999999999996,trail_stop,30.0,0.008230894308943044,0.24692682926829132
long,-0.05500000000000003,2,ADAUSDT,1682536500,1682538300,0.4107,0.3881115,stop_loss,30.0,-0.05620000000000003,-1.6860000000000008
long,-0.05500000000000007,1,ARBUSDT,1682536500,1682537400,1.4646,1.3840469999999998,stop_loss,30.0,-0.05620000000000007,-1.6860000000000022
long,0.0,192,AAVEUSDT,1682577900,1682750700,70.6,70.6,timeout,30.0,-0.0012,-0.036
long,0.0,192,CHZUSDT,1682577900,1682750700,0.1283,0.1283,timeout,30.0,-0.0012,-0.036
long,-0.009876876370383003,103,DOTUSDT,1682577900,1682670600,5.929,5.870439999999999,trail_stop,30.0,-0.011076876370383003,-0.33230629111149007
long,-0.009930576405459097,129,ETHUSDT,1682577900,1682694000,1898.49,1879.6369,trail_stop,30.0,-0.011130576405459097,-0.3339172921637729
long,0.006560114503816548,49,HIGHUSDT,1682577900,1682622000,2.096,2.1097499999999996,trail_stop,30.0,0.005360114503816548,0.16080343511449646
long,0.007534782608695701,96,SOLUSDT,1682703000,1682789400,23.0,23.1733,trail_stop,30.0,0.006334782608695701,0.19004347826087103
long,0.011425309192788542,56,APTUSDT,1682739000,1682789400,10.4223,10.541378,trail_stop,30.0,0.010225309192788542,0.30675927578365625
long,0.011637519872814157,40,HBARUSDT,1682856900,1682892900,0.0629,0.06363200000000001,trail_stop,30.0,0.010437519872814157,0.3131255961844247
long,-0.007509870073935806,16,ARBUSDT,1682867700,1682882100,1.3931,1.382638,trail_stop,30.0,-0.008709870073935807,-0.2612961022180742
long,0.0,192,CHZUSDT,1682952300,1683125100,0.1274,0.1274,timeout,30.0,-0.0012,-0.036
long,0.022173435784851685,1,CRVUSDT,1683140400,1683141300,0.911,0.9311999999999999,trail_stop,30.0,0.020973435784851686,0.6292030735455506
long,0.0,192,NEARUSDT,1683176400,1683349200,1.875,1.875,timeout,30.0,-0.0012,-0.036
long,0.0,192,CHZUSDT,1683195300,1683368100,0.1295,0.1295,timeout,30.0,-0.0012,-0.036
long,0.010813464235624135,158,AAVEUSDT,1683203400,1683345600,71.3,72.071,trail_stop,30.0,0.009613464235624135,0.28840392706872403
long,0.007328399629972193,76,UNIUSDT,1683294300,1683362700,5.405,5.44461,trail_stop,30.0,0.006128399629972193,0.1838519888991658
long,-0.010013736263736254,48,AAVEUSDT,1683302400,1683345600,72.8,72.071,trail_stop,30.0,-0.011213736263736254,-0.3364120879120876
long,-0.009418206707734538,29,FETUSDT,1683451800,1683477900,0.2922,0.289448,trail_stop,30.0,-0.010618206707734537,-0.31854620123203614
long,0.021944121071012603,27,SHIBUSDT,1683569700,1683594000,8.59e-06,8.778499999999999e-06,trail_stop,30.0,0.020744121071012603,0.6223236321303781
long,-0.006696696696696667,157,ZECUSDT,1683596700,1683738000,33.3,33.077,trail_stop,30.0,-0.007896696696696667,-0.23690090090090002
long,0.022183544303797376,3,FLOKIUSDT,1683618300,1683621000,3.476e-05,3.5531099999999996e-05,trail_stop,30.0,0.020983544303797376,0.6295063291139212
long,0.019556435643564348,88,FETUSDT,1683627300,1683706500,0.2525,0.257438,trail_stop,30.0,0.01835643564356435,0.5506930693069304
long,-0.05500000000000002,67,BCHUSDT,1683677700,1683738000,122.9,116.1405,stop_loss,30.0,-0.05620000000000002,-1.6860000000000006
long,0.0525601898948796,42,GALAUSDT,1683694800,1683732600,0.02949,0.031039999999999998,trail_stop,30.0,0.0513601898948796,1.5408056968463881
long,0.04194484112816842,1,ARBUSDT,1683721800,1683722700,1.1204,1.167395,trail_stop,30.0,0.04074484112816842,1.2223452338450524
long,0.029449185415050597,11,FETUSDT,1683721800,1683731700,0.2578,0.265392,trail_stop,30.0,0.028249185415050598,0.8474755624515179
long,-0.05499999999999997,18,FILUSDT,1683722700,1683738900,4.627,4.372515,stop_loss,30.0,-0.05619999999999997,-1.685999999999999
long,0.0,192,UNIUSDT,1683792000,1683964800,5.151,5.151,timeout,30.0,-0.0012,-0.036
long,0.0,192,LTCUSDT,1683806400,1683979200,80.48,80.48,timeout,30.0,-0.0012,-0.036
long,-0.05500000000000003,23,HIGHUSDT,1683808200,1683828900,1.46,1.3797,stop_loss,30.0,-0.05620000000000003,-1.6860000000000008
long,0.023645858058390624,4,XRPUSDT,1683866700,1683870300,0.4213,0.431262,trail_stop,30.0,0.022445858058390625,0.6733757417517188
long,-0.008650146221332996,110,LINKUSDT,1683925200,1684024200,6.497,6.440799999999999,trail_stop,30.0,-0.009850146221332996,-0.2955043866399899
long,0.09345454545454542,1,PEPEUSDT,1683970200,1683971100,1.65e-06,1.8042e-06,trail_stop,30.0,0.09225454545454541,2.7676363636363623
