pnl_pct,exit_reason,bars_held,entry_bar,entry_price,exit_price,direction,symbol,signal,entry_time
-0.051500000000000004,stop_loss,255,140,0.53,0.5565000000000001,short,1INCHUSDT,baseline,2023-04-02 11:00:00+00:00
-0.010969696969696976,timeout,672,446,0.528,0.533,short,1INCHUSDT,baseline,2023-04-05 15:30:00+00:00
-0.051500000000000004,stop_loss,80,1599,0.551,0.5785500000000001,short,1INCHUSDT,baseline,2023-04-17 15:45:00+00:00
0.08198794063079784,timeout,672,1761,0.539,0.494,short,1INCHUSDT,baseline,2023-04-19 08:15:00+00:00
0.014826530612244914,timeout,672,1997,0.49,0.482,short,1INCHUSDT,baseline,2023-04-21 19:15:00+00:00
-0.051500000000000004,stop_loss,259,2479,0.475,0.49874999999999997,short,1INCHUSDT,baseline,2023-04-26 19:45:00+00:00
0.08509793814432987,timeout,672,2795,0.485,0.443,short,1INCHUSDT,baseline,2023-04-30 02:45:00+00:00
0.06693267108167776,timeout,672,2945,0.453,0.422,short,1INCHUSDT,baseline,2023-05-01 16:15:00+00:00
0.07332993197278918,timeout,672,3417,0.441,0.408,short,1INCHUSDT,baseline,2023-05-06 14:15:00+00:00
0.012718009478673,timeout,672,3559,0.422,0.416,short,1INCHUSDT,baseline,2023-05-08 01:45:00+00:00
-0.0015,timeout,672,3910,0.402,0.402,short,1INCHUSDT,baseline,2023-05-11 17:30:00+00:00
0.1485,take_profit,516,5868,0.372,0.3162,short,1INCHUSDT,baseline,2023-06-01 03:00:00+00:00
0.1485,take_profit,435,6302,0.355,0.30174999999999996,short,1INCHUSDT,baseline,2023-06-05 15:30:00+00:00
0.1485,take_profit,238,6499,0.319,0.27115,short,1INCHUSDT,baseline,2023-06-07 16:45:00+00:00
0.1485,take_profit,6,6731,0.31,0.2635,short,1INCHUSDT,baseline,2023-06-10 02:45:00+00:00
-0.051500000000000004,stop_loss,182,7187,0.263,0.27615,short,1INCHUSDT,baseline,2023-06-14 20:45:00+00:00
-0.011487515605493073,timeout,672,8260,0.3204,0.3236,short,1INCHUSDT,baseline,2023-06-26 01:00:00+00:00
-0.051500000000000004,stop_loss,180,8479,0.3066,0.32193,short,1INCHUSDT,baseline,2023-06-28 07:45:00+00:00
-0.051500000000000004,stop_loss,129,8695,0.3108,0.32634,short,1INCHUSDT,baseline,2023-06-30 13:45:00+00:00
-0.051500000000000004,stop_loss,639,9163,0.3163,0.33211500000000005,short,1INCHUSDT,baseline,2023-07-05 10:45:00+00:00
-0.051500000000000004,stop_loss,481,9311,0.3017,0.31678500000000004,short,1INCHUSDT,baseline,2023-07-06 23:45:00+00:00
-0.051500000000000004,stop_loss,164,9805,0.3311,0.34765500000000005,short,1INCHUSDT,baseline,2023-07-12 03:15:00+00:00
-0.051500000000000004,stop_loss,34,9922,0.318,0.33390000000000003,short,1INCHUSDT,baseline,2023-07-13 08:30:00+00:00
-0.051500000000000004,stop_loss,29,10108,0.3343,0.351015,short,1INCHUSDT,baseline,2023-07-15 07:00:00+00:00
0.1485,take_profit,510,10473,0.3654,0.31059,short,1INCHUSDT,baseline,2023-07-19 02:15:00+00:00
-0.051500000000000004,stop_loss,97,10619,0.3226,0.33873000000000003,short,1INCHUSDT,baseline,2023-07-20 14:45:00+00:00
-0.051500000000000004,stop_loss,507,10984,0.2997,0.31468500000000005,short,1INCHUSDT,baseline,2023-07-24 10:00:00+00:00
-0.051500000000000004,stop_loss,207,11601,0.3057,0.320985,short,1INCHUSDT,baseline,2023-07-30 20:15:00+00:00
0.1485,take_profit,201,13133,0.2851,0.24233500000000002,short,1INCHUSDT,baseline,2023-08-15 19:15:00+00:00
0.1485,take_profit,100,13234,0.2637,0.22414499999999998,short,1INCHUSDT,baseline,2023-08-16 20:30:00+00:00
-0.051500000000000004,stop_loss,1,13335,0.2072,0.21756,short,1INCHUSDT,baseline,2023-08-17 21:45:00+00:00
-0.0171701030927835,timeout,672,14714,0.2425,0.2463,short,1INCHUSDT,baseline,2023-09-01 06:30:00+00:00
-0.051500000000000004,stop_loss,309,15686,0.23,0.24150000000000002,short,1INCHUSDT,baseline,2023-09-11 09:30:00+00:00
-0.051500000000000004,stop_loss,77,17267,0.2558,0.26859000000000005,short,1INCHUSDT,baseline,2023-09-27 20:45:00+00:00
0.06204009077155838,timeout,672,17739,0.2644,0.2476,short,1INCHUSDT,baseline,2023-10-02 18:45:00+00:00
0.06566126513080825,timeout,672,17857,0.2561,0.2389,short,1INCHUSDT,baseline,2023-10-04 00:15:00+00:00
-0.051500000000000004,stop_loss,659,18403,0.2442,0.25641,short,1INCHUSDT,baseline,2023-10-09 16:45:00+00:00
-0.051500000000000004,stop_loss,387,19299,0.259,0.27195,short,1INCHUSDT,baseline,2023-10-19 00:45:00+00:00
-0.051500000000000004,stop_loss,114,19404,0.2448,0.25704,short,1INCHUSDT,baseline,2023-10-20 03:00:00+00:00
-0.051500000000000004,stop_loss,95,19839,0.2766,0.29043,short,1INCHUSDT,baseline,2023-10-24 15:45:00+00:00
-0.051500000000000004,stop_loss,263,20027,0.2801,0.294105,short,1INCHUSDT,baseline,2023-10-26 14:45:00+00:00
-0.051500000000000004,stop_loss,106,20509,0.2831,0.29725500000000005,short,1INCHUSDT,baseline,2023-10-31 15:15:00+00:00
-0.051500000000000004,stop_loss,113,20742,0.2977,0.31258500000000006,short,1INCHUSDT,baseline,2023-11-03 01:30:00+00:00
-0.051500000000000004,stop_loss,86,21159,0.341,0.35805000000000003,short,1INCHUSDT,baseline,2023-11-07 09:45:00+00:00
-0.051500000000000004,stop_loss,16,21312,0.3652,0.38346,short,1INCHUSDT,baseline,2023-11-09 00:00:00+00:00
0.06743755068937557,timeout,672,21603,0.3699,0.3444,short,1INCHUSDT,baseline,2023-11-12 00:45:00+00:00
0.01652293828509025,timeout,672,21717,0.3662,0.3596,short,1INCHUSDT,baseline,2023-11-13 05:15:00+00:00
-0.051500000000000004,stop_loss,94,21840,0.3483,0.365715,short,1INCHUSDT,baseline,2023-11-14 12:00:00+00:00
-0.051500000000000004,stop_loss,68,22038,0.3591,0.377055,short,1INCHUSDT,baseline,2023-11-16 13:30:00+00:00
-0.051500000000000004,stop_loss,194,22171,0.3502,0.36771000000000004,short,1INCHUSDT,baseline,2023-11-17 22:45:00+00:00
-0.051500000000000004,stop_loss,216,22521,0.3461,0.36340500000000003,short,1INCHUSDT,baseline,2023-11-21 14:15:00+00:00
-0.0049119988626669855,timeout,672,23010,0.3517,0.3529,short,1INCHUSDT,baseline,2023-11-26 16:30:00+00:00
-0.051500000000000004,stop_loss,194,23384,0.3409,0.357945,short,1INCHUSDT,baseline,2023-11-30 14:00:00+00:00
-0.051500000000000004,stop_loss,10,23757,0.3516,0.36918000000000006,short,1INCHUSDT,baseline,2023-12-04 11:15:00+00:00
-0.051500000000000004,stop_loss,32,23951,0.3649,0.383145,short,1INCHUSDT,baseline,2023-12-06 11:45:00+00:00
0.1485,take_profit,66,24326,0.3996,0.33966,short,1INCHUSDT,baseline,2023-12-10 09:30:00+00:00
-0.051500000000000004,stop_loss,64,24867,0.3594,0.37737000000000004,short,1INCHUSDT,baseline,2023-12-16 00:45:00+00:00
-0.051500000000000004,stop_loss,321,25063,0.3583,0.376215,short,1INCHUSDT,baseline,2023-12-18 01:45:00+00:00
-0.051500000000000004,stop_loss,25,25847,0.4281,0.449505,short,1INCHUSDT,baseline,2023-12-26 05:45:00+00:00
-0.051500000000000004,stop_loss,332,26068,0.4316,0.45318,short,1INCHUSDT,baseline,2023-12-28 13:00:00+00:00
-0.051500000000000004,stop_loss,156,26244,0.4198,0.44079,short,1INCHUSDT,baseline,2023-12-30 09:00:00+00:00
0.1485,take_profit,138,26502,0.4904,0.41684,short,1INCHUSDT,baseline,2024-01-02 01:30:00+00:00
-0.051500000000000004,stop_loss,148,26640,0.462,0.48510000000000003,short,1INCHUSDT,baseline,2024-01-03 12:00:00+00:00
-0.051500000000000004,stop_loss,23,26853,0.46,0.48300000000000004,short,1INCHUSDT,baseline,2024-01-05 17:15:00+00:00
-0.051500000000000004,stop_loss,135,27065,0.4273,0.44866500000000004,short,1INCHUSDT,baseline,2024-01-07 22:15:00+00:00
-0.051500000000000004,stop_loss,86,27220,0.4169,0.437745,short,1INCHUSDT,baseline,2024-01-09 13:00:00+00:00
-0.051500000000000004,stop_loss,32,27316,0.4131,0.43375500000000006,short,1INCHUSDT,baseline,2024-01-10 13:00:00+00:00
0.1485,take_profit,489,27705,0.4722,0.40137,short,1INCHUSDT,baseline,2024-01-14 14:15:00+00:00
