direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,ml_prob,kelly_fraction,notional_usd,pnl_pct_net,pnl_usd
short,-0.005634408602150505,41,PEPEUSDT,1769699700,1769736600,4.65e-06,4.6762e-06,0.023655913978494758,trail_stop,,0.1,50.0,-0.006834408602150505,-0.34172043010752523
short,-0.05499999999999995,69,CHZUSDT,1769737500,1769799600,0.04754,0.050154699999999997,0.017248632730332378,stop_loss,,0.1,50.0,-0.05619999999999995,-2.8099999999999974
short,0.057969781312127405,79,SUIUSDT,1769797800,1769868900,1.2575,1.1846029999999999,0.08540755467196831,trail_stop,,0.1,50.0,0.056769781312127406,2.83848906560637
short,-0.05499999999999997,3,ZECUSDT,1769797800,1769800500,324.98,342.8539,0.0,stop_loss,,0.1,50.0,-0.05619999999999997,-2.8099999999999987
short,0.02461730865432707,23,FETUSDT,1769848200,1769868900,0.1999,0.194979,0.053026513256628306,trail_stop,,0.1,50.0,0.02341730865432707,1.1708654327163535
short,0.06605693717277472,11,ADAUSDT,1769868900,1769878800,0.3056,0.28541300000000003,0.09325916230366482,trail_stop,,0.1,50.0,0.06485693717277471,3.242846858638736
short,0.07622222222222219,11,CHZUSDT,1769868900,1769878800,0.04635,0.042817100000000004,0.10312837108953612,trail_stop,,0.1,50.0,0.07502222222222218,3.751111111111109
short,0.06343169398907107,11,SEIUSDT,1769868900,1769878800,0.0915,0.085696,0.09071038251366123,trail_stop,,0.1,50.0,0.06223169398907107,3.1115846994535534
short,0.05369926125982999,5,AAVEUSDT,1769879700,1769884200,125.89,119.1298,0.08126141869886412,trail_stop,,0.1,50.0,0.05249926125982999,2.6249630629914993
short,0.04945506015569725,5,CRVUSDT,1769879700,1769884200,0.2826,0.268624,0.07714083510261868,trail_stop,,0.1,50.0,0.04825506015569725,2.4127530077848625
short,0.04063249001331552,5,DOTUSDT,1769879700,1769884200,1.502,1.44097,0.06857523302263648,trail_stop,,0.1,50.0,0.03943249001331552,1.9716245006657762
short,0.04946289062500008,5,FILUSDT,1769879700,1769884200,1.024,0.9733499999999999,0.07714843750000007,trail_stop,,0.1,50.0,0.04826289062500008,2.413144531250004
short,0.054926004228329654,5,GALAUSDT,1769879700,1769884200,0.00473,0.0044702000000000006,0.08245243128964054,trail_stop,,0.1,50.0,0.053726004228329655,2.6863002114164827
short,-0.05499999999999991,11,APTUSDT,1769885100,1769895000,1.202,1.2681099999999998,0.0,stop_loss,,0.1,50.0,-0.05619999999999991,-2.8099999999999956
short,-0.055000000000000014,18,ARBUSDT,1769885100,1769901300,0.1325,0.1397875,0.0,stop_loss,,0.1,50.0,-0.056200000000000014,-2.8100000000000005
short,-0.05499999999999987,18,AVAXUSDT,1769885100,1769901300,9.6,10.127999999999998,0.0,stop_loss,,0.1,50.0,-0.05619999999999987,-2.8099999999999934
short,-0.05499999999999987,21,BLURUSDT,1769885100,1769904000,0.02172,0.022914599999999997,0.0,stop_loss,,0.1,50.0,-0.05619999999999987,-2.8099999999999934
short,-0.05499999999999998,22,FLOKIUSDT,1769885100,1769904900,3.323e-05,3.505765e-05,0.005717724947336638,stop_loss,,0.1,50.0,-0.05619999999999998,-2.809999999999999
short,0.0034318016046682174,18,SUIUSDT,1769987700,1770003900,1.0968,1.093036,0.03245805981035747,trail_stop,,0.1,50.0,0.0022318016046682177,0.11159008023341088
short,0.008027915353444362,17,BLURUSDT,1769988600,1770003900,0.02221,0.0220317,0.036920306168392675,trail_stop,,0.1,50.0,0.006827915353444363,0.34139576767221813
short,-0.05499999999999998,30,ADAUSDT,1770003000,1770030000,0.2784,0.293712,0.009698275862068895,stop_loss,,0.1,50.0,-0.05619999999999998,-2.809999999999999
short,-0.055000000000000014,26,BCHUSDT,1770003000,1770026400,501.7,529.2935,0.007972892166633447,stop_loss,,0.1,50.0,-0.056200000000000014,-2.8100000000000005
short,-0.05499999999999992,44,BNBUSDT,1770003000,1770042600,732.58,772.8719,0.005050642933195071,stop_loss,,0.1,50.0,-0.05619999999999992,-2.809999999999996
short,-0.05499999999999993,35,ARBUSDT,1770014700,1770046200,0.1333,0.1406315,0.006751687921980584,stop_loss,,0.1,50.0,-0.05619999999999993,-2.8099999999999965
short,-0.054999999999999924,31,LINKUSDT,1770014700,1770042600,9.36,9.874799999999999,0.004273504273504183,stop_loss,,0.1,50.0,-0.056199999999999924,-2.809999999999996
short,0.0111362116893628,54,ZECUSDT,1770084900,1770133500,284.19,281.0252,0.03993806960132314,trail_stop,,0.1,50.0,0.0099362116893628,0.49681058446813997
short,0.002389937106918185,51,HIGHUSDT,1770099300,1770145200,0.159,0.15862,0.03144654088050317,trail_stop,,0.1,50.0,0.0011899371069181853,0.05949685534590927
short,-0.054999999999999986,6,STRKUSDT,1770143400,1770148800,0.0536,0.056548,0.003731343283582067,stop_loss,,0.1,50.0,-0.056199999999999986,-2.809999999999999
short,0.014354066985646,24,PEPEUSDT,1770203700,1770225300,4.18e-06,4.1199999999999995e-06,0.043062200956937795,trail_stop,,0.1,50.0,0.013154066985646,0.6577033492823
