direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,equity_at_entry,notional_usd,pnl_pct_net,pnl_usd,equity_after_exit,was_capped
short,0.0,192,HBARUSDT,1680593400,1680766200,0.067,0.067,timeout,100.0,75.0,-0.0012,-0.09,106.39079088096544,False
long,-0.008471209064100517,117,DOTUSDT,1680597900,1680703200,6.443,6.38842,trail_stop,100.0,75.0,-0.009671209064100517,-0.7253406798075388,105.1483689976118,False
long,0.017317073170731785,132,ZECUSDT,1680599700,1680718500,36.9,37.539,trail_stop,100.0,75.0,0.016117073170731785,1.208780487804884,106.35714948541668,False
long,0.0,192,ADAUSDT,1680606000,1680778800,0.3932,0.3932,timeout,100.0,75.0,-0.0012,-0.09,105.66270425458123,False
long,0.0795161290322579,101,CRVUSDT,1680606000,1680696900,0.93,1.00395,trail_stop,100.0,75.0,0.07831612903225789,5.873709677419342,105.87370967741934,False
long,-0.006835820895522432,77,CRVUSDT,1680697800,1680767100,1.005,0.9981299999999999,trail_stop,105.87370967741934,79.4052822580645,-0.008035820895522431,-0.6380866263842113,105.75270425458123,False
short,0.0,192,FETUSDT,1680706800,1680879600,0.3567,0.3567,timeout,105.1483689976118,78.86127674820885,-0.0012,-0.09463353209785061,105.56807072248338,False
long,0.010258418167580309,10,CHZUSDT,1680730200,1680739200,0.1277,0.12901,trail_stop,106.35714948541668,79.76786211406251,0.00905841816758031,0.7225706513630649,107.07972013677976,False
short,-0.0062577365355988126,22,APTUSDT,1680741000,1680760800,11.4877,11.559586999999999,trail_stop,107.07972013677976,80.3097901025848,-0.007457736535598812,-0.5989292558143186,106.48079088096544,False
short,-0.07499999999999997,184,CHZUSDT,1680768000,1680933600,0.1254,0.134805,stop_loss,105.75270425458123,79.31452819093592,-0.07619999999999998,-6.043767048149315,102.52313640651218,False
short,0.010140961857379751,85,DOGEUSDT,1680845400,1680921900,0.08442,0.0835639,trail_stop,105.66270425458123,79.24702819093592,0.008940961857379751,0.708544656365856,108.5669034546615,False
long,0.03010061782877313,28,FILUSDT,1680876900,1680902100,5.665,5.83552,trail_stop,105.66270425458123,79.24702819093592,0.02890061782877313,2.2902880758122497,107.85835879829564,False
long,0.05683244070390198,53,CHZUSDT,1680913800,1680961500,0.1307,0.138128,trail_stop,107.85835879829564,80.89376909872172,0.055632440703901984,4.500317812699775,107.02345421921196,False
short,0.025014836795252328,150,CHZUSDT,1681021800,1681156800,0.1348,0.131428,trail_stop,107.02345421921196,80.26759066440896,0.023814836795252328,1.9115595716210187,109.01825956392878,False
long,0.0022371031746032917,13,HIGHUSDT,1681077600,1681089300,2.016,2.0205100000000003,trail_stop,107.02345421921196,80.26759066440896,0.0010371031746032918,0.08324577309581609,107.10669999230777,False
long,0.01174683544303794,131,ZECUSDT,1681077600,1681195500,39.5,39.964,trail_stop,107.02345421921196,80.26759066440896,0.01054683544303794,0.8465690701466497,111.84884409884819,False
long,0.01729353233830863,183,NEARUSDT,1681078500,1681243200,2.01,2.04476,trail_stop,107.02345421921196,80.26759066440896,0.016093532338308632,1.2917890660757856,116.76956293322431,False
long,0.014057958980320428,80,ARBUSDT,1681146000,1681218000,1.2043,1.2212299999999998,trail_stop,107.10669999230777,80.33002499423083,0.012857958980320428,1.0328801662639346,112.88172426511213,False
long,0.02589830508474577,36,FILUSDT,1681149600,1681182000,5.9,6.0528,trail_stop,107.10669999230777,80.33002499423083,0.02469830508474577,1.984015464772766,111.00227502870155,False
long,0.0,192,BTCUSDT,1681177500,1681350300,29908.07,29908.07,timeout,109.01825956392878,81.76369467294657,-0.0012,-0.09811643360753587,122.98648732005019,False
long,0.032383139881474114,59,APTUSDT,1681188300,1681241400,11.4068,11.776188,trail_stop,111.00227502870155,83.25170627152616,0.031183139881474115,2.596049602036396,115.47777386714853,False
long,0.0,192,CHZUSDT,1681204500,1681377300,0.1348,0.1348,timeout,111.84884409884819,83.88663307413614,-0.0012,-0.10066395968896336,129.89053268178014,False
long,0.023501199040767355,100,NEARUSDT,1681221600,1681311600,2.085,2.134,trail_stop,112.88172426511213,84.66129319883409,0.022301199040767355,1.8880483506759627,120.6285227117373,False
short,0.01127957508450037,27,HIGHUSDT,1681260300,1681284600,2.071,2.04764,trail_stop,116.76956293322431,87.57717219991824,0.01007957508450037,0.8827406828772943,118.84544865363704,False
short,0.014823927418114816,1,TRXUSDT,1681263900,1681264800,0.06503,0.064066,trail_stop,116.76956293322431,87.57717219991824,0.013623927418114816,1.1931450375354287,117.96270797075974,False
short,1.3474818932134076e-05,42,ARBUSDT,1681264800,1681302600,1.1874,1.187384,trail_stop,117.96270797075974,88.47203097806981,-0.001186525181067866,-0.10497429257569613,118.74047436106135,False
short,-0.07499999999999989,98,APTUSDT,1681302600,1681390800,11.2004,12.040429999999999,stop_loss,118.74047436106135,89.05535577079601,-0.07619999999999989,-6.786018109734647,125.08213256754851,False
long,0.028347598668568553,3,GALAUSDT,1681321500,1681324200,0.04206,0.043252299999999994,trail_stop,120.6285227117373,90.47139203380297,0.027147598668568553,2.456081041920413,123.08460375365772,False
long,0.030173697270471492,120,ZECUSDT,1681368300,1681476300,40.3,41.516,trail_stop,122.98648732005019,92.23986549003763,0.028973697270471492,2.6725299389773607,137.95186358962846,False
long,0.049895499053731376,7,ARBUSDT,1681370100,1681376400,1.2153,1.2759379999999998,trail_stop,122.98648732005019,92.23986549003763,0.04869549905373138,4.491666282686437,129.99119664146912,False
long,0.028444652031760734,5,HIGHUSDT,1681371000,1681375500,2.141,2.2018999999999997,trail_stop,122.98648732005019,92.23986549003763,0.027244652031760734,2.5130430387324907,125.49953035878268,False
long,0.007548387096774173,121,AVAXUSDT,1681375500,1681484400,18.6,18.7404,trail_stop,125.49953035878268,94.124647769087,0.006348387096774173,0.597539699385686,141.06293949940778,False
long,0.02150035553448687,6,DOGEUSDT,1681380000,1681385400,0.08438,0.0861942,trail_stop,129.89053268178014,97.41789951133511,0.02030035553448687,1.9776179955030175,131.86815067728315,False
long,0.11671670506037518,70,APTUSDT,1681390800,1681453800,11.8509,13.234098,trail_stop,125.08213256754851,93.81159942566137,0.11551670506037517,10.836806862096186,135.9189394296447,False
long,0.02799344799344778,91,UNIUSDT,1681394400,1681476300,6.105,6.275899999999999,trail_stop,125.08213256754851,93.81159942566137,0.02679344799344778,2.5135362103936134,140.46539980002208,False
long,0.014750623441396596,89,AAVEUSDT,1681406100,1681486200,80.2,81.38300000000001,trail_stop,125.08213256754851,93.81159942566137,0.013550623441396596,1.2712056582522744,142.33414515766006,False
long,-0.005074384636191477,4,FETUSDT,1681453800,1681457400,0.3697,0.367824,trail_stop,135.9189394296447,101.9392045722335,-0.006274384636191476,-0.6396057789936018,135.2793336506511,False
long,0.0,192,ETHUSDT,1681476300,1681649100,2111.53,2111.53,timeout,140.46539980002208,105.34904985001657,-0.0012,-0.12641885982001988,146.8944301665417,False
short,-0.00048710601719200526,12,SOLUSDT,1681484400,1681495200,24.43,24.4419,trail_stop,141.06293949940778,105.79720462455583,-0.001687106017192005,-0.17849110052418196,142.15565405713588,False
short,0.0,192,DOGEUSDT,1681486200,1681659000,0.08687,0.08687,timeout,142.33414515766006,106.75060886824504,-0.0012,-0.12810073064189403,146.7663294358998,False
short,0.0,192,FILUSDT,1681486200,1681659000,6.012,6.012,timeout,142.33414515766006,106.75060886824504,-0.0012,-0.12810073064189403,146.6382287052579,False
long,-0.005785609397944077,1,HBARUSDT,1681519500,1681520400,0.0681,0.067706,trail_stop,142.15565405713588,106.61674054285191,-0.006985609397944076,-0.7447829047143115,141.41087115242158,False
long,0.013301447142506636,5,FETUSDT,1681541100,1681545600,0.4077,0.41312299999999996,trail_stop,141.41087115242158,106.05815336431618,0.012101447142506636,1.2834571369701346,142.6943282893917,False
long,0.011630901287553681,48,ADAUSDT,1681544700,1681587900,0.4427,0.447849,trail_stop,141.41087115242158,106.05815336431618,0.010430901287553682,1.1062821284834115,146.49604863408473,False
long,0.01729647366129717,15,NEARUSDT,1681547400,1681560900,2.297,2.3367299999999998,trail_stop,142.6943282893917,107.02074621704378,0.01609647366129717,1.722656622695014,144.41698491208672,False
long,0.010181229773462797,5,FILUSDT,1681575300,1681579800,6.18,6.24292,trail_stop,144.41698491208672,108.31273868406504,0.008981229773462798,0.9727815935146207,145.38976650560133,False
long,0.0,192,SHIBUSDT,1681604100,1681776900,1.187e-05,1.187e-05,timeout,146.49604863408473,109.87203647556355,-0.0012,-0.13184644377067625,153.84116287896705,False
short,0.005976469146393714,11,ARBUSDT,1681606800,1681616700,1.6319,1.622147,trail_stop,146.49604863408473,109.87203647556355,0.004776469146393714,0.5248003922769741,147.0208490263617,False
long,-0.004573666767098355,35,LTCUSDT,1681659000,1681690500,99.57,99.11460000000001,trail_stop,146.6382287052579,109.97867152894342,-0.005773666767098355,-0.6349802008962866,146.0032485043616,False
long,0.021466180639935096,41,SOLUSDT,1681677000,1681713900,24.69,25.22,trail_stop,146.6382287052579,109.97867152894342,0.020266180639935096,2.2288476237456543,148.23209612810726,False
long,0.035812658227848106,42,AVAXUSDT,1681678800,1681716600,19.75,20.4573,trail_stop,146.6382287052579,109.97867152894342,0.034612658227848106,3.8066541699840877,152.03875029809134,False
long,0.018162859980139,9,FETUSDT,1681722900,1681731000,0.4028,0.410116,trail_stop,152.03875029809134,114.0290627235685,0.016962859980139,1.9342590246463802,153.97300932273774,False
short,0.009056070996369537,95,HIGHUSDT,1681772400,1681857900,2.479,2.45655,trail_stop,153.97300932273774,115.4797569920533,0.007856070996369537,0.9072171695730722,165.69049637727665,False
long,0.04113333333333345,28,GALAUSDT,1681779600,1681804800,0.045,0.046851000000000004,trail_stop,153.84116287896705,115.38087215922529,0.03993333333333345,4.607542828225077,160.9803226260715,False
long,0.023141391770602645,9,ARBUSDT,1681795800,1681803900,1.7158,1.755506,trail_stop,153.84116287896705,115.38087215922529,0.021941391770602645,2.5316169188793816,156.37277979784645,False
long,-0.00036111111111121523,9,CRVUSDT,1681797600,1681805700,1.08,1.07961,trail_stop,153.84116287896705,115.38087215922529,-0.001561111111111215,-0.18012236153746924,160.80020026453406,False
long,-0.075,104,AVAXUSDT,1681798500,1681892100,21.23,19.63775,stop_loss,153.84116287896705,115.38087215922529,-0.0762,-8.792022458532967,166.03474728010488,False
long,-0.0750000000000001,83,LTCUSDT,1681817400,1681892100,102.11,94.45174999999999,stop_loss,160.80020026453406,120.60015019840053,-0.0762000000000001,-9.189731445118133,156.84501583498675,False
