month,trades,long_trades,short_trades,wr,pf,avg_pnl_pct,total_pnl_usd,equity_end,month_return_pct,drawdown_in_month_pct,avg_notional_usd
2023-04,107,59,48,0.6448598130841121,4.77356235992292,0.014211020969162231,175.82953672258668,288.1905421060407,188.1905421060407,-10.28546939952812,124.47832333641882
2023-05,127,62,65,0.6692913385826772,7.086786692556694,0.01600433482595979,787.0970660962578,1109.3274415168783,284.9284689948976,-7.531825930740936,474.26669763775743
2023-06,179,92,87,0.6703910614525139,4.047321749790476,0.018052443723484073,6695.76777407545,7758.694376894292,599.4052510127367,-16.66953578375339,2358.75746985137
2023-07,143,82,61,0.5804195804195804,3.475266711291812,0.010244342805965215,11543.019079716796,19659.573760779374,153.38765526486503,-17.518519803893515,9299.280219445023
2023-08,131,64,67,0.5801526717557252,2.865119985893774,0.015490312632678258,44763.36453650407,66142.39462258694,236.43859947025035,-31.157253839778388,30900.22534405123
2023-09,106,57,49,0.5849056603773585,5.051626996343215,0.012520592695847169,87940.2492460403,153531.471758761,132.1226387928985,-10.316576495109416,75690.9313604882
2023-10,149,89,60,0.6711409395973155,6.813269024997922,0.015981273971009083,220240.98216803532,388486.8502635897,153.03401694344885,-2.5287217468765233,100000.0
2023-11,225,143,82,0.6488888888888888,3.3197112902415316,0.013026569204681392,266097.80710533133,664900.0311621729,71.15123220027547,-3.995648348391322,100000.0
2023-12,221,151,70,0.6470588235294118,2.1970097856445223,0.00926266812075712,178184.9654687323,816529.0819812542,22.80478924840027,-5.7542210326658845,100000.0
2024-01,191,109,82,0.6701570680628273,2.326154678386219,0.012932382359405695,224088.50306464877,1039773.9145761888,27.340708068014642,-3.7486701753810547,100000.0
2024-02,178,119,59,0.6966292134831461,5.6258739151390715,0.01824666030228754,303430.55338071816,1381699.7537273616,32.88463331863269,-1.6121857116752096,100000.0
2024-03,287,192,95,0.7421602787456446,3.6149691722579314,0.017779665338723088,475836.3952213526,1824402.4212715877,32.04043905703559,-2.562283848072365,100000.0
2024-04,207,98,109,0.7004830917874396,4.045154758042844,0.018150284686402115,350870.8930085238,2170755.4266564953,18.984463150597197,-0.8730802166369215,100000.0
2024-05,187,112,75,0.6470588235294118,4.325936066021018,0.01310997995033943,222716.6250713473,2404251.2848168206,10.756433234856273,-0.71394522549558,100000.0
2024-06,180,81,99,0.7111111111111111,4.737355157168444,0.018657336060937137,314232.0490968685,2707704.1008247123,12.621509986258017,-0.6833009156784458,100000.0
2024-07,183,97,86,0.6775956284153005,3.475798074457807,0.013488327925305407,224876.4010330889,2932580.5018577976,8.305058184333824,-0.6206021609239035,100000.0
2024-08,216,109,107,0.6898148148148148,3.989280138022161,0.015498899582952915,308856.23099178285,3241436.7328495765,10.531892672549574,-0.7577315239390582,100000.0
2024-09,182,108,74,0.6373626373626373,4.52998745788101,0.013429312883629259,222573.4944820525,3464674.4887397117,6.887000249851702,-0.3556108979859089,100000.0
2024-10,170,94,76,0.7294117647058823,3.7658961264769086,0.012475204175361777,191678.47098115023,3654663.391671533,5.4836003656127215,-0.43180834626773645,100000.0
2024-11,273,190,83,0.7252747252747253,3.6393332328344212,0.01708923527742034,433776.1230735753,4112131.8869298664,12.517390693239763,-0.4572171980657484,100000.0
2024-12,290,154,136,0.7344827586206897,3.4219741699331205,0.015627347866011075,418393.0881143212,4511879.713911178,9.721182052839373,-0.5504245564636755,100000.0
2025-01,219,129,90,0.6255707762557078,2.013784311318102,0.010178424581981102,196627.49834538612,4707355.909908357,4.332478000122228,-1.2894716934324675,100000.0
2025-02,217,96,121,0.6912442396313364,2.924929467215902,0.013913191909768675,275876.26444198017,4980361.672288048,5.7995564305016805,-0.7669689156701972,100000.0
2025-03,221,117,104,0.669683257918552,2.0766218333947797,0.007741767511459863,144573.06200326292,5134135.734330261,3.087608333704951,-0.7538307435322127,100000.0
2025-04,202,107,95,0.6683168316831684,2.496583087547788,0.010783162475347222,193579.88200201388,5327197.707782912,3.7603597458810762,-0.5029983413323543,100000.0
2025-05,197,110,87,0.6598984771573604,3.3365810912491103,0.01468720566708691,265697.95164161216,5584156.228443954,4.823521385092047,-0.37186599826173133,100000.0
2025-06,156,85,71,0.6474358974358975,2.565197513166439,0.012767315832133464,180450.12698128202,5764662.694916216,3.2324752225379694,-0.3604707657637615,100000.0
2025-07,194,113,81,0.6752577319587629,2.477846309087793,0.011061494773603926,191312.99860791618,5955975.693524134,3.3187197366575356,-0.28842066120406346,100000.0
2025-08,151,72,79,0.6556291390728477,3.134084098749359,0.01196124718576346,162494.83250502823,6118470.526029161,2.7282655414746846,-0.2623919576148452,100000.0
2025-09,112,60,52,0.5267857142857143,2.535035132107231,0.011576343568131071,116215.04796306799,6248069.244583894,2.1181554769839015,-0.2547215174021994,100000.0
2025-10,180,104,76,0.6555555555555556,3.431677611124659,0.01556953197997563,258651.57563956128,6511591.799521161,4.217663803353346,-0.5966762379710105,100000.0
2025-11,201,91,110,0.6716417910447762,2.512735548441097,0.012643057216149098,230005.45004459683,6729091.179736815,3.3401875748975582,-0.452015352131713,100000.0
2025-12,154,70,84,0.5844155844155844,2.4750092050446177,0.010878225942060445,149044.67950773082,6883717.547749932,2.297878924255626,-0.252036942399556,100000.0
2026-01,209,106,103,0.6650717703349283,3.701413866917781,0.015425073976971244,297304.046118699,7169691.325302822,4.154350836872518,-0.22784817000386817,100000.0
2026-02,287,145,142,0.6341463414634146,2.1695886407990335,0.010785822987337825,275113.11973659554,7446656.229192628,3.8629962061596563,-0.4517688020235582,100000.0
2026-03,285,150,135,0.6280701754385964,2.22501820973699,0.010675764589743243,270059.2908076824,7720018.069954232,3.6709340722613537,-0.30847832809304365,100000.0
2026-04,224,143,81,0.6696428571428571,3.735751904631794,0.02227706895742296,472126.3446462743,8186990.080493372,6.048846081805973,-0.30322911452969636,100000.0
