pnl_pct,exit_reason,bars_held,entry_price,exit_price,direction,symbol,strategy,entry_time,drop_at_entry
0.1360661375661375,timeout,672,0.567,0.489,short,1INCHUSDT,wick_early,2023-04-17 00:30:00+00:00,0.027444253859348226
0.1485,take_profit,547,0.566,0.4810999999999999,short,1INCHUSDT,wick_early,2023-04-19 00:15:00+00:00,0.024137931034482783
0.12746825396825398,timeout,672,0.504,0.439,short,1INCHUSDT,wick_early,2023-04-29 14:45:00+00:00,0.02135922330097089
-0.010691176470588242,timeout,672,0.272,0.2745,short,1INCHUSDT,wick_early,2023-06-13 09:00:00+00:00,0.014492753623188418
-0.051500000000000004,stop_loss,165,0.3312,0.34776,short,1INCHUSDT,wick_early,2023-07-12 03:00:00+00:00,0.011343283582089627
-0.051500000000000004,stop_loss,90,0.3497,0.36718500000000004,short,1INCHUSDT,wick_early,2023-07-14 16:15:00+00:00,0.02726008344923498
0.1485,take_profit,263,0.339,0.28815,short,1INCHUSDT,wick_early,2023-07-21 16:00:00+00:00,0.01938096615562622
-0.051500000000000004,stop_loss,317,0.2459,0.258195,short,1INCHUSDT,wick_early,2023-08-26 08:30:00+00:00,0.018363273453093784
-0.051500000000000004,stop_loss,411,0.2891,0.303555,short,1INCHUSDT,wick_early,2023-10-28 11:30:00+00:00,0.009931506849314925
-0.051500000000000004,stop_loss,168,0.3507,0.36823500000000003,short,1INCHUSDT,wick_early,2023-11-06 13:15:00+00:00,0.03706754530477763
-0.051500000000000004,stop_loss,166,0.3547,0.372435,short,1INCHUSDT,wick_early,2023-12-02 14:45:00+00:00,0.011977715877437244
-0.051500000000000004,stop_loss,259,0.4391,0.461055,short,1INCHUSDT,wick_early,2023-12-29 07:15:00+00:00,0.0255215268530848
-0.051500000000000004,stop_loss,132,0.3792,0.39816,short,1INCHUSDT,wick_early,2024-01-26 10:00:00+00:00,0.01532069592313689
-0.051500000000000004,stop_loss,63,0.4023,0.422415,short,1INCHUSDT,wick_early,2024-01-29 10:15:00+00:00,0.005930318754633094
-0.005764927245358703,timeout,672,0.3986,0.4003,short,1INCHUSDT,wick_early,2024-01-31 16:30:00+00:00,0.06672910325450708
