month,trades,long_trades,short_trades,wr,pf,avg_pnl_pct,total_pnl_usd
2023-04,107,59,48,0.6448598130841121,4.77356235992292,0.014211020969162231,104.41344327752688
2023-05,127,62,65,0.6692913385826772,7.086786692556694,0.01600433482595979,141.011289217267
2023-06,179,92,87,0.6703910614525139,4.047321749790476,0.018052443723484073,226.24405698777366
2023-07,143,82,61,0.5804195804195804,3.475266711291812,0.010244342805965215,97.00057659397689
2023-08,131,64,67,0.5801526717557252,2.865119985893774,0.015490312632678258,140.4023216160639
2023-09,106,57,49,0.5849056603773585,5.051626996343215,0.012520592695847169,89.99871193198499
2023-10,149,89,60,0.6711409395973155,6.813269024997922,0.015981273971009083,165.1807366260265
2023-11,225,143,82,0.6488888888888888,3.3197112902415316,0.013026569204681392,199.5733553289985
2023-12,221,151,70,0.6470588235294118,2.1970097856445223,0.00926266812075712,133.63872410154923
2024-01,191,109,82,0.6701570680628273,2.326154678386219,0.012932382359405695,168.06637729848654
2024-02,178,119,59,0.6966292134831461,5.6258739151390715,0.01824666030228754,227.57291503553864
2024-03,287,192,95,0.7421602787456446,3.6149691722579314,0.017779665338723088,356.8772964160145
2024-04,207,98,109,0.7004830917874396,4.045154758042844,0.018150284686402115,263.15316975639286
2024-05,187,112,75,0.6470588235294118,4.325936066021018,0.01310997995033943,167.03746880351048
2024-06,180,81,99,0.7111111111111111,4.737355157168444,0.018657336060937137,235.67403682265137
2024-07,183,97,86,0.6775956284153005,3.475798074457807,0.013488327925305407,168.65730077481666
2024-08,216,109,107,0.6898148148148148,3.989280138022161,0.015498899582952915,231.6421732438372
2024-09,182,108,74,0.6373626373626373,4.52998745788101,0.013429312883629259,166.93012086153936
2024-10,170,94,76,0.7294117647058823,3.7658961264769086,0.012475204175361777,143.75885323586266
2024-11,273,190,83,0.7252747252747253,3.6393332328344212,0.01708923527742034,325.3320923051815
2024-12,290,154,136,0.7344827586206897,3.4219741699331205,0.015627347866011075,313.7948160857409
2025-01,219,129,90,0.6255707762557078,2.013784311318102,0.010178424581981102,147.47062375903954
2025-02,217,96,121,0.6912442396313364,2.924929467215902,0.013913191909768675,206.90719833148518
2025-03,221,117,104,0.669683257918552,2.0766218333947797,0.007741767511459863,108.4297965024472
2025-04,202,107,95,0.6683168316831684,2.496583087547788,0.010783162475347222,145.18491150151044
2025-05,197,110,87,0.6598984771573604,3.3365810912491103,0.01468720566708691,199.2734637312091
2025-06,156,85,71,0.6474358974358975,2.565197513166439,0.012767315832133464,135.3375952359615
2025-07,194,113,81,0.6752577319587629,2.477846309087793,0.011061494773603926,143.4847489559371
2025-08,151,72,79,0.6556291390728477,3.134084098749359,0.01196124718576346,121.87112437877116
2025-09,112,60,52,0.5267857142857143,2.535035132107231,0.011576343568131071,87.16128597230099
2025-10,180,104,76,0.6555555555555556,3.431677611124659,0.01556953197997563,193.988681729671
2025-11,201,91,110,0.6716417910447762,2.512735548441097,0.012643057216149098,172.50408753344766
2025-12,154,70,84,0.5844155844155844,2.4750092050446177,0.010878225942060445,111.78350963079811
2026-01,209,106,103,0.6650717703349283,3.701413866917781,0.015425073976971244,222.97803458902428
2026-02,287,145,142,0.6341463414634146,2.1695886407990335,0.010785822987337825,206.33483980244668
2026-03,285,150,135,0.6280701754385964,2.22501820973699,0.010675764589743243,202.54446810576178
2026-04,224,143,81,0.6696428571428571,3.735751904631794,0.02227706895742296,354.0947584847057
