month,detector,trades,pf,wr,total_pnl_pct,avg_pnl_pct,median_hold_bars
2026-01,macd_early_trend_short,121,4.393,64.5,248.14,2.051,20
2026-01,macd_pullback_long,196,1.412,39.8,101.84,0.52,19
2026-01,macd_pullback_short,121,4.393,64.5,248.14,2.051,20
2026-01,rsi_recovery_long,35,6.853,71.4,94.6,2.703,11
2026-02,macd_early_trend_short,86,2.84,58.1,149.4,1.737,20
2026-02,macd_pullback_long,737,1.59,33.9,544.42,0.739,16
2026-02,macd_pullback_short,224,3.378,58.5,407.33,1.818,23
2026-02,rsi_recovery_long,2,inf,100.0,18.98,9.488,7
2026-03,macd_early_trend_short,142,2.273,55.6,113.84,0.802,20
2026-03,macd_pullback_long,1116,1.271,34.1,341.68,0.306,17
2026-03,macd_pullback_short,191,2.125,51.8,148.76,0.779,18
2026-03,rsi_recovery_long,2,0.318,50.0,-3.57,-1.787,6
2026-04,macd_early_trend_short,62,1.365,38.7,21.68,0.35,26
2026-04,macd_pullback_long,1135,1.551,40.8,799.78,0.705,14
2026-04,macd_pullback_short,153,1.377,39.9,52.15,0.341,23
