regime,trades,wr,pf,pf_p5,avg_pnl_pct,total_pnl_pct,total_pnl_usd,max_drawdown_pct
bull,1347,0.6770601336302895,2.756243987050879,2.3975660753809898,0.012382637368701262,16.6794125356406,753.15062678203,-13.191410492718608
bear,848,0.6285377358490566,2.1563482292069533,1.8108993268819042,0.00985822054540995,8.359771022507639,367.10855112538195,-9.341620029943968
sideways,1912,0.6657949790794979,3.06861733220914,2.7262363982560904,0.013985351875112876,26.73999278521582,1222.279639260791,-6.160014739405143
