direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,ml_prob,kelly_fraction,notional_usd,pnl_pct_net,pnl_usd
short,0.0,192,CHZUSDT,1769868900,1770041700,0.04635,0.04635,0.12254584681769157,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,FETUSDT,1769868900,1770041700,0.1967,0.1967,0.1387900355871887,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,SUIUSDT,1769868900,1770041700,1.2082,1.2082,0.1451746399602715,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,CRVUSDT,1769879700,1770052500,0.2826,0.2826,0.07714083510261868,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,DOTUSDT,1769879700,1770052500,1.502,1.502,0.06857523302263648,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,ZECUSDT,1770084900,1770257700,284.19,284.19,0.13353742214715503,timeout,,0.1,50.0,-0.0012,-0.06
short,0.15,68,ZECUSDT,1770236100,1770297300,263.1,223.63500000000002,0.15199543899657927,take_profit,,0.1,50.0,0.1488,7.4399999999999995
short,0.15000000000000005,36,ADAUSDT,1770304500,1770336900,0.2641,0.224485,0.1650889814464218,take_profit,,0.1,50.0,0.14880000000000004,7.440000000000002
short,0.15000000000000008,35,CRVUSDT,1770304500,1770336000,0.2503,0.212755,0.16100679184978037,take_profit,,0.1,50.0,0.14880000000000007,7.440000000000004
short,0.15000000000000008,35,FILUSDT,1770304500,1770336000,0.964,0.8193999999999999,0.16701244813278002,take_profit,,0.1,50.0,0.14880000000000007,7.440000000000004
short,0.15000000000000002,36,HIGHUSDT,1770304500,1770336900,0.146,0.12409999999999999,0.15068493150684928,take_profit,,0.1,50.0,0.14880000000000002,7.44
short,0.15,35,UNIUSDT,1770304500,1770336000,3.51,2.9835,0.16809116809116806,take_profit,,0.1,50.0,0.1488,7.4399999999999995
short,-0.05500000000000002,1,AVAXUSDT,1770336900,1770337800,7.78,8.2079,0.0,stop_loss,,0.1,50.0,-0.05620000000000002,-2.810000000000001
short,-0.05499999999999997,6,BCHUSDT,1770336900,1770342300,434.8,458.714,0.0,stop_loss,,0.1,50.0,-0.05619999999999997,-2.8099999999999987
short,-0.054999999999999875,1,BLURUSDT,1770336900,1770337800,0.01757,0.018536349999999997,0.0,stop_loss,,0.1,50.0,-0.056199999999999875,-2.809999999999994
short,-0.054999999999999986,1,BNBUSDT,1770336900,1770337800,582.42,614.4531,0.0,stop_loss,,0.1,50.0,-0.056199999999999986,-2.809999999999999
short,-0.054999999999999966,1,CHZUSDT,1770336900,1770337800,0.03555,0.03750525,0.0,stop_loss,,0.1,50.0,-0.056199999999999965,-2.8099999999999983
short,-0.05499999999999998,1,AAVEUSDT,1770337800,1770338700,95.71,100.97404999999999,0.0,stop_loss,,0.1,50.0,-0.05619999999999998,-2.809999999999999
short,0.0,192,WIFUSDT,1770648300,1770821100,0.223,0.223,0.07623318385650231,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,UNIUSDT,1770870600,1771043400,3.41,3.41,0.07859237536656898,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,FLOKIUSDT,1771160400,1771333200,3.245e-05,3.245e-05,0.03913713405238828,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,WIFUSDT,1771160400,1771333200,0.234,0.234,0.03846153846153849,timeout,,0.1,50.0,-0.0012,-0.06
short,-0.05499999999999991,32,WIFUSDT,1771810200,1771839000,0.199,0.209945,0.0,stop_loss,,0.1,50.0,-0.05619999999999991,-2.8099999999999956
short,-0.05499999999999988,181,HIGHUSDT,1771868700,1772031600,0.14,0.1477,0.028571428571428595,stop_loss,,0.1,50.0,-0.05619999999999988,-2.8099999999999943
short,0.0,192,WIFUSDT,1772232300,1772405100,0.203,0.203,0.10837438423645329,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,ARBUSDT,1772727300,1772900100,0.1016,0.1016,0.04822834645669293,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,WIFUSDT,1772889300,1773062100,0.179,0.179,0.03351955307262573,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,WIFUSDT,1773100800,1773273600,0.171,0.171,0.058479532163742735,timeout,,0.1,50.0,-0.0012,-0.06
short,-0.05499999999999999,147,WIFUSDT,1773499500,1773631800,0.165,0.174075,0.006060606060606066,stop_loss,,0.1,50.0,-0.05619999999999999,-2.8099999999999996
short,0.0,192,WIFUSDT,1773837900,1774010700,0.178,0.178,0.04494382022471899,timeout,,0.1,50.0,-0.0012,-0.06
short,0.0,192,ZECUSDT,1773925200,1774098000,239.04,239.04,0.04396753681392232,timeout,,0.1,50.0,-0.0012,-0.06
short,-0.05499999999999998,65,WIFUSDT,1774205100,1774263600,0.172,0.18145999999999998,0.029069767441860333,stop_loss,,0.1,50.0,-0.05619999999999998,-2.809999999999999
short,0.0,192,SEIUSDT,1774608300,1774781100,0.0561,0.0561,0.0516934046345811,timeout,,0.1,50.0,-0.0012,-0.06
