month,regime,direction,trades,wr,pf,avg_pnl_pct,total_pnl_pct,total_pnl_usd,max_drawdown_pct
2023-04,sideways,long,65,0.6153846153846154,2.94083157417702,0.010635094540902149,0.6912811451586397,30.664057257931983,-5.094610823575195
2023-05,sideways,long,63,0.5873015873015873,2.8610752963658213,0.011639782419414197,0.7333062924230944,32.88531462115473,-9.205234773053673
2023-06,sideways,long,108,0.6574074074074074,3.076321907104805,0.015758784036300422,1.7019486759204456,78.61743379602228,-6.026854162925488
2023-07,sideways,long,94,0.574468085106383,1.7143259058596991,0.006569995519864087,0.6175795788672241,25.23897894336121,-15.676889648322781
2023-08,sideways,long,70,0.5571428571428572,1.893903497371629,0.010006974426221582,0.7004882098355107,30.82441049177554,-9.377246242806144
2023-09,sideways,long,65,0.6461538461538462,3.8298355774350035,0.012119718976721164,0.7877817334868756,35.48908667434379,-3.102016248817431
2023-10,bull,long,10,0.6,3.2038583700696046,0.01710065332075956,0.17100653320759562,7.950326660379782,-0.5591898489992725
2023-10,sideways,long,83,0.6385542168674698,5.044094784464401,0.01600964387836305,1.328800441904133,61.460022095206654,-4.721436089996415
2023-11,bull,long,162,0.7098765432098766,4.7817988186540425,0.017646230268496578,2.858689303496446,133.2144651748223,-6.096338201741002
2023-12,bull,long,185,0.6594594594594595,2.9102950409093657,0.013043979399046909,2.413136188823678,109.5568094411839,-10.983976248727833
2024-01,bull,long,87,0.6436781609195402,1.6509871379053684,0.00868256753566451,0.7553833756028123,32.549168780140604,-10.207869857292277
2024-01,sideways,long,43,0.627906976744186,2.852940713106683,0.011545907347163086,0.4964740159280127,22.243700796400635,-3.235710460227349
2024-02,bull,long,132,0.6666666666666666,5.061969939336944,0.018863468825066565,2.4899778849087864,116.5788942454393,-3.325924479723255
2024-02,sideways,long,4,0.75,16.752287346000994,0.012634723771918786,0.050538895087675145,2.2869447543837573,0.0
2024-03,bull,long,213,0.7370892018779343,4.92951146185856,0.022303438258571,4.750632349075623,224.75161745378114,-3.535537087657831
2024-04,bull,long,47,0.6595744680851063,2.040202088728408,0.009714248252514874,0.456569667868199,20.008483393409954,-9.477248842193173
2024-04,sideways,long,73,0.6027397260273972,1.250716893947447,0.0027215252046507957,0.19867133993950808,5.553566996975404,-13.559587436943454
2024-05,bull,long,78,0.6923076923076923,8.733471467627448,0.021545962972195774,1.6805851118312705,79.34925559156355,-5.019980752870869
2024-05,sideways,long,53,0.5849056603773585,1.4830779415115134,0.004516236518433461,0.23936053547697342,8.788026773848674,-13.365026343706596
2024-06,bull,long,58,0.6206896551724138,1.8343177612906885,0.007389095722007905,0.4285675518764585,17.948377593822926,-8.060994765357913
2024-06,sideways,long,36,0.6944444444444444,9.214217022217767,0.018382803537547586,0.6617809273517131,30.92904636758567,-2.3990301020873828
2024-07,bull,long,68,0.6029411764705882,1.941536794667487,0.0078431580405898,0.5333347467601064,22.586737338005324,-6.824456865198515
2024-07,sideways,long,47,0.6808510638297872,4.725313830110804,0.0164739794601487,0.7742770346269889,35.89385173134944,-6.093484616124846
2024-08,bear,long,73,0.5753424657534246,1.9961339603057218,0.008019476532044429,0.5854217868392433,24.891089341962168,-8.912017396538998
2024-08,sideways,long,57,0.6842105263157895,2.7377823925613987,0.012010566065720206,0.6846022657460518,30.810113287302585,-6.438370514817953
2024-09,bear,long,54,0.6296296296296297,2.6696050497005763,0.009159795558642726,0.49462896016670715,21.49144800833536,-5.241684783470109
2024-09,sideways,long,76,0.6973684210526315,8.535650385304983,0.019019390171546573,1.4454736530375396,67.71368265187701,-2.0405931000164834
2024-10,bear,long,3,0.6666666666666666,0.9976351842331831,-4.3354955724974935e-05,-0.0001300648671749248,-0.18650324335874646,0.0
2024-10,bull,long,15,0.8666666666666667,127.01573383874904,0.02050558603230836,0.3075837904846254,14.479189524231268,-0.1751358905989015
2024-10,sideways,long,95,0.6421052631578947,2.84596524467726,0.010801529453353624,1.0261452980685943,45.6072649034297,-8.924398037430576
2024-11,bull,long,222,0.7477477477477478,6.037467272922927,0.022535705542799166,5.002926630501415,236.8263315250707,-5.5180925726550525
2024-12,bull,long,157,0.6942675159235668,2.5205042222469536,0.0122739335527763,1.927007567785879,86.93037838929394,-6.733847190025003
2024-12,sideways,long,15,0.6,0.8721677343331461,-0.0014844049594513267,-0.0222660743917699,-2.013303719588495,-8.399283730109179
2025-01,bull,long,109,0.6238532110091743,2.1177675943135426,0.00928053412884964,1.0115782200446106,44.038911002230535,-13.681028969823995
2025-01,sideways,long,37,0.6756756756756757,2.203190374671489,0.009860019303020362,0.3648207142117534,16.021035710587668,-11.967802056788068
2025-02,bull,long,11,0.8181818181818182,140.41237837806165,0.03643057582393325,0.40073633406326575,19.376816703163286,-0.11010571502487299
2025-02,sideways,long,101,0.5841584158415841,1.6850868002581039,0.0066863670364676045,0.675323070683228,27.706153534161402,-14.420896486816535
2025-03,sideways,long,138,0.5652173913043478,1.4797664220071314,0.003762789890518509,0.5192650048915542,17.683250244577707,-18.76521581650366
2025-04,bear,long,36,0.6666666666666666,2.893188501580593,0.016203086629277393,0.5833111186539861,27.005555932699313,-4.894206488279399
2025-04,sideways,long,96,0.5625,2.4170514703104375,0.009816887001162322,0.942421152111583,41.36105760557915,-9.224433040212453
2025-05,bull,long,39,0.5128205128205128,1.8887038867787014,0.007347989866916342,0.2865716048097373,11.98858024048686,-5.4403605576372795
2025-05,sideways,long,107,0.6542056074766355,2.447321453717342,0.01284746801834448,1.3746790779628593,62.31395389814295,-11.088223644365621
2025-06,bull,long,90,0.5222222222222223,1.9219270988473167,0.008072220358242886,0.7264998322418598,30.924991612092985,-9.454311251526184
2025-06,sideways,long,4,0.25,0.4060214191037036,-0.017631084902438927,-0.07052433960975571,-3.766216980487785,-5.517713562905539
2025-07,bull,long,130,0.6307692307692307,2.208615090402591,0.009526768242212918,1.2384798714876792,54.12399357438397,-7.902824463383472
2025-08,bull,long,60,0.6833333333333333,5.254293043697197,0.01774382495114568,1.0646294970687409,49.631474853437055,-4.192785242444443
2025-08,sideways,long,27,0.48148148148148145,1.2428591458962752,0.002460612910193247,0.06643654857521768,1.7018274287608837,-6.420744515397265
2025-09,bull,long,29,0.6206896551724138,2.7628321793131736,0.014268249791451526,0.41377924395209426,18.94896219760471,-10.710932144754508
2025-09,sideways,long,45,0.5111111111111111,2.459131545243565,0.01111870866495669,0.5003418899230511,22.317094496152553,-9.103720619657171
