direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason,ml_prob,kelly_fraction,notional_usd,pnl_pct_net,pnl_usd
short,-0.05499999999999995,69,CHZUSDT,1769737500,1769799600,0.04754,0.050154699999999997,0.017248632730332378,stop_loss,,0.02,10.0,-0.05619999999999995,-0.5619999999999995
short,0.0,192,ADAUSDT,1769868900,1770041700,0.3056,0.3056,0.12140052356020932,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,CHZUSDT,1769868900,1770041700,0.04635,0.04635,0.12254584681769157,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,FETUSDT,1769868900,1770041700,0.1967,0.1967,0.1387900355871887,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,SEIUSDT,1769868900,1770041700,0.0915,0.0915,0.12459016393442617,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,SUIUSDT,1769868900,1770041700,1.2082,1.2082,0.1451746399602715,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,0.0,192,ZECUSDT,1770084900,1770257700,284.19,284.19,0.13353742214715503,timeout,,0.02,10.0,-0.0012,-0.011999999999999999
short,-0.054999999999999986,6,STRKUSDT,1770143400,1770148800,0.0536,0.056548,0.003731343283582067,stop_loss,,0.02,10.0,-0.056199999999999986,-0.5619999999999998
short,0.15000000000000002,132,PEPEUSDT,1770203700,1770322500,4.18e-06,3.5529999999999997e-06,0.17464114832535882,take_profit,,0.02,10.0,0.14880000000000002,1.4880000000000002
short,0.15000000000000005,109,SUIUSDT,1770213600,1770311700,1.1006,0.93551,0.15418862438669823,take_profit,,0.02,10.0,0.14880000000000004,1.4880000000000004
short,0.15,68,ZECUSDT,1770236100,1770297300,263.1,223.63500000000002,0.15199543899657927,take_profit,,0.02,10.0,0.1488,1.488
short,0.15000000000000005,36,ADAUSDT,1770304500,1770336900,0.2641,0.224485,0.1650889814464218,take_profit,,0.02,10.0,0.14880000000000004,1.4880000000000004
short,0.15000000000000008,35,CRVUSDT,1770304500,1770336000,0.2503,0.212755,0.16100679184978037,take_profit,,0.02,10.0,0.14880000000000007,1.4880000000000007
short,0.15000000000000008,35,FILUSDT,1770304500,1770336000,0.964,0.8193999999999999,0.16701244813278002,take_profit,,0.02,10.0,0.14880000000000007,1.4880000000000007
short,-0.0549999999999999,72,APTUSDT,1770323400,1770388200,1.035,1.0919249999999998,0.13043478260869557,stop_loss,,0.02,10.0,-0.0561999999999999,-0.5619999999999991
short,-0.0549999999999999,72,ARBUSDT,1770323400,1770388200,0.1078,0.113729,0.12430426716141009,stop_loss,,0.02,10.0,-0.0561999999999999,-0.5619999999999991
short,-0.05500000000000002,1,AVAXUSDT,1770336900,1770337800,7.78,8.2079,0.0,stop_loss,,0.02,10.0,-0.05620000000000002,-0.5620000000000002
