entry_idx,exit_idx,entry_price,exit_price,sl_price,tp_price,exit_reason,pnl_pct,bars_held,atr14_at_entry,detector,asset,direction,entry_time,signal_time
2322,2329,0.6434,0.671305599916006,0.6340981333613313,0.671305599916006,take_profit,0.042172085663671206,7,0.004650933319334347,macd_pullback_long,0GUSDT,long,2026-02-15T04:30:00+00:00,2026-02-15T04:00:00+00:00
3346,3357,0.6617,0.652030688328255,0.6520548013249426,0.690635596025172,stop_loss,-0.015812833114319188,11,0.004822599337528678,macd_pullback_long,0GUSDT,long,2026-02-25T20:30:00+00:00,2026-02-25T20:00:00+00:00
7346,7351,0.5409,0.5350031127402854,0.5350178181947984,0.5585465454156048,stop_loss,-0.012101991606053984,5,0.0029410909026007957,macd_pullback_long,0GUSDT,long,2026-04-08T12:30:00+00:00,2026-04-08T12:00:00+00:00
8178,8189,0.6178,0.6304884846968779,0.6135705051010407,0.6304884846968779,take_profit,0.019338175294396066,11,0.002114747449479651,macd_pullback_long,0GUSDT,long,2026-04-17T04:30:00+00:00,2026-04-17T04:00:00+00:00
8514,8516,0.5859,0.5816180456770681,0.5816287238673996,0.5987138283978012,stop_loss,-0.008508336444669536,2,0.0021356380663001924,macd_pullback_long,0GUSDT,long,2026-04-20T16:30:00+00:00,2026-04-20T16:00:00+00:00
50,53,0.7665,0.7932387814356378,0.7575870728547873,0.7932387814356378,take_profit,0.03368425497147788,3,0.00445646357260629,rsi_recovery_long,0GUSDT,long,2026-01-22T12:30:00+00:00,2026-01-22T12:00:00+00:00
3346,3354,122.61,120.66100748678515,120.66586781724205,128.44239654827388,stop_loss,-0.01709586912335737,8,0.9720660913789786,macd_pullback_long,AAVEUSDT,long,2026-02-25T20:30:00+00:00,2026-02-25T20:00:00+00:00
3842,3849,122.06,120.07828467264598,120.08322660613065,127.99032018160804,stop_loss,-0.017435583543781944,7,0.9883866969346723,macd_pullback_long,AAVEUSDT,long,2026-03-03T00:30:00+00:00,2026-03-03T00:00:00+00:00
4098,4183,115.22,113.20671202814079,113.21173269639979,121.24480191080063,stop_loss,-0.018673424508411852,85,1.0041336518001045,macd_pullback_long,AAVEUSDT,long,2026-03-05T16:30:00+00:00,2026-03-05T16:00:00+00:00
5154,5281,120.96,119.10836019719301,119.11297775281098,126.50106674156703,stop_loss,-0.01650786874013712,127,0.9235111235945068,macd_pullback_long,AAVEUSDT,long,2026-03-16T16:30:00+00:00,2026-03-16T16:00:00+00:00
8066,8119,105.77,104.3137772999676,104.31740877802254,110.12777366593238,stop_loss,-0.01496782357977119,53,0.72629561098873,macd_pullback_long,AAVEUSDT,long,2026-04-16T00:30:00+00:00,2026-04-16T00:00:00+00:00
8162,8166,115.31,113.21176197098576,113.21699448477382,121.58901654567853,stop_loss,-0.019396496652625446,4,1.0465027576130894,macd_pullback_long,AAVEUSDT,long,2026-04-17T00:30:00+00:00,2026-04-17T00:00:00+00:00
6754,6778,0.2382,0.24082688359270965,0.24082033276080764,0.23033900171757707,stop_loss,-0.0122280587435334,24,0.0013101663804038215,macd_pullback_short,ADAUSDT,short,2026-04-02T08:30:00+00:00,2026-04-02T08:00:00+00:00
6754,6778,0.2382,0.24082688359270965,0.24082033276080764,0.23033900171757707,stop_loss,-0.0122280587435334,24,0.0013101663804038215,macd_early_trend_short,ADAUSDT,short,2026-04-02T08:30:00+00:00,2026-04-02T08:00:00+00:00
2306,2345,0.2955,0.2913815071108365,0.2913917776666698,0.3078246669999905,stop_loss,-0.015137370183294398,39,0.0020541111666650858,macd_pullback_long,ADAUSDT,long,2026-02-15T00:30:00+00:00,2026-02-15T00:00:00+00:00
3378,3380,0.2985,0.2935817530010534,0.29359401795616297,0.31321794613151105,stop_loss,-0.017676539359955133,2,0.002452991021918508,macd_pullback_long,ADAUSDT,long,2026-02-26T04:30:00+00:00,2026-02-26T04:00:00+00:00
3666,3683,0.2859,0.2809942136850579,0.2810064475661425,0.3005806573015724,stop_loss,-0.018359098688150038,17,0.0024467762169287396,macd_pullback_long,ADAUSDT,long,2026-03-01T04:30:00+00:00,2026-03-01T04:00:00+00:00
5074,5083,0.2645,0.27089146151914234,0.2623695128269526,0.27089146151914234,take_profit,0.022964315762352843,9,0.0010652435865237246,macd_pullback_long,ADAUSDT,long,2026-03-15T20:30:00+00:00,2026-03-15T20:00:00+00:00
5266,5325,0.2887,0.28561238390578714,0.2856200836965458,0.29793974891036257,stop_loss,-0.011894894680335555,59,0.0015399581517270972,macd_pullback_long,ADAUSDT,long,2026-03-17T20:30:00+00:00,2026-03-17T20:00:00+00:00
8562,8612,0.2476,0.24581625631041792,0.2458207045490453,0.25293788635286407,stop_loss,-0.008404134449039025,50,0.0008896477254773447,macd_pullback_long,ADAUSDT,long,2026-04-21T04:30:00+00:00,2026-04-21T04:00:00+00:00
3650,3661,0.005601,0.005497201396858415,0.005497460246242808,0.0059116192612715755,stop_loss,-0.019732155533223505,11,5.176987687859585e-05,macd_pullback_long,AGTUSDT,long,2026-03-01T00:30:00+00:00,2026-03-01T00:00:00+00:00
4002,4025,0.006097,0.005981561430038165,0.005981849306771237,0.00644245207968629,stop_loss,-0.020133667371139145,23,5.757534661438163e-05,macd_pullback_long,AGTUSDT,long,2026-03-04T16:45:00+00:00,2026-03-04T16:00:00+00:00
4098,4144,0.006747,0.006525939717699857,0.006526490990224296,0.007408527029327112,stop_loss,-0.033964233333354625,46,0.00011025450488785196,macd_pullback_long,AGTUSDT,long,2026-03-05T16:45:00+00:00,2026-03-05T16:15:00+00:00
4881,4886,0.007232,0.00715426478903698,0.0071544586424309034,0.007464624072707288,stop_loss,-0.01194878470174494,5,3.8770678784547995e-05,macd_pullback_long,AGTUSDT,long,2026-03-13T20:30:00+00:00,2026-03-13T20:00:00+00:00
5025,5035,0.007472,0.007350686564463917,0.0073509890917345805,0.00783503272479626,stop_loss,-0.017435738160610732,10,6.0505454132709876e-05,macd_pullback_long,AGTUSDT,long,2026-03-15T08:30:00+00:00,2026-03-15T08:00:00+00:00
7393,7397,0.008476,0.008325428974914797,0.008325804463755408,0.008926586608733774,stop_loss,-0.018964396541434836,4,7.509776812229567e-05,macd_pullback_long,AGTUSDT,long,2026-04-09T00:30:00+00:00,2026-04-09T00:00:00+00:00
8353,8358,0.014524,0.013995370423110543,0.01399668870135715,0.01610593389592855,stop_loss,-0.037596968940337185,5,0.0002636556493214251,macd_pullback_long,AGTUSDT,long,2026-04-19T00:30:00+00:00,2026-04-19T00:00:00+00:00
1154,1157,0.05182,0.04871867306657737,0.05285377564447421,0.04871867306657737,take_profit,0.05864806895836792,3,0.0005168878222371042,macd_pullback_short,AIOTUSDT,short,2026-02-03T00:30:00+00:00,2026-02-03T00:00:00+00:00
1154,1157,0.05182,0.04871867306657737,0.05285377564447421,0.04871867306657737,take_profit,0.05864806895836792,3,0.0005168878222371042,macd_early_trend_short,AIOTUSDT,short,2026-02-03T00:30:00+00:00,2026-02-03T00:00:00+00:00
4033,4034,0.02731,0.026425732983985196,0.0264279381386386,0.029956185584084208,stop_loss,-0.03357887279439052,1,0.00044103093068070126,macd_pullback_long,AIOTUSDT,long,2026-03-05T00:30:00+00:00,2026-03-05T00:00:00+00:00
4129,4148,0.02583,0.027804868339945006,0.025171710553351663,0.027804868339945006,take_profit,0.07525638172454538,19,0.000329144723324168,macd_pullback_long,AIOTUSDT,long,2026-03-06T00:30:00+00:00,2026-03-06T00:00:00+00:00
6721,6733,0.01483,0.014234693598339059,0.014236178152956667,0.016611465541129997,stop_loss,-0.04134203652467572,12,0.0002969109235216662,macd_pullback_long,AIOTUSDT,long,2026-04-02T00:30:00+00:00,2026-04-02T00:00:00+00:00
7201,7202,0.03765,0.035114446748588456,0.03512076982402838,0.04523769052791486,stop_loss,-0.06854537188344083,1,0.0012646150879858098,macd_pullback_long,AIOTUSDT,long,2026-04-07T00:30:00+00:00,2026-04-07T00:00:00+00:00
8289,8330,0.07026,0.06690006375580558,0.06690844264918262,0.08031467205245216,stop_loss,-0.04902146661250245,41,0.001675778675408692,macd_pullback_long,AIOTUSDT,long,2026-04-18T08:30:00+00:00,2026-04-18T08:00:00+00:00
1938,1976,0.1225,0.12349239775468834,0.12348992294732004,0.11953023115803986,stop_loss,-0.009301206160721187,38,0.0004949614736600227,macd_pullback_short,APEUSDT,short,2026-02-11T04:30:00+00:00,2026-02-11T04:00:00+00:00
3842,3859,0.1036,0.10167840281472923,0.10168319482766008,0.10935041551701973,stop_loss,-0.01974823537906147,17,0.000958402586169955,macd_pullback_long,APEUSDT,long,2026-03-03T00:30:00+00:00,2026-03-03T00:00:00+00:00
5266,5282,0.10245,0.10167318521643967,0.10167512241041364,0.10477463276875908,stop_loss,-0.008782379536948057,16,0.0003874387947931796,macd_pullback_long,APEUSDT,long,2026-03-17T20:30:00+00:00,2026-03-17T20:00:00+00:00
7122,7126,0.0868,0.08613588260060749,0.08613753875372318,0.08878738373883047,stop_loss,-0.008851122112816946,4,0.0003312306231384104,macd_pullback_long,APEUSDT,long,2026-04-06T04:30:00+00:00,2026-04-06T04:00:00+00:00
8050,8074,0.09348,0.09718304818585201,0.09224565060471598,0.09718304818585201,take_profit,0.038413266857638156,24,0.0006171746976420027,macd_pullback_long,APEUSDT,long,2026-04-15T20:30:00+00:00,2026-04-15T20:00:00+00:00
1938,1976,0.1089,0.11021778133931744,0.11021449510156353,0.10495651469530941,stop_loss,-0.013300838744880066,38,0.000657247550781764,macd_pullback_short,ARBUSDT,short,2026-02-11T04:30:00+00:00,2026-02-11T04:00:00+00:00
