threshold,A_trades,A_ret_pct,B_ret_pct,C_ret_pct
0.7,197,116.51480351441543,349.54441054324633,412.9425659996326
0.72,179,101.6327442194209,304.8982326582627,369.56177699172923
0.75,130,63.62979078966144,190.88937236898434,244.6499597511453
0.78,98,46.80596256119913,140.41788768359743,187.9978876835974
0.8,68,35.32897280399405,105.9869184119822,142.5869184119822
0.85,25,17.57429399003861,52.72288197011582,52.72288197011582
0.88,9,7.290298850087209,21.87089655026162,21.87089655026162
0.9,3,0.953165467625899,2.8594964028776975,2.8594964028776975
