signal_time,ml_prob,pnl_pct_gross,pnl_pct_net,kelly_fraction,notional_usd,pnl_usd,exit_time,taken
2026-01-20 06:45:00+00:00,0.7500735840566976,0.05,0.0488,0.05,150.0,7.32,2026-01-20 17:45:00+00:00,True
2026-01-20 10:15:00+00:00,0.7862082398855187,-0.05,-0.0512,0.05,150.0,-7.680000000000001,2026-01-20 15:45:00+00:00,True
2026-01-20 15:30:00+00:00,0.7047733669074763,-0.05,-0.0512,0.05,150.0,-7.680000000000001,2026-01-20 17:00:00+00:00,True
2026-01-20 16:00:00+00:00,0.8301936370828283,0.05,0.0488,0.05,150.0,7.32,2026-01-20 16:45:00+00:00,True
2026-01-21 04:00:00+00:00,0.7045513005523851,0.0021810250817884424,0.0009810250817884425,0.05,150.0,0.14715376226826637,2026-01-23 04:00:00+00:00,True
2026-01-21 04:15:00+00:00,0.7672164046075057,0.05,0.0488,0.05,150.0,7.32,2026-01-21 11:45:00+00:00,True
2026-01-21 23:30:00+00:00,0.7878692234476349,-0.028695166247555293,-0.029895166247555293,0.05,150.0,-4.484274937133294,2026-01-23 23:30:00+00:00,True
2026-01-21 23:45:00+00:00,0.7599841914626625,0.019685039370078757,0.018485039370078758,0.05,150.0,2.7727559055118136,2026-01-23 23:45:00+00:00,True
2026-01-22 08:00:00+00:00,0.7012866201999346,0.05,0.0488,0.05,150.0,7.32,2026-01-22 13:15:00+00:00,True
2026-01-22 15:15:00+00:00,0.7961264215401408,0.05,0.0488,0.05,150.0,7.32,2026-01-22 16:00:00+00:00,True
2026-01-23 06:45:00+00:00,0.7350833041059647,-0.05,-0.0512,0.05,150.0,-7.680000000000001,2026-01-23 16:30:00+00:00,True
2026-01-23 09:30:00+00:00,0.8041448387324419,0.05,0.0488,0.05,150.0,7.32,2026-01-23 14:45:00+00:00,True
2026-01-23 18:45:00+00:00,0.7821703040711664,0.05,0.0488,0.05,150.0,7.32,2026-01-24 02:00:00+00:00,True
2026-01-24 03:15:00+00:00,0.7761040896440712,0.05,0.0488,0.05,150.0,7.32,2026-01-24 07:15:00+00:00,True
2026-01-24 23:00:00+00:00,0.7953684776406914,0.05,0.0488,0.05,150.0,7.32,2026-01-25 00:00:00+00:00,True
2026-01-25 18:00:00+00:00,0.7814829230738732,0.05,0.0488,0.05,150.0,7.32,2026-01-26 00:30:00+00:00,True
2026-01-26 12:00:00+00:00,0.7429002942112711,0.05,0.0488,0.05,150.0,7.32,2026-01-26 16:30:00+00:00,True
2026-01-28 05:00:00+00:00,0.8440179985171619,0.05,0.0488,0.05,150.0,7.32,2026-01-28 07:30:00+00:00,True
2026-01-28 18:00:00+00:00,0.7770339191091866,0.05,0.0488,0.05,150.0,7.32,2026-01-28 20:45:00+00:00,True
2026-01-29 01:45:00+00:00,0.743096189665813,0.05,0.0488,0.05,150.0,7.32,2026-01-29 03:15:00+00:00,True
2026-01-29 03:15:00+00:00,0.7339434333052783,0.05,0.0488,0.05,150.0,7.32,2026-01-29 15:00:00+00:00,True
2026-01-29 09:45:00+00:00,0.7682905473834016,-0.05,-0.0512,0.05,150.0,-7.680000000000001,2026-01-31 00:00:00+00:00,True
2026-01-29 13:00:00+00:00,0.7397145538795282,0.05,0.0488,0.05,150.0,7.32,2026-01-29 13:45:00+00:00,True
