signal_time,ml_prob,pnl_pct_gross,pnl_pct_net,kelly_fraction,notional_usd,pnl_usd,exit_time,taken,scenario
2026-01-29 18:15:00+00:00,0.7633347894746287,0.05,0.0488,0.05,150.0,0.0,2026-01-31 09:45:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.7928624005327214,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:30:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.8040420143979466,0.05,0.0488,0.05,150.0,0.0,2026-01-31 13:15:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.7678285634679815,0.05,0.0488,0.05,150.0,0.0,2026-01-31 12:00:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.7561748507443019,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:30:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.7813559569631967,0.05,0.0488,0.05,150.0,0.0,2026-01-30 06:30:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.8037119694461781,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:30:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.7850109294928408,0.05,0.0488,0.05,150.0,0.0,2026-01-31 12:45:00+00:00,False,A
2026-01-29 18:15:00+00:00,0.7966617685683901,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:00:00+00:00,False,A
2026-01-29 18:30:00+00:00,0.7753155993437539,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7888187759737112,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7401034532237915,0.05,0.0488,0.05,150.0,0.0,2026-01-31 06:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7089098847121207,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:00:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7924170026812211,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:00:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7322541639285707,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.8084843147137031,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7130019298811049,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.742000168971005,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:30:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7065403823741331,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:00:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.81353885835061,0.05,0.0488,0.05,150.0,0.0,2026-01-30 18:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7837661354691532,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7331347792695515,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.8136168824884924,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7303644595854704,-0.05,-0.0512,0.05,150.0,0.0,2026-01-30 18:45:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7413507411371415,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7664700309686971,0.05,0.0488,0.05,150.0,0.0,2026-01-31 14:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7826063589481115,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:15:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.7581790562864561,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:30:00+00:00,False,A
2026-01-29 18:45:00+00:00,0.8097019794148544,0.05,0.0488,0.05,150.0,0.0,2026-01-31 08:15:00+00:00,False,A
