pnl_pct,exit_reason,bars_held,entry_price,exit_price,direction,symbol,entry_time,btc_regime,vol_decile,btc_macro_down,period
-0.051500000000000004,stop_loss,52,0.353,0.37065,short,1INCHUSDT,2023-12-13 06:45:00+00:00,btc_flat,2,True,train
-0.0032639795378373625,timeout,672,0.5669,0.5679,short,1INCHUSDT,2024-03-18 13:15:00+00:00,btc_flat,2,True,train
0.05062450592885377,timeout,672,0.4048,0.3837,short,1INCHUSDT,2024-04-30 08:45:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,48,0.3795,0.398475,short,1INCHUSDT,2024-06-18 08:15:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,195,0.2246,0.23583,short,1INCHUSDT,2024-11-03 13:45:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,227,0.3667,0.385035,short,1INCHUSDT,2025-01-13 06:30:00+00:00,btc_flat,0,True,train
-0.051500000000000004,stop_loss,88,0.2938,0.30849000000000004,short,1INCHUSDT,2025-01-28 22:15:00+00:00,btc_flat,1,True,train
0.1485,take_profit,97,0.2958,0.25143,short,1INCHUSDT,2025-02-01 22:15:00+00:00,btc_flat,1,True,train
-0.051500000000000004,stop_loss,124,0.2501,0.262605,short,1INCHUSDT,2025-02-07 20:45:00+00:00,btc_flat,0,True,train
0.1485,take_profit,54,0.1747,0.148495,short,1INCHUSDT,2025-04-06 17:15:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,187,0.1617,0.16978500000000002,short,1INCHUSDT,2025-04-07 19:00:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,89,0.1551,0.162855,short,1INCHUSDT,2025-04-08 19:00:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,273,0.2028,0.21294000000000002,short,1INCHUSDT,2025-05-31 00:45:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,194,0.1716,0.18018,short,1INCHUSDT,2025-06-21 21:30:00+00:00,btc_flat,2,True,train
-0.051500000000000004,stop_loss,108,0.1096,0.11508,short,1INCHUSDT,2026-01-31 14:00:00+00:00,btc_flat,2,True,oot
-0.051500000000000004,stop_loss,509,0.0959,0.100695,short,1INCHUSDT,2026-02-09 09:30:00+00:00,btc_flat,2,True,oot
-0.051500000000000004,stop_loss,92,0.0912,0.09576000000000001,short,1INCHUSDT,2026-02-12 16:15:00+00:00,btc_flat,2,True,oot
