open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1756684800000000,0.67900000,0.67900000,0.66200000,0.66800000,319290.20000000,1756699199999999,213856.16550000,1590,210875.70000000,141172.92410000,0
1756699200000000,0.66700000,0.68500000,0.65500000,0.68500000,307839.40000000,1756713599999999,205212.17250000,2046,154549.60000000,103094.18490000,0
1756713600000000,0.68500000,0.69200000,0.67600000,0.68100000,420525.40000000,1756727999999999,287893.99680000,2054,189348.20000000,129503.44910000,0
1756728000000000,0.68100000,0.68500000,0.67000000,0.67100000,242351.80000000,1756742399999999,164265.84930000,1068,133678.30000000,90622.13840000,0
1756742400000000,0.67000000,0.67200000,0.66400000,0.67000000,204162.20000000,1756756799999999,136359.77810000,1087,103744.80000000,69312.02350000,0
1756756800000000,0.66900000,0.67000000,0.65000000,0.66800000,323681.70000000,1756771199999999,213353.86400000,2394,165907.00000000,109461.18830000,0
1756771200000000,0.66700000,0.68600000,0.66400000,0.68600000,254893.20000000,1756785599999999,171622.82480000,1515,117467.90000000,79092.42300000,0
1756785600000000,0.68600000,0.68800000,0.67600000,0.67700000,171902.40000000,1756799999999999,117571.40900000,1049,77546.30000000,53043.15380000,0
1756800000000000,0.67700000,0.68700000,0.67700000,0.68300000,99759.50000000,1756814399999999,68109.84640000,709,55772.90000000,38099.30410000,0
1756814400000000,0.68300000,0.69200000,0.66600000,0.67000000,395724.80000000,1756828799999999,268603.41360000,3139,189336.70000000,128455.83380000,0
1756828800000000,0.67100000,0.68100000,0.67000000,0.67500000,134422.10000000,1756843199999999,90843.79470000,920,73873.00000000,49938.28200000,0
1756843200000000,0.67400000,0.68600000,0.67400000,0.68600000,133745.80000000,1756857599999999,91478.49290000,517,58007.80000000,39650.95470000,0
1756857600000000,0.68500000,0.68600000,0.67700000,0.68000000,178714.50000000,1756871999999999,121828.81750000,688,56643.80000000,38611.53810000,0
1756872000000000,0.68000000,0.68000000,0.67000000,0.67600000,185233.30000000,1756886399999999,124743.40960000,705,87909.00000000,59238.87360000,0
1756886400000000,0.67500000,0.68000000,0.67100000,0.67700000,181004.10000000,1756900799999999,122264.54960000,806,73401.50000000,49608.12110000,0
1756900800000000,0.67700000,0.68600000,0.67400000,0.68400000,190602.30000000,1756915199999999,129682.17930000,1080,81905.50000000,55680.44570000,0
1756915200000000,0.68400000,0.68800000,0.68000000,0.68500000,128258.10000000,1756929599999999,87696.45100000,727,81549.50000000,55750.24260000,0
1756929600000000,0.68500000,0.68700000,0.68100000,0.68300000,85764.70000000,1756943999999999,58637.79880000,549,40430.50000000,27654.47080000,0
