pnl_pct,exit_reason,bars_held,entry_price,exit_price,direction,symbol,strategy,entry_time
-0.051500000000000004,stop_loss,256,0.53,0.5565000000000001,short,1INCHUSDT,C,2023-04-02 10:45:00+00:00
0.0003867924528301902,timeout,672,0.53,0.529,short,1INCHUSDT,C,2023-04-05 15:00:00+00:00
-0.051500000000000004,stop_loss,76,0.55,0.5775000000000001,short,1INCHUSDT,C,2023-04-17 15:30:00+00:00
0.08957806691449821,timeout,672,0.538,0.489,short,1INCHUSDT,C,2023-04-19 08:00:00+00:00
0.0127857142857143,timeout,672,0.49,0.483,short,1INCHUSDT,C,2023-04-21 19:00:00+00:00
-0.051500000000000004,stop_loss,260,0.476,0.4998,short,1INCHUSDT,C,2023-04-26 19:30:00+00:00
0.08679568788501023,timeout,672,0.487,0.444,short,1INCHUSDT,C,2023-04-30 02:15:00+00:00
0.07876030368763565,timeout,672,0.461,0.424,short,1INCHUSDT,C,2023-05-01 02:15:00+00:00
0.07106235827664405,timeout,672,0.441,0.409,short,1INCHUSDT,C,2023-05-06 14:00:00+00:00
0.015087677725118499,timeout,672,0.422,0.415,short,1INCHUSDT,C,2023-05-08 01:30:00+00:00
-0.011450248756218914,timeout,672,0.402,0.406,short,1INCHUSDT,C,2023-05-11 17:15:00+00:00
0.011094458438287165,timeout,672,0.397,0.392,short,1INCHUSDT,C,2023-05-18 18:00:00+00:00
0.1485,take_profit,521,0.371,0.31534999999999996,short,1INCHUSDT,C,2023-06-01 02:45:00+00:00
0.1485,take_profit,436,0.356,0.3026,short,1INCHUSDT,C,2023-06-05 15:15:00+00:00
0.1485,take_profit,7,0.31,0.2635,short,1INCHUSDT,C,2023-06-10 02:30:00+00:00
-0.051500000000000004,stop_loss,546,0.266,0.27930000000000005,short,1INCHUSDT,C,2023-06-11 04:15:00+00:00
-0.051500000000000004,stop_loss,192,0.264,0.2772,short,1INCHUSDT,C,2023-06-14 20:30:00+00:00
0.03280634968402036,timeout,672,0.3323,0.3209,short,1INCHUSDT,C,2023-06-25 13:30:00+00:00
-0.051500000000000004,stop_loss,181,0.3066,0.32193,short,1INCHUSDT,C,2023-06-28 07:30:00+00:00
-0.051500000000000004,stop_loss,130,0.3111,0.326655,short,1INCHUSDT,C,2023-06-30 13:30:00+00:00
-0.051500000000000004,stop_loss,640,0.3165,0.33232500000000004,short,1INCHUSDT,C,2023-07-05 10:30:00+00:00
-0.051500000000000004,stop_loss,527,0.3107,0.326235,short,1INCHUSDT,C,2023-07-06 14:00:00+00:00
-0.051500000000000004,stop_loss,136,0.3295,0.34597500000000003,short,1INCHUSDT,C,2023-07-12 09:45:00+00:00
-0.051500000000000004,stop_loss,80,0.3349,0.351645,short,1INCHUSDT,C,2023-07-14 18:15:00+00:00
-0.051500000000000004,stop_loss,4,0.4258,0.44709000000000004,short,1INCHUSDT,C,2023-07-17 00:15:00+00:00
0.1485,take_profit,226,0.3821,0.324785,short,1INCHUSDT,C,2023-07-18 06:00:00+00:00
0.1485,take_profit,484,0.3451,0.293335,short,1INCHUSDT,C,2023-07-19 08:45:00+00:00
-0.051500000000000004,stop_loss,98,0.3226,0.33873000000000003,short,1INCHUSDT,C,2023-07-20 14:30:00+00:00
-0.051500000000000004,stop_loss,508,0.2996,0.31457999999999997,short,1INCHUSDT,C,2023-07-24 09:45:00+00:00
