direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,peak_pnl_pct,exit_reason
short,0.001397121083827205,51,LDOUSDT,1681021800000000000,1681067700000000000,2.362,2.3587000000000002,0.030482641828958535,trail_stop
short,-0.055000000000000014,61,FETUSDT,1681024500000000000,1681079400000000000,0.3293,0.3474115,0.0015183723048891602,stop_loss
short,0.00734921660757011,2,APTUSDT,1681263900000000000,1681265700000000000,11.4502,11.366050000000001,0.036261375347155546,trail_stop
short,0.0024434741930455263,11,TRXUSDT,1681264800000000000,1681274700000000000,0.06413,0.0639733,0.03149851863402476,trail_stop
short,-0.0070294380017842184,40,LDOUSDT,1681266600000000000,1681302600000000000,2.242,2.25776,0.022301516503122135,trail_stop
short,-0.05499999999999997,123,UNIUSDT,1681266600000000000,1681377300000000000,5.78,6.0979,0.005190311418685164,stop_loss
short,-0.055000000000000014,122,DOGEUSDT,1681270200000000000,1681380000000000000,0.08129,0.08576095,0.004059539918809164,stop_loss
short,0.0029600000000001123,68,AAVEUSDT,1681893000000000000,1681954200000000000,75.0,74.77799999999999,0.03200000000000008,trail_stop
short,0.015400823443933166,126,ADAUSDT,1681893000000000000,1682006400000000000,0.4129,0.406541,0.04407846936304188,trail_stop
short,0.016612210244668087,54,APTUSDT,1681893000000000000,1681941600000000000,11.6607,11.46699,0.045254573053075814,trail_stop
short,-0.007001594896331626,68,BCHUSDT,1681893000000000000,1681954200000000000,125.4,126.27799999999999,0.022328548644338208,trail_stop
short,0.007763519706691099,189,BNBUSDT,1681893000000000000,1682063100000000000,327.3,324.759,0.03666361136571952,trail_stop
short,0.020446590909090793,9,DOGEUSDT,1681998300000000000,1682006400000000000,0.088,0.0862007,0.04897727272727267,trail_stop
short,0.0351448312516609,103,LINKUSDT,1682010900000000000,1682103600000000000,7.526,7.2615,0.06324740898219505,trail_stop
short,0.014033140016570033,126,DOTUSDT,1682060400000000000,1682173800000000000,6.035,5.95031,0.04275062137531069,trail_stop
short,0.027305183037332183,48,FILUSDT,1682060400000000000,1682103600000000000,5.518,5.367330000000001,0.055636100036244925,trail_stop
short,0.0404011887072809,48,NEARUSDT,1682060400000000000,1682103600000000000,2.019,1.93743,0.06835066864784553,trail_stop
short,-0.003357735480722411,22,HIGHUSDT,1682064000000000000,1682083800000000000,2.049,2.05588,0.025866276232308413,trail_stop
short,0.0,192,CHZUSDT,1682107200000000000,1682280000000000000,0.1193,0.1193,0.023470243084660492,timeout
short,0.0,192,DOGEUSDT,1682108100000000000,1682280900000000000,0.07791,0.07791,0.017969451931716066,timeout
short,0.03474625144175303,28,ARBUSDT,1682263800000000000,1682289000000000000,1.3872,1.3390000000000002,0.0628604382929642,trail_stop
short,0.014847605224963659,1,AAVEUSDT,1682538300000000000,1682539200000000000,68.9,67.87700000000001,0.04354136429608128,trail_stop
short,0.006297242083758856,3,ADAUSDT,1682538300000000000,1682541000000000000,0.3916,0.38913400000000004,0.03524004085801833,trail_stop
short,0.029137179640958074,1,APTUSDT,1682538300000000000,1682539200000000000,10.0044,9.7129,0.05741473751549325,trail_stop
short,0.020037480178751496,1,ARBUSDT,1682538300000000000,1682539200000000000,1.3874,1.3596000000000001,0.04858007784344811,trail_stop
short,0.015387779083431297,1,AVAXUSDT,1682538300000000000,1682539200000000000,17.02,16.7581,0.044065804935370156,trail_stop
short,-0.0549999999999999,39,CHZUSDT,1682539200000000000,1682574300000000000,0.1229,0.12965949999999998,0.008950366151342473,stop_loss
short,0.0,192,XLMUSDT,1682540100000000000,1682712900000000000,0.0915,0.0915,0.0010928961748634192,timeout
short,0.0,192,APTUSDT,1682905500000000000,1683078300000000000,10.0174,10.0174,0.025655359674166916,timeout
short,-0.00643444730077115,162,ADAUSDT,1682906400000000000,1683052200000000000,0.389,0.391503,0.02287917737789208,trail_stop
short,0.013283748605429517,117,ARBUSDT,1682906400000000000,1683011700000000000,1.3445,1.32664,0.04202305689847526,trail_stop
short,0.0,192,AVAXUSDT,1682906400000000000,1683079200000000000,16.85,16.85,0.021364985163204925,timeout
short,0.0,192,ETHUSDT,1682906400000000000,1683079200000000000,1836.01,1836.01,0.01627986775671162,timeout
short,-0.05500000000000003,37,FETUSDT,1683116100000000000,1683149400000000000,0.3014,0.317977,0.008294625082946257,stop_loss
short,0.012146679257160673,5,ARBUSDT,1683377100000000000,1683381600000000000,1.2708,1.2553640000000001,0.0409191060749133,trail_stop
short,0.046504029623175736,145,APTUSDT,1683378900000000000,1683509400000000000,9.182,8.755,0.07427575691570468,trail_stop
short,0.01689616879511368,45,HIGHUSDT,1683378900000000000,1683419400000000000,1.801,1.7705700000000002,0.045530260966129846,trail_stop
short,0.01883883173702237,2,LTCUSDT,1683379800000000000,1683381600000000000,84.57,82.97680000000001,0.047416341492254835,trail_stop
short,0.02211030082041945,143,SOLUSDT,1683380700000000000,1683509400000000000,21.94,21.4549,0.05059252506836841,trail_stop
short,0.01611010284331525,138,AVAXUSDT,1683385200000000000,1683509400000000000,16.53,16.2637,0.044767090139141076,trail_stop
short,0.017118780096308153,137,CHZUSDT,1683386100000000000,1683509400000000000,0.1246,0.122467,0.04574638844301763,trail_stop
short,0.02458426455547557,5,EDUUSDT,1683504900000000000,1683509400000000000,1.05596,1.03,0.05299443160725786,trail_stop
short,0.0008818548616241485,32,APTUSDT,1683511200000000000,1683540000000000000,8.7985,8.790741,0.029982383360800113,trail_stop
short,0.005891267123287598,62,ARBUSDT,1683511200000000000,1683567000000000000,1.168,1.161119,0.03484589041095887,trail_stop
short,0.03883984867591412,64,AVAXUSDT,1683511200000000000,1683568800000000000,15.86,15.244000000000002,0.0668348045397225,trail_stop
short,0.04424979044425811,64,CHZUSDT,1683511200000000000,1683568800000000000,0.1193,0.11402100000000001,0.07208717518860014,trail_stop
short,0.028164705882352897,64,CRVUSDT,1683511200000000000,1683568800000000000,0.85,0.82606,0.056470588235294036,trail_stop
short,0.0,192,DOGEUSDT,1683568800000000000,1683741600000000000,0.07133,0.07133,0.014019346698443864,timeout
short,-0.05499999999999986,121,LTCUSDT,1683568800000000000,1683677700000000000,76.73,80.95015,0.00039098136322170124,stop_loss
short,0.008819095477386876,189,RUNEUSDT,1683568800000000000,1683738900000000000,1.194,1.18347,0.03768844221105522,trail_stop
short,0.0,192,XRPUSDT,1683568800000000000,1683741600000000000,0.4189,0.4189,0.016710432084029617,timeout
short,-0.054999999999999986,46,BCHUSDT,1683569700000000000,1683611100000000000,109.3,115.3115,0.0,stop_loss
short,-0.054999999999999896,10,NEARUSDT,1683739800000000000,1683748800000000000,1.587,1.6742849999999998,0.0,stop_loss
short,0.050085130533484644,17,LDOUSDT,1683810900000000000,1683826200000000000,1.762,1.67375,0.07775255391600455,trail_stop
short,-0.0023489932885906793,18,FILUSDT,1683826200000000000,1683842400000000000,4.321,4.33115,0.02684563758389254,trail_stop
short,-0.05499999999999991,4,PEPEUSDT,1684111500000000000,1684115100000000000,1.63e-06,1.71965e-06,0.012269938650306761,stop_loss
short,0.035605095541401253,24,PEPEUSDT,1684311300000000000,1684332900000000000,1.57e-06,1.5141e-06,0.06369426751592364,trail_stop
short,0.0,192,FILUSDT,1684432800000000000,1684605600000000000,4.408,4.408,0.0015880217785845191,timeout
short,0.002296021577882604,54,GALAUSDT,1684684800000000000,1684733400000000000,0.02966,0.0295919,0.0313553607552259,trail_stop
short,0.010675524995353894,69,SUIUSDT,1684684800000000000,1684746900000000000,1.0762,1.0647110000000002,0.039490800966363114,trail_stop
short,0.003510517732260708,92,EDUUSDT,1684716300000000000,1684799100000000000,1.08531,1.0815000000000001,0.03253448323520464,trail_stop
short,-0.05499999999999999,100,HIGHUSDT,1684716300000000000,1684806300000000000,1.548,1.63314,0.01679586563307495,stop_loss
short,0.05032654629273905,31,SUIUSDT,1684873800000000000,1684901700000000000,1.0412,0.9888,0.07798693814829039,trail_stop
short,0.015196304849884396,104,SHIBUSDT,1684900800000000000,1684994400000000000,8.66e-06,8.528400000000001e-06,0.043879907621247084,trail_stop
short,0.027497140242507316,127,LTCUSDT,1684901700000000000,1685016000000000000,87.42,85.01620000000001,0.055822466254861536,trail_stop
short,0.009317568994868191,64,APTUSDT,1684936800000000000,1684994400000000000,8.0477,7.972715,0.03817239708239631,trail_stop
short,-0.05499999999999995,93,FETUSDT,1684936800000000000,1685020500000000000,0.2251,0.23748049999999998,0.009773434029320335,stop_loss
short,0.0,192,SOLUSDT,1684936800000000000,1685109600000000000,19.12,19.12,0.018305439330544005,timeout
short,-0.0024848790322581156,23,HIGHUSDT,1685421900000000000,1685442600000000000,1.984,1.98893,0.026713709677419324,trail_stop
short,-0.0001449275362320484,20,PEPEUSDT,1685424600000000000,1685442600000000000,1.38e-06,1.3802000000000001e-06,0.02898550724637669,trail_stop
short,0.009341802370193438,142,ARBUSDT,1685510100000000000,1685637900000000000,1.1729,1.1619430000000002,0.03819592463125582,trail_stop
short,-0.05499999999999991,96,PEPEUSDT,1685657700000000000,1685744100000000000,1.23e-06,1.29765e-06,0.0,stop_loss
short,-0.05499999999999996,45,SUIUSDT,1685665800000000000,1685706300000000000,0.9122,0.962371,0.007125630344222826,stop_loss
short,0.017436603800240057,1,APTUSDT,1685979000000000000,1685979900000000000,8.4942,8.34609,0.04605495514586419,trail_stop
short,0.009036856745479993,1,BNBUSDT,1685979000000000000,1685979900000000000,287.6,285.001,0.0378998609179417,trail_stop
short,0.04200908339430103,1,EDUUSDT,1685979000000000000,1685979900000000000,1.05247,1.0082567,0.06991173145077767,trail_stop
