direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,notional_usd,pnl_pct_net,pnl_usd
short,0.0,192,HBARUSDT,1680593400,1680766200,0.067,0.067,timeout,25.0,-0.0012,-0.03
short,0.03281063732232913,51,HIGHUSDT,1680685200,1680731100,2.181,2.10944,trail_stop,25.0,0.03161063732232913,0.7902659330582283
short,0.0,192,FETUSDT,1680706800,1680879600,0.3567,0.3567,timeout,25.0,-0.0012,-0.03
short,-0.0062577365355988126,22,APTUSDT,1680741000,1680760800,11.4877,11.559586999999999,trail_stop,25.0,-0.007457736535598812,-0.1864434133899703
short,-0.05499999999999989,50,CHZUSDT,1680768000,1680813000,0.1254,0.132297,stop_loss,25.0,-0.05619999999999989,-1.4049999999999971
short,0.010140961857379751,85,DOGEUSDT,1680845400,1680921900,0.08442,0.0835639,trail_stop,25.0,0.008940961857379751,0.22352404643449378
short,0.025014836795252328,150,CHZUSDT,1681021800,1681156800,0.1348,0.131428,trail_stop,25.0,0.023814836795252328,0.5953709198813082
short,0.01127957508450037,27,HIGHUSDT,1681260300,1681284600,2.071,2.04764,trail_stop,25.0,0.01007957508450037,0.25198937711250924
short,0.014823927418114816,1,TRXUSDT,1681263900,1681264800,0.06503,0.064066,trail_stop,25.0,0.013623927418114816,0.3405981854528704
short,1.3474818932134076e-05,42,ARBUSDT,1681264800,1681302600,1.1874,1.187384,trail_stop,25.0,-0.001186525181067866,-0.029663129526696648
short,0.000995370370370295,42,CHZUSDT,1681264800,1681302600,0.1296,0.129471,trail_stop,25.0,-0.00020462962962970494,-0.005115740740742623
short,0.00740557815223714,22,FETUSDT,1681264800,1681284600,0.3442,0.341651,trail_stop,25.0,0.00620557815223714,0.1551394538059285
short,-0.005002476473501732,22,NEARUSDT,1681264800,1681284600,2.019,2.0291,trail_stop,25.0,-0.006202476473501732,-0.1550619118375433
short,-0.054999999999999924,84,APTUSDT,1681302600,1681378200,11.2004,11.816422,stop_loss,25.0,-0.056199999999999924,-1.404999999999998
short,-0.00048710601719200526,12,SOLUSDT,1681484400,1681495200,24.43,24.4419,trail_stop,25.0,-0.001687106017192005,-0.04217765042980012
short,0.0,192,DOGEUSDT,1681486200,1681659000,0.08687,0.08687,timeout,25.0,-0.0012,-0.03
short,-0.05499999999999999,100,FILUSDT,1681486200,1681576200,6.012,6.3426599999999995,stop_loss,25.0,-0.05619999999999999,-1.4049999999999998
short,0.005976469146393714,11,ARBUSDT,1681606800,1681616700,1.6319,1.622147,trail_stop,25.0,0.004776469146393714,0.11941172865984286
short,0.009056070996369537,95,HIGHUSDT,1681772400,1681857900,2.479,2.45655,trail_stop,25.0,0.007856070996369537,0.19640177490923844
short,0.03422714745062008,1,ARBUSDT,1681838100,1681839000,1.7416,1.68199,trail_stop,25.0,0.03302714745062008,0.8256786862655021
short,0.025386792452830386,7,CRVUSDT,1681884900,1681891200,1.06,1.0330899999999998,trail_stop,25.0,0.024186792452830386,0.6046698113207597
short,0.06116191275167785,7,HIGHUSDT,1681884900,1681891200,2.384,2.23819,trail_stop,25.0,0.05996191275167785,1.4990478187919463
short,0.08373449131513643,1,AAVEUSDT,1681891200,1681892100,80.6,73.851,trail_stop,25.0,0.08253449131513642,2.0633622828784106
short,0.03427124107759615,1,ADAUSDT,1681891200,1681892100,0.4343,0.419416,trail_stop,25.0,0.03307124107759615,0.8267810269399039
short,0.06175685806644026,1,APTUSDT,1681891200,1681892100,12.4051,11.639000000000001,trail_stop,25.0,0.06055685806644026,1.5139214516610064
short,0.06996619990342837,1,AVAXUSDT,1681891200,1681892100,20.71,19.261,trail_stop,25.0,0.06876619990342836,1.719154997585709
short,0.0492191620275417,1,DOTUSDT,1681891200,1681892100,6.826,6.49003,trail_stop,25.0,0.0480191620275417,1.2004790506885425
short,0.020039227519613647,190,BNBUSDT,1681892100,1682063100,331.4,324.759,trail_stop,25.0,0.018839227519613647,0.4709806879903412
short,0.02547307132459953,12,CHZUSDT,1681892100,1681902900,0.1374,0.13390000000000002,trail_stop,25.0,0.02427307132459953,0.6068267831149883
short,0.012608118570954532,22,DOGEUSDT,1681892100,1681911900,0.09041,0.0892701,trail_stop,25.0,0.011408118570954532,0.2852029642738633
short,0.02340947638299971,119,ETHUSDT,1681892100,1681999200,2028.2,1980.7209,trail_stop,25.0,0.02220947638299971,0.5552369095749927
short,-0.007001594896331626,68,BCHUSDT,1681893000,1681954200,125.4,126.27799999999999,trail_stop,25.0,-0.008201594896331627,-0.20503987240829066
short,-0.00768853010427187,3,ARBUSDT,1681946100,1681948800,1.4865,1.497929,trail_stop,25.0,-0.00888853010427187,-0.22221325260679672
short,0.006239692138537795,1,FETUSDT,1682005500,1682006400,0.3638,0.36152999999999996,trail_stop,25.0,0.005039692138537795,0.12599230346344487
short,0.0332919699319891,51,DOGEUSDT,1682057700,1682103600,0.08381,0.08101979999999999,trail_stop,25.0,0.0320919699319891,0.8022992482997275
short,0.0,192,ARBUSDT,1682058600,1682231400,1.426,1.426,timeout,25.0,-0.0012,-0.03
short,0.05427786930258112,50,AVAXUSDT,1682058600,1682103600,18.21,17.2216,trail_stop,25.0,0.05307786930258112,1.3269467325645279
short,0.024699229634486147,128,DOTUSDT,1682058600,1682173800,6.101,5.95031,trail_stop,25.0,0.023499229634486148,0.5874807408621537
short,0.0361044776119402,31,NEARUSDT,1682075700,1682103600,2.01,1.93743,trail_stop,25.0,0.0349044776119402,0.8726119402985051
short,0.03888535031847123,42,CHZUSDT,1682103600,1682141400,0.1256,0.120716,trail_stop,25.0,0.03768535031847123,0.9421337579617807
short,0.015340047527441388,81,LTCUSDT,1682103600,1682176500,88.37,87.01440000000001,trail_stop,25.0,0.014140047527441389,0.3535011881860347
short,-0.009116296863045234,16,FILUSDT,1682107200,1682121600,5.228,5.27566,trail_stop,25.0,-0.010316296863045233,-0.25790742157613084
short,-0.00730027548209368,147,ZECUSDT,1682148600,1682280900,36.3,36.565,trail_stop,25.0,-0.00850027548209368,-0.21250688705234203
short,-0.00501531916554466,76,APTUSDT,1682174700,1682243100,10.2486,10.3,trail_stop,25.0,-0.00621531916554466,-0.1553829791386165
